T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
jedi master kushala,sith lord sauce boss,versaggi,solid valentine,0,2,0
sergeanthendog99,darkgenex,blinkrider,gmar,1,0,2
crush,$mike,jedi master kushala,sith lord sauce boss,0,2,0
oleyy,specialk,sauce,milk,0,2,1
mafia,tafokints,blinkrider,gmar,0,2,0
sillie willie,vintage,kaddy,upke,1,0,2
crush,$mike,oleyy,specialk,0,2,0
mafia,tafokints,kaddy,upke,0,2,0
crush,$mike,mafia,tafokints,0,2,1
sillie willie,vintage,versaggi,solid valentine,0,2,0
sauce,milk,sergeanthendog99,darkgenex,0,2,0
sillie willie,vintage,blinkrider,gmar,0,2,0
sauce,milk,jedi master kushala,sith lord sauce boss,0,2,1
oleyy,specialk,sillie willie,vintage,1,0,2
kaddy,upke,sauce,milk,0,2,0
sillie willie,vintage,kaddy,upke,1,0,2
mafia,tafokints,kaddy,upke,0,-2,-2
plup,wizzrobe,walby,fakesnakejake,1,-1,0
smashg0d,llod,wolven,dairdev1l,0,2,0
smashg0d,llod,walby,fakesnakejake,0,2,0
smashg0d,llod,junebug,aglet,0,2,0
inspector waffles,tmanmaniac,plup,wizzrobe,0,0,-1
inspector waffles,tmanmaniac,panties,heck,1,0,2
panties,heck,gravity,nurse,0,2,0
panties,heck,frogman [charette],jank,1,0,2
wolven,dairdev1l,panties,heck,1,1,2
wolven,dairdev1l,puppeh,dasboot,0,2,0
frogman [charette],jank,inspector waffles,tmanmaniac,0,2,0
frogman [charette],jank,puppeh,dasboot,0,2,0
puppeh,dasboot,gravity,nurse,0,2,0
puppeh,dasboot,walby,fakesnakejake,0,2,0
junebug,aglet,panties,heck,0,2,0
junebug,aglet,frogman [charette],jank,0,-2,-2
junebug,aglet,frogman [charette],jank,0,2,0
pharaoh,tay tay swizzle,mucho,rooster,1,0,2
daga,kelp,invis,deedaa,1,0,2
sova unknown,hiro,ryko,banjo,1,0,2
westballz,shroomed,mucho,rooster,0,2,0
vegeta,angabur,zeta,jay,1,0,2
bmc,snacks!,invis,deedaa,0,2,0
nurok,mc david,ryko,banjo,0,2,0
westballz,shroomed,zeta,jay,0,2,0
bmc,snacks!,nurok,mc david,0,2,0
westballz,shroomed,bmc,snacks!,0,2,0
ryko,banjo,pharaoh,tay tay swizzle,0,2,0
vegeta,angabur,daga,kelp,1,0,2
mucho,rooster,sova unknown,hiro,0,2,0
ryko,banjo,invis,deedaa,0,2,0
daga,kelp,mucho,rooster,1,0,2
zeta,jay,ryko,banjo,0,2,0
nurok,mc david,mucho,rooster,1,0,2
zeta,jay,mucho,rooster,1,0,2
bmc,snacks!,mucho,rooster,0,-2,-2
cag,zalost,lostsock,p-watts,0,-2,-2
ozley,korvus,nami,apollo [thomas],1,-2,-2
druggedfox,macd,cag,zalost,0,-2,-2
47,42nd,kevocb,dosrogers,0,-2,-2
metal reaper,copycat,nami,apollo [thomas],0,-2,-2
conn man,allen,goaty,zebbs,0,-2,-2
druggedfox,macd,47,42nd,0,-2,-2
metal reaper,copycat,conn man,allen,0,-2,-2
druggedfox,macd,metal reaper,copycat,0,-2,-2
goaty,zebbs,lostsock,p-watts,0,-2,-2
kevocb,dosrogers,ozley,korvus,1,-2,-2
goaty,zebbs,nami,apollo [thomas],1,-2,-2
ozley,korvus,cag,zalost,1,-2,-2
47,42nd,nami,apollo [thomas],0,-2,-2
conn man,allen,cag,zalost,0,-2,-2
47,42nd,conn man,allen,0,-2,-2
metal reaper,copycat,47,42nd,0,-2,-2
kobra,twunt,bluepartyhat,jon dog,0,-2,-2
greensmith,papa ben,legend,jstar,1,-2,-2
noodle_blaster,mercify,hondo,ooookillem,1,-1,0
doh,nintendude,kobra,twunt,0,-2,-2
ambiguously polish,badmdvafox829,curlyq,jonny2x4,0,-2,-2
mr.ii,amsa,legend,jstar,0,-2,-2
professor peen,quist,hondo,ooookillem,0,0,-1
doh,nintendude,ambiguously polish,badmdvafox829,0,-2,-2
mr.ii,amsa,professor peen,quist,0,-2,-2
doh,nintendude,mr.ii,amsa,1,0,2
hondo,ooookillem,bluepartyhat,jon dog,1,-1,0
curlyq,jonny2x4,greensmith,papa ben,1,-2,-2
kobra,twunt,noodle_blaster,mercify,0,0,-1
bluepartyhat,jon dog,legend,jstar,1,-2,-2
greensmith,papa ben,kobra,twunt,0,-2,-2
ambiguously polish,badmdvafox829,legend,jstar,0,-2,-2
professor peen,quist,greensmith,papa ben,0,-2,-2
ambiguously polish,badmdvafox829,professor peen,quist,0,-2,-2
doh,nintendude,ambiguously polish,badmdvafox829,0,-2,-2
av1n,ncr0,murdock,okay,0,0,-1
monsoon,word,slopnessie,kambos,0,2,0
mojo8675309,lvl3,phalanx,kwote,1,0,2
the moon,dj nintendo,av1n,ncr0,0,2,0
badwolf,nfreak,rocket,mr. clean,0,2,1
dab,salty seth,monsoon,word,0,2,0
gurglehusk,dano,phalanx,kwote,0,2,1
the moon,dj nintendo,badwolf,nfreak,0,2,0
dab,salty seth,gurglehusk,dano,0,2,1
the moon,dj nintendo,dab,salty seth,0,2,1
phalanx,kwote,murdock,okay,0,0,-1
rocket,mr. clean,slopnessie,kambos,0,2,1
av1n,ncr0,mojo8675309,lvl3,1,0,2
phalanx,kwote,monsoon,word,1,1,2
rocket,mr. clean,mojo8675309,lvl3,1,0,2
badwolf,nfreak,monsoon,word,1,0,2
gurglehusk,dano,mojo8675309,lvl3,0,2,0
monsoon,word,gurglehusk,dano,1,0,2
dab,salty seth,gurglehusk,dano,0,-2,-2
fearturkey,fro?,curls,voodoo man,0,-2,-2
paragon,jade,monk,stoked,1,-1,0
av_ultima,bonnup,dansofree,tehpinkemobunni,1,-2,-2
ice,mew2king,fearturkey,fro?,0,-2,-2
super ginger,lax,pig,poonslayer7,1,-2,-2
bigwenz,ctl,monk,stoked,0,-2,-2
vidjogamer,jisu,dansofree,tehpinkemobunni,1,-1,0
ice,mew2king,pig,poonslayer7,0,-2,-2
bigwenz,ctl,dansofree,tehpinkemobunni,1,-2,-2
ice,mew2king,dansofree,tehpinkemobunni,0,-2,-2
vidjogamer,jisu,curls,voodoo man,1,-1,0
super ginger,lax,paragon,jade,0,0,-1
fearturkey,fro?,av_ultima,bonnup,0,-2,-2
curls,voodoo man,monk,stoked,0,-2,-2
super ginger,lax,fearturkey,fro?,0,-2,-2
pig,poonslayer7,curls,voodoo man,0,-2,-2
bigwenz,ctl,super ginger,lax,0,-2,-2
pig,poonslayer7,bigwenz,ctl,0,-2,-2
dansofree,tehpinkemobunni,pig,poonslayer7,0,-2,-2
wild,kurt kobain,belgish,deliciouskale,0,2,0
tehenderer,clsmandalore,silver9797,boty,0,2,0
bund,scoopy,yold,chillycity,0,2,0
cyrain,milkman,wild,kurt kobain,0,2,0
boh,ron paul,toph,s-royal,0,0,-1
kaeon,vino,tehenderer,clsmandalore,0,2,0
dr. lip,ctm,bund,scoopy,1,0,2
cyrain,milkman,boh,ron paul,0,2,0
kaeon,vino,bund,scoopy,0,2,0
cyrain,milkman,kaeon,vino,0,2,0
dr. lip,ctm,belgish,deliciouskale,1,0,2
toph,s-royal,silver9797,boty,1,-1,0
wild,kurt kobain,yold,chillycity,0,2,0
belgish,deliciouskale,tehenderer,clsmandalore,0,2,0
silver9797,boty,wild,kurt kobain,1,0,2
boh,ron paul,belgish,deliciouskale,0,2,0
bund,scoopy,wild,kurt kobain,1,0,2
boh,ron paul,wild,kurt kobain,1,0,2
kaeon,vino,wild,kurt kobain,0,-2,-2
skittlez,rhyme,kit,lemon water,1,0,2
aweshucks,ch0k0 nach0,pasta,tunnelsnakesrule,0,2,0
friend,mojoa,squeg,kotojo,1,0,2
sfat,pewpewu,kit,lemon water,0,2,0
ezmoney,leaf,booteking,milo,1,0,2
peanutphobia,fendricklamar,aweshucks,ch0k0 nach0,0,2,0
atomsk,theswooper,squeg,kotojo,0,2,0
sfat,pewpewu,booteking,milo,0,2,0
peanutphobia,fendricklamar,atomsk,theswooper,1,0,2
sfat,pewpewu,atomsk,theswooper,0,2,0
squeg,kotojo,skittlez,rhyme,0,2,0
ezmoney,leaf,pasta,tunnelsnakesrule,0,2,0
kit,lemon water,friend,mojoa,0,2,0
squeg,kotojo,aweshucks,ch0k0 nach0,0,2,0
ezmoney,leaf,kit,lemon water,1,0,2
booteking,milo,squeg,kotojo,0,2,1
peanutphobia,fendricklamar,kit,lemon water,1,1,2
booteking,milo,kit,lemon water,1,1,2
atomsk,theswooper,kit,lemon water,0,-2,-2
animeh,misfit,stane,jelly,1,0,2
rylo ken,ractor,sap,beltbuckle,0,2,0
axe,wobbles,stane,jelly,0,2,0
xlax,fats,eclipse,jhomas,0,2,0
pb&j,stango,rylo ken,ractor,0,2,0
brianydg,arcadia,bread,captain casual,0,2,0
axe,wobbles,xlax,fats,0,2,0
pb&j,stango,brianydg,arcadia,0,2,0
axe,wobbles,pb&j,stango,0,2,0
bread,captain casual,animeh,misfit,1,-2,-2
eclipse,jhomas,sap,beltbuckle,1,1,2
animeh,misfit,rylo ken,ractor,0,2,0
sap,beltbuckle,stane,jelly,1,0,2
xlax,fats,animeh,misfit,0,2,1
brianydg,arcadia,stane,jelly,0,2,0
xlax,fats,brianydg,arcadia,1,0,2
pb&j,stango,brianydg,arcadia,0,-2,-2
riff [harpster],raff,gator [slater],gaijilla,0,2,1
mr_dr_higgins,wrdstang,hatdog,sk_jynx,0,2,0
hotpocket,brotherly,smashbob squarepants,yeroc,1,0,2
gahtzu,kjh,riff [harpster],raff,0,2,0
cheesepuff,hazystalebread,saval,yamin4,0,2,0
psychomidget,kira,mr_dr_higgins,wrdstang,0,2,0
mrbenready,jwilli,smashbob squarepants,yeroc,0,2,0
gahtzu,kjh,cheesepuff,hazystalebread,0,2,0
psychomidget,kira,mrbenready,jwilli,0,2,0
gahtzu,kjh,psychomidget,kira,1,1,2
smashbob squarepants,yeroc,gator [slater],gaijilla,0,2,0
saval,yamin4,hatdog,sk_jynx,0,2,0
riff [harpster],raff,hotpocket,brotherly,0,2,0
smashbob squarepants,yeroc,mr_dr_higgins,wrdstang,0,2,0
saval,yamin4,riff [harpster],raff,1,0,2
cheesepuff,hazystalebread,smashbob squarepants,yeroc,1,0,2
mrbenready,jwilli,riff [harpster],raff,0,2,0
smashbob squarepants,yeroc,mrbenready,jwilli,1,0,2
gahtzu,kjh,mrbenready,jwilli,0,-2,-2
killajive,joenut,shuckle,tagless,1,0,2
kneel,contrabass,spamgeorgio,woofpack,1,1,2
j9d2,trevman,):,absolome,1,0,2
