T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
spitzlee,shanahan,lustrick,ninja,0,2,0
techboy,walrus,redwing,cornelius,0,2,0
bloodyjoker,ferriswheel,valor,mejonat,0,2,0
heartstrings,sheep,cobab,null,0,2,0
gman,coleslaw,mcspammer,bean,0,2,0
crip,lain,falf,squishy boy,0,2,0
stif,goonsquad,turkish delight,turnup_xd,0,2,0
fire,astro,killmoves,mushu,0,2,0
cal,.ðempt,highdef,jakpox,0,2,0
breachin,jcubez,tiddles,tree,0,2,0
toptierramen,lange,aiya,absynthe,0,2,0
hunt,i4n,little bucket,shanondorf,0,2,0
luxy,joebigs,slyben,cday,0,2,0
brizola,zaps,jepr,zephyr,0,2,0
russell,2shadez,axis,makvg,0,2,0
peelee,999,inu,hummuslover69,0,2,0
carnage,wrenches,bakinshake,aghi,0,2,0
mingee,parzival,holiday,yep,1,0,2
colony,barcode,qbaby,prest0,0,2,1
na5ty,zbet,modus,coin,1,-1,0
nexic,idcrisis,coupon,confusion,0,2,0
pepsi,pops,deku,invader slim,0,2,1
keff,sacredtwin,owlnips,scorpiator,0,2,0
paz,quang,xam,lonefire,0,0,-1
oven,ceephax,lildoozie,un0,0,2,0
duck,ice,spitzlee,shanahan,0,2,0
techboy,walrus,bloodyjoker,ferriswheel,0,2,0
heartstrings,sheep,gman,coleslaw,0,2,1
crip,lain,stif,goonsquad,0,2,0
ginger,beach,fire,astro,0,2,0
cal,.ðempt,breachin,jcubez,0,2,1
coffeeblack,nightmare,toptierramen,lange,0,2,0
hunt,i4n,luxy,joebigs,0,2,0
kjh,prince f. abu,brizola,zaps,0,2,0
russell,2shadez,peelee,999,0,2,0
juggleguy,shady,carnage,wrenches,1,-1,0
holiday,yep,colony,barcode,0,2,0
mb-smash,tm,modus,coin,0,2,0
nexic,idcrisis,pepsi,pops,0,2,0
anther,shaeden,keff,sacredtwin,0,2,0
paz,quang,oven,ceephax,0,2,0
duck,ice,techboy,walrus,0,2,0
heartstrings,sheep,crip,lain,1,0,2
ginger,beach,cal,.ðempt,0,2,0
coffeeblack,nightmare,hunt,i4n,0,2,0
kjh,prince f. abu,russell,2shadez,0,2,1
carnage,wrenches,holiday,yep,1,0,2
mb-smash,tm,nexic,idcrisis,0,2,1
anther,shaeden,paz,quang,0,2,1
duck,ice,crip,lain,0,2,0
ginger,beach,coffeeblack,nightmare,0,2,0
kjh,prince f. abu,holiday,yep,0,2,0
mb-smash,tm,anther,shaeden,0,2,1
duck,ice,ginger,beach,0,2,0
kjh,prince f. abu,mb-smash,tm,0,2,0
duck,ice,kjh,prince f. abu,0,3,0
duck,ice,ginger,beach,0,3,0
redwing,cornelius,valor,mejonat,1,0,2
cobab,null,mcspammer,bean,0,2,0
falf,squishy boy,turkish delight,turnup_xd,1,1,2
highdef,jakpox,tiddles,tree,0,2,0
little bucket,shanondorf,slyben,cday,1,0,2
axis,makvg,inu,hummuslover69,1,0,2
mingee,parzival,qbaby,prest0,0,2,0
coupon,confusion,deku,invader slim,1,1,2
xam,lonefire,lildoozie,un0,0,2,0
oven,ceephax,lustrick,ninja,0,2,0
keff,sacredtwin,valor,mejonat,1,0,2
pepsi,pops,cobab,null,0,2,0
modus,coin,turkish delight,turnup_xd,0,2,0
colony,barcode,killmoves,mushu,0,2,0
juggleguy,shady,highdef,jakpox,1,-1,0
peelee,999,aiya,absynthe,0,2,0
brizola,zaps,slyben,cday,0,2,0
luxy,joebigs,jepr,zephyr,0,2,0
toptierramen,lange,inu,hummuslover69,1,1,2
breachin,jcubez,bakinshake,aghi,0,2,0
fire,astro,mingee,parzival,1,0,2
stif,goonsquad,na5ty,zbet,0,0,-1
gman,coleslaw,deku,invader slim,0,2,0
bloodyjoker,ferriswheel,owlnips,scorpiator,0,2,0
spitzlee,shanahan,xam,lonefire,1,0,2
oven,ceephax,valor,mejonat,0,2,0
pepsi,pops,modus,coin,0,2,0
colony,barcode,highdef,jakpox,1,0,2
peelee,999,brizola,zaps,0,2,0
luxy,joebigs,inu,hummuslover69,1,0,2
breachin,jcubez,mingee,parzival,1,0,2
stif,goonsquad,gman,coleslaw,0,2,0
bloodyjoker,ferriswheel,xam,lonefire,1,0,2
hunt,i4n,oven,ceephax,0,2,0
cal,.ðempt,pepsi,pops,0,2,0
heartstrings,sheep,highdef,jakpox,0,2,0
techboy,walrus,peelee,999,1,0,2
paz,quang,inu,hummuslover69,0,2,0
nexic,idcrisis,mingee,parzival,0,2,0
carnage,wrenches,stif,goonsquad,0,2,0
russell,2shadez,xam,lonefire,0,2,0
hunt,i4n,cal,.ðempt,1,1,2
heartstrings,sheep,peelee,999,0,2,1
paz,quang,nexic,idcrisis,0,2,0
carnage,wrenches,russell,2shadez,1,1,2
holiday,yep,cal,.ðempt,1,0,2
anther,shaeden,heartstrings,sheep,0,2,0
crip,lain,paz,quang,0,2,1
coffeeblack,nightmare,russell,2shadez,0,2,0
cal,.ðempt,anther,shaeden,0,2,0
crip,lain,coffeeblack,nightmare,1,1,2
ginger,beach,cal,.ðempt,0,2,0
mb-smash,tm,coffeeblack,nightmare,0,2,0
ginger,beach,mb-smash,tm,0,3,2
kjh,prince f. abu,ginger,beach,1,2,3
