p1,p2,finalPlacement
luxyjoebigs,25
mb-smashtm,4
highdefjakpox,17
juggleguyshady,33
moduscoin,25
holidayyep,9
xamlonefire,17
cobabnull,33
techboywalrus,17
stifgoonsquad,17
anthershaeden,7
bloodyjokerferriswheel,25
breachinjcubez,25
owlnipsscorpiator,33
na5tyzbet,33
russell2shadez,9
cal.ðempt,5
lustrickninja,33
colonybarcode,25
lildoozieun0,49
peelee999,13
hunti4n,13
ovenceephax,17
duckice,1
pepsipops,17
gmancoleslaw,25
dekuinvader slim,33
aiyaabsynthe,33
brizolazaps,25
valormejonat,25
falfsquishy boy,49
pazquang,9
killmovesmushu,33
mingeeparzival,17
spitzleeshanahan,33
jeprzephyr,33
mcspammerbean,49
inuhummuslover69,17
bakinshakeaghi,33
nexicidcrisis,13
keffsacredtwin,33
toptierramenlange,33
redwingcornelius,49
coffeeblacknightmare,5
heartstringssheep,9
criplain,7
carnagewrenches,13
axismakvg,49
gingerbeach,2
tiddlestree,49
slybencday,33
couponconfusion,49
qbabyprest0,49
fireastro,33
turkish delightturnup_xd,33
little bucketshanondorf,49
kjhprince f. abu,3
