T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
aspro,exile,cookie,pixel,1,0,2
epikfaal,nuckels,myxoma,sir dax,0,2,0
hondafoo,norway,xiii,jerem,1,1,2
baxon,mahie,ctn,fout nl,0,2,0
meo,trinity92,d,becx,0,2,0
glory,dalung,kpopoppa,riquiz,0,2,0
flippy,luxus,wolfjudgement,yungbami,0,2,1
trif,overtriforce,xin,seel,0,2,0
atlas,stylo ren,silentwater,purple pain,0,2,0
kasparv,jim morrison,explo,raoul,0,2,0
yeniths,haotwo,kid anarkist,zuluking,0,2,0
zgetto,adamayonmike,familiar,sausage948,0,2,0
zorc,gardex,knocker,kushwaii,0,2,0
deathgazer,monopenisguy,anduni,annii,0,2,0
$tijn,jmyl,rabbitalex,bureaucraat,0,2,0
divinius,cheez,met,whisky wizard,0,2,1
nuthingdude,kaese,solo,otak_,0,2,0
jules,ace,szoltan,poofies,0,2,0
blaze,däumling,captain love,dero,0,2,0
matthijs,tilt,doodle dork,anti care,0,2,0
jeapie,avalancer,beatthat,sbr,0,2,0
rensxd,.fb,swiggu,c2,0,0,-1
cortex,pogopeanut,fraude françois,pinkman,0,2,0
pureskillz,pureevil,loonslaaf,real,0,2,0
lars,coen,zerkris,zerqui,0,2,0
marc,amsah,baku,paquito,0,2,0
syophan,rarebitfiend,destiknee,xephyer,0,2,1
brtarolg,random-ness,fai,kibakun3,0,2,0
momspaghetti,feradit,utto,ryuker,1,1,2
armada,android,cookie,pixel,0,2,0
epikfaal,nuckels,xiii,jerem,0,2,1
baxon,mahie,meo,trinity92,0,2,0
glory,dalung,flippy,luxus,0,2,0
trif,overtriforce,atlas,stylo ren,0,2,0
kasparv,jim morrison,yeniths,haotwo,0,2,0
zgetto,adamayonmike,zorc,gardex,0,2,0
deathgazer,monopenisguy,$tijn,jmyl,0,-2,-2
westballz,professor pro,divinius,cheez,0,2,0
nuthingdude,kaese,jules,ace,1,1,2
blaze,däumling,matthijs,tilt,0,2,0
jeapie,avalancer,rensxd,.fb,0,2,0
ice,reaper,cortex,pogopeanut,0,2,0
pureskillz,pureevil,lars,coen,0,2,0
marc,amsah,syophan,rarebitfiend,0,2,0
brtarolg,random-ness,utto,ryuker,0,2,1
armada,android,epikfaal,nuckels,0,2,0
baxon,mahie,glory,dalung,0,2,0
trif,overtriforce,kasparv,jim morrison,0,2,0
zgetto,adamayonmike,deathgazer,monopenisguy,0,2,0
westballz,professor pro,jules,ace,0,2,0
blaze,däumling,jeapie,avalancer,1,0,2
ice,reaper,pureskillz,pureevil,0,2,0
marc,amsah,brtarolg,random-ness,0,2,0
armada,android,baxon,mahie,0,-2,-2
trif,overtriforce,zgetto,adamayonmike,0,2,0
westballz,professor pro,jeapie,avalancer,0,-2,-2
ice,reaper,marc,amsah,0,2,1
armada,android,trif,overtriforce,0,-2,-2
westballz,professor pro,ice,reaper,0,-2,-2
myxoma,sir dax,hondafoo,norway,1,0,2
ctn,fout nl,d,becx,0,2,0
kpopoppa,riquiz,wolfjudgement,yungbami,1,0,2
xin,seel,silentwater,purple pain,0,2,0
explo,raoul,kid anarkist,zuluking,0,2,0
familiar,sausage948,knocker,kushwaii,1,0,2
anduni,annii,rabbitalex,bureaucraat,1,-1,0
solo,otak_,szoltan,poofies,0,2,0
captain love,dero,doodle dork,anti care,0,2,0
beatthat,sbr,swiggu,c2,0,0,-1
loonslaaf,real,zerkris,zerqui,0,2,1
baku,paquito,destiknee,xephyer,1,0,2
fai,kibakun3,momspaghetti,feradit,1,1,2
utto,ryuker,aspro,exile,0,2,0
syophan,rarebitfiend,hondafoo,norway,1,1,2
lars,coen,ctn,fout nl,0,2,0
cortex,pogopeanut,wolfjudgement,yungbami,0,0,-1
rensxd,.fb,xin,seel,0,2,0
matthijs,tilt,explo,raoul,0,2,1
nuthingdude,kaese,knocker,kushwaii,0,2,0
divinius,cheez,rabbitalex,bureaucraat,0,2,0
$tijn,jmyl,met,whisky wizard,0,2,0
zorc,gardex,solo,otak_,0,2,0
yeniths,haotwo,captain love,dero,0,2,0
atlas,stylo ren,beatthat,sbr,0,2,0
flippy,luxus,fraude françois,pinkman,0,2,0
meo,trinity92,loonslaaf,real,0,2,0
xiii,jerem,destiknee,xephyer,0,2,0
cookie,pixel,momspaghetti,feradit,1,0,2
utto,ryuker,hondafoo,norway,0,2,0
lars,coen,cortex,pogopeanut,0,0,-1
rensxd,.fb,matthijs,tilt,0,2,0
nuthingdude,kaese,divinius,cheez,0,2,0
$tijn,jmyl,zorc,gardex,1,0,2
yeniths,haotwo,atlas,stylo ren,0,2,1
flippy,luxus,meo,trinity92,1,0,2
xiii,jerem,momspaghetti,feradit,1,0,2
deathgazer,monopenisguy,utto,ryuker,1,1,2
kasparv,jim morrison,lars,coen,0,2,0
glory,dalung,rensxd,.fb,0,2,0
epikfaal,nuckels,nuthingdude,kaese,1,0,2
brtarolg,random-ness,zorc,gardex,0,2,0
pureskillz,pureevil,yeniths,haotwo,1,1,2
blaze,däumling,meo,trinity92,0,2,0
jules,ace,momspaghetti,feradit,0,2,1
utto,ryuker,kasparv,jim morrison,1,1,2
glory,dalung,nuthingdude,kaese,0,2,0
brtarolg,random-ness,yeniths,haotwo,0,2,0
blaze,däumling,jules,ace,0,2,0
jeapie,avalancer,kasparv,jim morrison,0,2,1
marc,amsah,glory,dalung,0,2,1
baxon,mahie,brtarolg,random-ness,0,2,0
zgetto,adamayonmike,blaze,däumling,1,1,2
jeapie,avalancer,marc,amsah,0,-2,-2
baxon,mahie,blaze,däumling,0,-2,-2
armada,android,trif,overtriforce,0,-2,-2
westballz,professor pro,ice,reaper,0,-2,-2
armada,android,westballz,professor pro,0,3,0
armada,android,westballz,professor pro,0,3,0
jeapie,avalancer,marc,amsah,0,-2,-2
baxon,mahie,blaze,däumling,1,1,3
ice,reaper,jeapie,avalancer,0,3,0
trif,overtriforce,blaze,däumling,0,3,2
ice,reaper,trif,overtriforce,0,3,1
westballz,professor pro,ice,reaper,0,3,0
