p1,p2,finalPlacement
xin,seel,33
meo,trinity92,17
explo,raoul,33
baku,paquito,49
epikfaal,nuckels,17
myxoma,sir dax,49
solo,otak_,33
d,becx,49
beatthat,sbr,33
flippy,luxus,25
$tijn,jmyl,25
silentwater,purple pain,49
aspro,exile,33
cortex,pogopeanut,25
wolfjudgement,yungbami,33
met,whisky wizard,33
matthijs,tilt,25
syophan,rarebitfiend,33
marc,amsah,7
trif,overtriforce,4
zorc,gardex,17
rensxd,.fb,17
knocker,kushwaii,33
ctn,fout nl,33
kid anarkist,zuluking,49
familiar,sausage948,49
doodle dork,anti care,49
cookie,pixel,33
jules,ace,13
szoltan,poofies,49
nuthingdude,kaese,13
atlas,stylo ren,25
yeniths,haotwo,13
glory,dalung,9
anduni,annii,49
zerkris,zerqui,49
kasparv,jim morrison,9
fraude françois,pinkman,33
kpopoppa,riquiz,49
jeapie,avalancer,5
xiii,jerem,25
lars,coen,17
baxon,mahie,7
fai,kibakun3,49
ice,reaper,3
pureskillz,pureevil,17
hondafoo,norway,25
swiggu,c2,49
armada,android,1
zgetto,adamayonmike,9
divinius,cheez,25
destiknee,xephyer,33
blaze,däumling,5
rabbitalex,bureaucraat,33
momspaghetti,feradit,17
captain love,dero,33
westballz,professor pro,2
utto,ryuker,13
brtarolg,random-ness,9
deathgazer,monopenisguy,17
loonslaaf,real,33
