T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
nard dogg,bluebuster,trix,dankdaddy,0,2,0
bobby frizz,shinobi,pops,pbz,0,2,0
cob,amida,objection!,tac,0,2,0
android,armada,nard dogg,bluebuster,0,2,0
bobby frizz,shinobi,cob,amida,0,2,0
android,armada,bobby frizz,shinobi,0,2,0
android,armada,bobby frizz,shinobi,0,-2,-2
pops,pbz,objection!,tac,0,2,0
cob,amida,trix,dankdaddy,0,2,0
nard dogg,bluebuster,pops,pbz,0,2,0
cob,amida,nard dogg,bluebuster,0,2,0
bobby frizz,shinobi,cob,amida,0,2,1
hank,dragedo,set!,mahatma,0,2,0
4%,boyd,mojoe,crupyo,0,2,0
vista,liberate,stroker,y.n.c.,0,2,0
sfat,pewpewu,hank,dragedo,0,2,0
4%,boyd,vista,liberate,1,1,2
sfat,pewpewu,vista,liberate,0,2,0
sfat,pewpewu,4%,boyd,0,-2,-2
mojoe,crupyo,stroker,y.n.c.,1,0,2
4%,boyd,set!,mahatma,0,2,0
hank,dragedo,stroker,y.n.c.,0,2,0
4%,boyd,hank,dragedo,0,2,0
vista,liberate,4%,boyd,1,0,2
trix,fannypack,oblivion wing,kasotai,0,2,0
rik,lanceinthepants,johncraw,t_nils,0,2,0
iifter,slowking,rezah,jr,0,2,0
ice,leffen,trix,fannypack,0,2,0
rik,lanceinthepants,iifter,slowking,0,2,0
ice,leffen,rik,lanceinthepants,0,2,0
ice,leffen,rik,lanceinthepants,0,-2,-2
johncraw,t_nils,rezah,jr,1,0,2
iifter,slowking,oblivion wing,kasotai,0,0,-1
trix,fannypack,rezah,jr,0,2,0
iifter,slowking,trix,fannypack,0,2,0
rik,lanceinthepants,iifter,slowking,0,2,0
trixter,yashichi,longlegs,thedoctorisin,0,2,0
vro,kels,gumby,ben2,0,2,0
blahguy,surf's up. hail satan.,goobershadow,wepeel,0,2,1
hungrybox,mew2king,trixter,yashichi,0,2,0
vro,kels,blahguy,surf's up. hail satan.,0,2,1
hungrybox,mew2king,vro,kels,0,2,0
hungrybox,mew2king,vro,kels,0,-2,-2
gumby,ben2,goobershadow,wepeel,1,-1,0
blahguy,surf's up. hail satan.,longlegs,thedoctorisin,0,2,0
trixter,yashichi,goobershadow,wepeel,0,2,0
blahguy,surf's up. hail satan.,trixter,yashichi,1,0,2
vro,kels,trixter,yashichi,0,2,0
nuggets,home,vigilance,eggs on legs,0,2,0
homemadewaffles,phil,obamallama,hubes,0,2,0
reesch,greenwalk,nox,jacky,1,0,2
swedish delight,axe,nuggets,home,0,2,0
homemadewaffles,phil,nox,jacky,0,2,1
swedish delight,axe,homemadewaffles,phil,0,2,0
swedish delight,axe,homemadewaffles,phil,0,-2,-2
obamallama,hubes,reesch,greenwalk,1,0,2
nox,jacky,vigilance,eggs on legs,0,2,0
nuggets,home,reesch,greenwalk,1,1,2
nox,jacky,reesch,greenwalk,1,1,2
homemadewaffles,phil,reesch,greenwalk,0,2,0
law,roshi,derpson,undercoverraptor,0,2,0
professor pro,chudat,pablopicasso,spaghett,0,2,0
photonic,xiivi,soberd,sideb,0,2,0
shroomed,s2j,law,roshi,0,2,0
professor pro,chudat,photonic,xiivi,0,2,0
shroomed,s2j,professor pro,chudat,0,2,0
shroomed,s2j,professor pro,chudat,0,-2,-2
pablopicasso,spaghett,soberd,sideb,0,2,0
photonic,xiivi,derpson,undercoverraptor,0,2,0
law,roshi,pablopicasso,spaghett,0,2,0
photonic,xiivi,law,roshi,1,1,2
professor pro,chudat,law,roshi,0,2,0
og swaglord,mantis,denec,sambr,1,1,2
n0ne,the moon,prilo,wisaac,0,0,-1
genoblast,hylian,lawyerdog,lago,0,2,0
macd,druggedfox,denec,sambr,0,2,0
n0ne,the moon,genoblast,hylian,0,2,0
macd,druggedfox,n0ne,the moon,1,1,2
n0ne,the moon,macd,druggedfox,0,-2,-2
prilo,wisaac,lawyerdog,lago,1,-1,0
genoblast,hylian,og swaglord,mantis,0,2,1
denec,sambr,lawyerdog,lago,0,2,0
genoblast,hylian,denec,sambr,0,2,0
macd,druggedfox,genoblast,hylian,0,2,0
mercury,sinon,seto,kre,0,2,0
flion,a-wall,stacked,puddingpop,0,2,0
colbol,dizzkidboogie,mercury,sinon,0,2,0
duck,prince f. abu,flion,a-wall,0,2,0
colbol,dizzkidboogie,duck,prince f. abu,0,2,0
colbol,dizzkidboogie,duck,prince f. abu,0,-2,-2
flion,a-wall,seto,kre,0,2,0
mercury,sinon,stacked,puddingpop,1,0,2
flion,a-wall,stacked,puddingpop,0,2,1
duck,prince f. abu,flion,a-wall,0,2,0
android,armada,colbol,dizzkidboogie,0,3,1
hungrybox,mew2king,swedish delight,axe,0,3,2
sfat,pewpewu,n0ne,the moon,0,3,0
ice,leffen,shroomed,s2j,0,3,1
android,armada,hungrybox,mew2king,0,3,0
sfat,pewpewu,ice,leffen,0,3,1
android,armada,sfat,pewpewu,1,0,3
sfat,pewpewu,ice,leffen,1,2,3
ice,leffen,sfat,pewpewu,1,1,3
bobby frizz,shinobi,duck,prince f. abu,1,0,2
vro,kels,homemadewaffles,phil,0,2,1
4%,boyd,macd,druggedfox,1,0,2
rik,lanceinthepants,professor pro,chudat,1,0,2
swedish delight,axe,duck,prince f. abu,0,3,1
colbol,dizzkidboogie,vro,kels,1,2,3
shroomed,s2j,macd,druggedfox,0,3,0
n0ne,the moon,professor pro,chudat,0,3,0
swedish delight,axe,vro,kels,0,3,1
shroomed,s2j,n0ne,the moon,0,3,0
ice,leffen,swedish delight,axe,0,3,0
hungrybox,mew2king,shroomed,s2j,0,3,2
ice,leffen,hungrybox,mew2king,0,3,2
android,armada,ice,leffen,1,1,3
