p1,p2,finalPlacement
mercurysinon,33
stackedpuddingpop,25
pablopicassospaghett,33
macddruggedfox,9
gumbyben2,49
hungryboxmew2king,4
fliona-wall,17
hankdragedo,25
obamallamahubes,49
trixfannypack,25
set!mahatma,33
og swaglordmantis,33
n0nethe moon,7
vigilanceeggs on legs,33
professor prochudat,9
duckprince f. abu,9
denecsambr,25
popspbz,33
johncrawt_nils,49
nuggetshome,33
trixteryashichi,17
genoblasthylian,17
derpsonundercoverraptor,33
sfatpewpewu,1
mojoecrupyo,49
cobamida,17
soberdsideb,49
photonicxiivi,25
blahguysurf's up. hail satan.,25
androidarmada,3
objection!tac,49
setokre,33
lawyerdoglago,33
4%boyd,13
iceleffen,2
colboldizzkidboogie,9
nard doggbluebuster,25
bobby frizzshinobi,13
riklanceinthepants,13
rezahjr,33
iifterslowking,17
trixdankdaddy,33
longlegsthedoctorisin,33
strokery.n.c.,33
swedish delightaxe,5
vistaliberate,17
oblivion wingkasotai,33
noxjacky,25
shroomeds2j,5
prilowisaac,49
lawroshi,17
vrokels,7
reeschgreenwalk,17
homemadewafflesphil,13
goobershadowwepeel,33
