T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
zook,suezo,the dormouse,vyn,1,0,2
zook,suezo,milkmuffinman,shu shine,0,2,0
zook,suezo,baeblade,mysterion,0,0,-1
dezno,sassmaster,oldmiat,johnjohn,0,2,0
dezno,sassmaster,bell,juicé,1,-1,0
bonsaiwarrior,magi,dezno,sassmaster,0,2,0
bonsaiwarrior,magi,smashyoface,mr. z,0,2,0
papa nooch,phil collins,phrigid,$wank,0,2,0
papa nooch,phil collins,nuggets,nastynard,0,2,0
papa nooch,phil collins,toucan sam,worm,0,0,-1
the dormouse,vyn,papa nooch,phil collins,1,0,2
taylorhj,citrus,phrigid,$wank,0,2,0
taylorhj,citrus,gato,sharkz,0,2,1
taylorhj,citrus,rice,dingo,1,0,2
sudofox,prilo,zeta,gaz!,1,0,2
wiggin,whims,tomp,cowbell,1,0,2
stringbean,danbo,dr. gg,025,0,2,0
flamez554,sirencresselia,magebreaker,dj. dickdown,1,0,2
tbone,skin ticket,jim jam flim flam,jcpwn,1,0,2
slim jesus,sweaters,og swaglord,mantis,1,0,2
sfat,dizzkidboogie,wizzrobe,colbol,0,3,2
sfat,dizzkidboogie,rik,lanceinthepants,0,2,0
sfat,dizzkidboogie,seeze,toastyb,0,2,0
sfat,dizzkidboogie,duck,prince abu,0,3,1
sfat,dizzkidboogie,magebreaker,dj. dickdown,0,2,0
wizzrobe,colbol,oldmiat,johnjohn,0,2,0
wizzrobe,colbol,bell,juicé,0,2,0
wizzrobe,colbol,the moon,druggedfox,1,1,2
wizzrobe,colbol,dab,wenbobular,0,2,1
wizzrobe,colbol,ihavespaceballs,bunbun,0,2,0
wizzrobe,colbol,iori,hungrybox,0,3,2
og swaglord,mantis,soulster,dan,0,2,0
darkatma,shinobi,wizzrobe,colbol,1,0,3
darkatma,shinobi,rik,lanceinthepants,0,2,0
darkatma,shinobi,big time rush,compton,0,2,0
darkatma,shinobi,wolven,amida,0,2,0
metroid,marriott moy,ninja nova,derpfish,0,2,0
metroid,marriott moy,og swaglord,mantis,1,0,2
metroid,marriott moy,bozo the fox,arby,1,1,2
photonic,xiivi,blahguy,luigigoshard,0,2,0
photonic,xiivi,sharkman,kiwi,0,2,0
photonic,xiivi,stackdolla$,greenmario,0,2,0
rik,lanceinthepants,photonic,xiivi,0,2,0
rik,lanceinthepants,schythed,weavle,0,2,0
rik,lanceinthepants,zeta,gaz!,0,2,0
blahguy,luigigoshard,hypnotoad,den,1,0,2
blahguy,luigigoshard,der_hund,wallstreet,0,2,0
big time rush,compton,seeze,toastyb,1,0,2
dinowulf,esmod,soulster,dan,1,0,2
dinowulf,esmod,thericky,zzz,1,0,2
wolven,amida,wiggin,whims,0,2,0
wolven,amida,zeta,gaz!,0,2,0
wolven,amida,liberate,cookiemonsta,1,1,2
sharkman,kiwi,tater,gucci swag gubu,0,2,0
hypnotoad,den,bonsaiwarrior,magi,1,0,2
hypnotoad,den,sharkman,kiwi,0,2,0
grim,noah,shriekin' desparado,tron,1,1,2
bozo the fox,arby,papa nooch,phil collins,0,2,0
bozo the fox,arby,drephen,captain faceroll,1,0,2
drephen,captain faceroll,bonsaiwarrior,magi,0,2,0
drephen,captain faceroll,darkatma,shinobi,1,0,2
drephen,captain faceroll,dr. gg,025,0,2,0
drephen,captain faceroll,liberate,cookiemonsta,0,2,0
armada,mew2king,sfat,dizzkidboogie,0,3,2
armada,mew2king,sfat,dizzkidboogie,0,3,0
armada,mew2king,darkatma,shinobi,0,2,0
armada,mew2king,bozo the fox,arby,0,2,0
armada,mew2king,the moon,druggedfox,0,3,0
armada,mew2king,soulster,dan,0,2,0
armada,mew2king,thericky,zzz,0,2,0
seeze,toastyb,stringbean,danbo,0,2,0
seeze,toastyb,flamez554,sirencresselia,0,2,0
bell,juicé,stackdolla$,greenmario,1,1,2
schythed,weavle,sudofox,prilo,0,2,0
schythed,weavle,big time rush,compton,1,0,2
dashdancedan,fueg0,slim jesus,sweaters,0,2,0
dashdancedan,fueg0,rice,dingo,1,0,2
the moon,druggedfox,taylorhj,citrus,0,2,0
the moon,druggedfox,the k.i.d,kraines,0,2,0
the moon,druggedfox,iori,hungrybox,1,2,3
the moon,druggedfox,shriekin' desparado,tron,0,2,0
smashyoface,mr. z,stackdolla$,greenmario,1,0,2
dab,wenbobular,tater,gucci swag gubu,0,2,0
dab,wenbobular,photonic,xiivi,0,2,0
dab,wenbobular,seeze,toastyb,0,2,1
dab,wenbobular,rice,dingo,0,2,0
duck,prince abu,jim jam flim flam,jcpwn,0,2,0
duck,prince abu,wizzrobe,colbol,1,2,3
duck,prince abu,ihavespaceballs,bunbun,0,2,0
duck,prince abu,nuggets,nastynard,0,2,0
mojoe,neon,westballz,mang0,0,0,-1
gato,sharkz,zook,suezo,0,2,0
gato,sharkz,jim jam flim flam,jcpwn,0,2,1
gato,sharkz,papa nooch,phil collins,0,2,1
gato,sharkz,rik,lanceinthepants,1,1,2
dairdev1l,googlyeyed,og swaglord,mantis,0,2,1
dairdev1l,googlyeyed,dashdancedan,fueg0,0,2,0
dairdev1l,googlyeyed,gato,sharkz,1,0,2
the k.i.d,kraines,jim jam flim flam,jcpwn,1,0,2
the k.i.d,kraines,grim,noah,0,2,0
zaz,rob gambino,mojoe,neon,0,2,0
zaz,rob gambino,thericky,zzz,0,2,1
ihavespaceballs,bunbun,the dormouse,vyn,0,2,0
ihavespaceballs,bunbun,og swaglord,mantis,0,2,0
ihavespaceballs,bunbun,milkmuffinman,shu shine,0,2,1
nuggets,nastynard,tbone,skin ticket,0,2,0
nuggets,nastynard,shriekin' desparado,tron,0,2,0
soulster,dan,mojoe,neon,0,2,1
rice,dingo,ninja nova,derpfish,0,2,0
rice,dingo,bozo the fox,arby,1,-1,0
rice,dingo,zaz,rob gambino,0,2,0
liberate,cookiemonsta,stringbean,danbo,0,2,0
liberate,cookiemonsta,ihavespaceballs,bunbun,1,0,2
liberate,cookiemonsta,magebreaker,dj. dickdown,0,2,0
westballz,mang0,kpan,flamin roy,1,-1,0
iori,hungrybox,bonsaiwarrior,magi,0,2,0
iori,hungrybox,dab,wenbobular,0,2,0
iori,hungrybox,duck,prince abu,1,1,2
iori,hungrybox,myztek,2krunkvillain,0,2,0
iori,hungrybox,stackdolla$,greenmario,0,2,0
myztek,2krunkvillain,hypnotoad,den,0,2,0
myztek,2krunkvillain,der_hund,wallstreet,0,2,1
myztek,2krunkvillain,liberate,cookiemonsta,1,1,2
stackdolla$,greenmario,tomp,cowbell,0,2,0
kpan,flamin roy,sfat,dizzkidboogie,1,0,2
kpan,flamin roy,drephen,captain faceroll,0,2,0
kpan,flamin roy,dairdev1l,googlyeyed,0,2,0
kpan,flamin roy,zaz,rob gambino,0,2,0
kpan,flamin roy,iori,hungrybox,1,0,3
kpan,flamin roy,toucan sam,worm,0,0,-1
thericky,zzz,baeblade,mysterion,0,0,-1
tomp,cowbell,big time rush,compton,1,0,2
