p1,p2,finalPlacement
ninja novaderpfish,49
sharkmankiwi,33
bozo the foxarby,13
shriekin' desparadotron,33
deznosassmaster,33
magebreakerdj. dickdown,33
oldmiatjohnjohn,49
sudofoxprilo,49
og swaglordmantis,17
photonicxiivi,17
grimnoah,49
toucan samworm,65
hypnotoadden,25
riklanceinthepants,9
myztek2krunkvillain,17
flamez554sirencresselia,49
seezetoastyb,17
soulsterdan,25
wolvenamida,25
wizzrobecolbol,3
nuggetsnastynard,25
stackdolla$greenmario,25
kpanflamin roy,7
armadamew2king,1
mojoeneon,33
zooksuezo,33
belljuicé,33
the k.i.dkraines,33
darkatmashinobi,7
milkmuffinmanshu shine,49
papa noochphil collins,17
schythedweavle,33
liberatecookiemonsta,13
dairdev1lgooglyeyed,17
ricedingo,13
dr. gg025,49
dashdancedanfueg0,33
dinowulfesmod,49
smashyofacemr. z,49
phrigid$wank,49
stringbeandanbo,33
blahguyluigigoshard,33
duckprince abu,5
ihavespaceballsbunbun,9
wigginwhims,65
westballzmang0,49
the moondruggedfox,5
taylorhjcitrus,17
drephencaptain faceroll,9
therickyzzz,33
slim jesussweaters,49
dabwenbobular,9
gatosharkz,13
jim jam flim flamjcpwn,25
bonsaiwarriormagi,17
tboneskin ticket,49
tatergucci swag gubu,49
baeblademysterion,65
der_hundwallstreet,49
iorihungrybox,4
tompcowbell,49
the dormousevyn,33
zazrob gambino,25
sfatdizzkidboogie,2
zetagaz!,33
metroidmarriott moy,33
big time rushcompton,25
