P1,P2,set winner,P1Score,P2Score
sandman,5k,0,2,0
liteup,p7,0,0,-1
andysandy,j__j,0,0,-1
sop b,spriggs,1,-1,0
mew2king,sandman,0,2,0
creamybiscuit,rox r,1,0,2
sorp,liteup,0,2,0
shadowlink,adam grakowsky,0,0,-1
arias,andysandy,0,2,1
goon,triad_prodigy,1,1,2
kite,spriggs,0,2,0
meme_gonzalez,taka,1,-1,0
mew2king,rox r,0,2,0
sorp,shadowlink,1,1,2
arias,triad_prodigy,1,0,2
kite,taka,0,2,0
mew2king,shadowlink,0,2,0
triad_prodigy,kite,0,2,1
mew2king,triad_prodigy,0,-2,-2
meme_gonzalez,5k,1,-1,0
goon,p7,0,0,-1
adam grakowsky,j__j,0,0,-1
creamybiscuit,sop b,0,0,-1
5k,spriggs,1,0,2
goon,andysandy,0,2,0
adam grakowsky,liteup,1,-1,0
creamybiscuit,sandman,1,0,2
sorp,spriggs,0,2,0
rox r,goon,0,2,0
taka,liteup,0,2,0
arias,sandman,0,2,0
sorp,rox r,1,0,2
taka,arias,1,1,2
kite,rox r,1,0,2
shadowlink,arias,1,0,2
rox r,arias,0,-2,-2
rezuko,meth,1,1,2
rayramono,jarros,0,2,0
zarc,porkloins,1,1,2
wolfwarrior345,coolkidjj8,1,-1,0
the moon,meth,0,2,0
twod,spam adams,0,2,0
somar,rayramono,0,2,0
floppy tuesday,grill,0,0,-1
cuppajoe,porkloins,0,2,0
chico,makar,1,-1,0
emanon,coolkidjj8,1,-1,0
diavolo,cottons,1,-1,0
the moon,twod,0,2,0
somar,floppy tuesday,0,2,0
cuppajoe,makar,0,2,0
coolkidjj8,cottons,1,0,2
the moon,somar,0,2,0
cuppajoe,cottons,0,2,0
the moon,cuppajoe,0,-2,-2
diavolo,rezuko,1,-1,0
chico,jarros,1,-1,0
grill,zarc,1,-1,0
spam adams,wolfwarrior345,0,0,-1
rezuko,emanon,0,0,-1
jarros,porkloins,1,0,2
zarc,rayramono,0,2,0
spam adams,meth,1,-1,0
floppy tuesday,rezuko,0,2,0
twod,porkloins,1,1,2
coolkidjj8,zarc,1,0,2
makar,meth,1,1,2
floppy tuesday,porkloins,0,2,0
zarc,meth,0,2,0
cottons,floppy tuesday,0,2,0
somar,zarc,0,2,0
cottons,somar,0,-2,-2
jimmy rustler,ditto,1,-1,0
jimmy rustler,yung,1,-1,0
duckfro,swaminasty,1,-1,0
duckfro,switch,1,-1,0
darkgenex,slifer,0,2,0
darkgenex,jbiz,0,2,0
darkgenex,yung,0,2,0
dlearyous,destroyer,0,2,0
dlearyous,lima,1,0,2
dlearyous,slifer,1,1,2
buzz,ditto,0,2,0
lima,crash,0,2,1
berserker,darkgenex,0,-2,-2
berserker,buzz,0,2,0
berserker,runswithscissors,0,2,0
slifer,runswithscissors,0,2,1
slifer,ditto,0,2,0
puddn,destroyer,0,2,0
dj nintendo,darkgenex,0,2,0
dj nintendo,berserker,0,2,0
dj nintendo,puddn,0,2,0
dj nintendo,switch,0,-2,-2
runswithscissors,crash,0,2,0
runswithscissors,puddn,0,2,0
ditto,jbiz,0,0,-1
snacks,buzz,0,2,0
snacks,runswithscissors,1,0,2
snacks,switch,1,0,2
swaminasty,buzz,1,1,2
swaminasty,jbiz,1,1,2
wombat,lima,0,2,0
wombat,berserker,1,0,2
wombat,slifer,0,2,0
switch,wombat,0,2,0
yung,lima,0,2,1
yung,berserker,1,0,2
sambomaster,x,0,2,0
bastista,tackman,0,0,-1
v0s,disappointing asian man,1,-1,0
vaar,rollsroyz,0,2,1
mafia,sambomaster,0,2,0
dimension,davyjones,0,2,0
