name,finalPlacement
coolin,33
andysandy,97
7blanks,97
floppy tuesday,33
goon,65
l r a start fox,97
diavolo,129
dark mgets,129
avium,65
the brometheus,97
kite,33
lapsy143,129
coolkidjj8,65
insomniac,65
sirhunk,129
ionthekid,25
dan salvato,13
porkloins,49
tackman,97
zarc,33
v0s,129
emanon,97
jc_chill,65
abso,33
lamp,65
tony,65
mafia,2
flow,65
j-skeezy,129
jimmy rustler,129
failsafe,25
tt,65
davyjones,65
bubby,65
duckfro,129
swaminasty,97
catastrophe,97
arias,17
spriggs,65
puddn,97
taka,49
grill,129
switch,13
theswooper,9
meth,49
crash,129
dr. b,49
jflex,9
bigboiii,49
meme_gonzalez,129
shadowlink,33
sleepy,129
meowskin,33
wombat,33
5k,97
rollsroyz,129
stango,5
minty,5
rox r,25
sop b,129
rezuko,65
pusheen queen,65
lunar,49
hideaki,129
odyssey,97
liteup,65
triad_prodigy,17
imoogi,49
joatguy,97
buu,33
somar,17
godtouch,33
pudgypanda,7
pochilin,25
dimension,33
j__j,129
wolfwarrior345,129
makar,65
steak,65
jetfall,97
rayramono,97
ok0k,129
iteachphysics,97
dunk,25
robo-ky,33
heck,49
g$,9
dlearyous,97
raalts,97
creamybiscuit,97
swanson,97
kaeon,7
suliman,65
clorox,129
the box ghost,49
crispy will,49
x,97
njzfinest,17
myk,65
pika,49
sketchnin,97
copycat,17
qz,129
seven,129
hawkboy1080yt,97
sambomaster,97
keto,25
jb23,65
buzz,65
panties,17
chico,129
sandman,65
lecceo,33
lima,65
dreager1,129
the moon,3
cottons,25
jbiz,97
mew2king,1
twod,65
bastista,49
destroyer,129
p7,129
spam adams,97
jayronimo,65
borp,9
rhino,65
berserker,17
gumi,97
robelious,129
mr. orange,97
vaar,65
adam grakowsky,97
lazy,13
darkgenex,25
ditto,65
snacks,65
awsmsean,129
gkellz,65
sorp,49
cuppajoe,13
hrctypo,17
crimson,97
cupcake,97
jbluray,33
disappointing asian man,65
bacon,129
yung,49
runswithscissors,49
slifer,33
dank frank,65
jarros,97
k@s,129
dj nintendo,4
kukoc,97
professor plump,49
scythesurge,33
sage,129
master j.j.,129
