P1,P2,set winner,P1Score,P2Score
armada,peanutz996,0,2,0
zíng,trip,0,2,0
calzum,sukou,0,-2,-2
armada,trip,0,2,0
peanutz996,sukou,0,-2,-2
zíng,calzum,1,0,2
armada,sukou,0,-2,-2
trip,calzum,1,0,2
peanutz996,zíng,1,0,2
armada,calzum,0,2,0
sukou,zíng,0,-2,-2
trip,peanutz996,1,0,2
armada,zíng,0,2,0
calzum,peanutz996,0,2,0
sukou,trip,0,-2,-2
jonas,dcj,0,0,-1
pots,leering,0,2,0
pilot,tonymalone,0,2,0
ice,dcj,0,0,-1
jonas,tonymalone,0,2,1
pots,pilot,0,2,0
ice,leering,0,2,0
dcj,tonymalone,1,-1,0
jonas,pots,0,2,1
ice,tonymalone,0,2,0
leering,pilot,1,0,2
dcj,pots,1,-1,0
ice,pilot,0,2,0
tonymalone,pots,1,0,2
leering,jonas,0,2,1
ice,pots,0,2,0
pilot,jonas,1,1,2
leering,dcj,0,0,-1
ice,jonas,0,2,0
pilot,dcj,0,0,-1
tonymalone,leering,0,2,0
leffen,shais young,0,2,0
duckslayer,mistake,0,0,-1
kcg,blank,0,2,0
leffen,mistake,0,2,0
shais young,blank,1,1,2
duckslayer,kcg,1,0,2
leffen,blank,0,2,0
mistake,kcg,1,-1,0
shais young,duckslayer,0,2,0
leffen,kcg,0,2,0
blank,duckslayer,1,0,2
mistake,shais young,1,-1,0
leffen,duckslayer,0,2,0
kcg,shais young,0,2,0
blank,mistake,0,0,-1
aellgi,herr råbob,0,2,0
impx,ander,0,2,0
mr. toothbrush,dahl,1,0,2
westballz,herr råbob,0,2,0
aellgi,dahl,0,2,0
impx,mr. toothbrush,0,2,0
westballz,ander,0,2,0
herr råbob,dahl,1,0,2
aellgi,impx,0,2,0
westballz,dahl,0,2,1
ander,mr. toothbrush,0,2,0
herr råbob,impx,1,0,2
westballz,mr. toothbrush,0,2,0
dahl,impx,1,1,2
ander,aellgi,1,0,2
westballz,impx,0,2,0
mr. toothbrush,aellgi,1,1,2
ander,herr råbob,0,2,0
westballz,aellgi,0,2,0
mr. toothbrush,herr råbob,1,1,2
dahl,ander,0,2,1
joanna dark,loke,0,-2,-2
dyne,lelize,0,2,0
gndy,rush,0,2,0
brtarolg,loke,0,-2,-2
joanna dark,rush,0,-2,-2
dyne,gndy,1,1,2
brtarolg,lelize,0,2,0
loke,rush,0,-2,-2
joanna dark,dyne,0,-2,-2
brtarolg,rush,0,2,0
lelize,gndy,1,0,2
loke,dyne,0,-2,-2
brtarolg,gndy,0,2,0
rush,dyne,1,1,2
lelize,joanna dark,0,-2,-2
brtarolg,dyne,0,2,0
gndy,joanna dark,0,-2,-2
lelize,loke,0,-2,-2
brtarolg,joanna dark,0,-2,-2
gndy,loke,0,-2,-2
rush,lelize,0,2,0
fauster,mo,0,2,0
k1kk0m4n,pj,0,2,0
arson (aka mc sweden),krisspear,0,2,0
fauster,pj,0,2,0
mo,krisspear,1,0,2
