P1,P2,set winner,P1Score,P2Score
neologism,niar,0,2,0
grapefruit,kafka,0,2,0
dayman,seen,0,2,0
hungrybox,niar,0,2,0
neologism,seen,0,2,0
grapefruit,dayman,1,0,2
hungrybox,kafka,0,2,0
niar,seen,1,1,2
neologism,grapefruit,0,2,0
hungrybox,seen,0,2,0
kafka,dayman,1,0,2
niar,grapefruit,1,0,2
hungrybox,dayman,0,2,0
seen,grapefruit,0,2,0
kafka,neologism,1,0,2
hungrybox,grapefruit,0,2,0
dayman,neologism,1,0,2
kafka,niar,1,1,2
hungrybox,neologism,0,2,0
dayman,niar,0,2,0
seen,kafka,0,2,0
eon,| straywolf,1,-1,0
brizzy,jyrow,0,2,0
maverlck21,indecisive,1,-1,0
zhu,| straywolf,0,2,0
eon,indecisive,0,2,0
brizzy,maverlck21,0,0,-1
zhu,jyrow,0,2,0
| straywolf,indecisive,0,2,1
eon,brizzy,1,0,2
zhu,indecisive,0,2,0
jyrow,maverlck21,0,0,-1
| straywolf,brizzy,1,0,2
zhu,maverlck21,0,0,-1
indecisive,brizzy,1,1,2
jyrow,eon,1,0,2
zhu,brizzy,0,2,0
maverlck21,eon,1,-1,0
jyrow,| straywolf,0,0,-1
zhu,eon,0,2,0
maverlck21,| straywolf,1,-1,0
indecisive,jyrow,0,2,0
mado,squeakie,0,2,0
marteeen,mossman,1,0,2
gemigumi,slik,1,0,2
nightmare,squeakie,0,2,0
mado,slik,0,2,0
marteeen,gemigumi,1,0,2
nightmare,mossman,0,2,0
squeakie,slik,1,1,2
mado,marteeen,0,2,0
nightmare,slik,0,2,0
mossman,gemigumi,1,0,2
squeakie,marteeen,0,2,0
nightmare,gemigumi,0,2,0
slik,marteeen,0,2,0
mossman,mado,1,0,2
nightmare,marteeen,0,2,0
gemigumi,mado,1,0,2
mossman,squeakie,1,0,2
nightmare,mado,0,2,0
gemigumi,squeakie,1,0,2
slik,mossman,0,2,0
lonebutterfish,fp9,0,2,0
alliecat,javqa,0,2,0
mox,bladeless,0,2,0
legend,fp9,0,2,0
lonebutterfish,bladeless,0,2,0
alliecat,mox,0,2,0
legend,javqa,0,2,0
fp9,bladeless,1,0,2
lonebutterfish,alliecat,0,2,0
legend,bladeless,0,2,0
javqa,mox,1,0,2
fp9,alliecat,1,0,2
legend,mox,0,2,0
bladeless,alliecat,1,0,2
javqa,lonebutterfish,1,0,2
legend,alliecat,0,2,0
mox,lonebutterfish,1,0,2
javqa,fp9,0,2,0
legend,lonebutterfish,0,2,1
mox,fp9,0,2,0
bladeless,javqa,0,2,0
looke,dlos,0,2,0
lilypad,broshadian,0,2,0
chuman,memes,1,1,2
jamrun,dlos,0,2,0
looke,memes,0,2,0
lilypad,chuman,0,2,0
jamrun,broshadian,0,2,0
dlos,memes,0,0,-1
