name,finalPlacement
yaruzu,193
andu,193
ramblingjosh,193
rappsody,65
wobbaduck,193
taters,129
prozak,65
andyboy,161
kage,13
dude,193
n00b64,193
marvel,129
vierance,65
sunrisebanana,65
blitz,65
bonntoes,129
toph,13
fly sloth,65
grapefruit,129
toasty,129
morsecode762,25
skydragon,161
butterlord,193
reverse,49
memes,161
zhu,5
ponski,193
duck,9
macd,5
symptomized,97
launders,161
thedoc,193
ferox,49
legend,13
commander ice,161
hvac,49
spoopy,193
dayman,65
kyrios,129
wransky,129
freed00m,97
plum,25
trevor,161
drolian,33
marko64,33
marquee,65
auxv,129
yardsale,25
thoth,225
inferno bop,193
cochise,129
mossman,161
slush,33
vanitas,17
bozy,97
tastygoldfish,129
g pipes,33
enjoy,97
padre,33
alliecat,65
terb,161
cylinder,49
mr. potatobread,97
phake,33
fake,65
armada,1
yellowbob0,193
kafka,193
limez,97
eon,65
lilypad,97
baldr,193
angelo,129
huskygamer,129
| straywolf,97
luckerdog,129
stngr,161
dot,49
fp9,193
jamrun,17
hex,33
sora,97
lonebutterfish,33
tea,65
sackofwine,97
ben,161
boo,97
passa,97
austyp,129
maz,129
blueman,225
crash,97
voltampt,33
4orty,161
coffeeblack,7
webs,65
chuman,193
harvest,129
cosmicswagdaddy,193
damian tyson,17
lumi,97
deathorse,65
cdoe,65
hungrybox,2
ak47,97
mado,33
koop,97
trulliam,13
izek,33
vampire,161
bratic,161
samson,97
truckasaurus,33
dope,33
tektite,225
briefs,49
polychrome,97
lucas anderson,129
jyrow,161
mew2king,3
brizzy,49
slippy,49
indecisive,129
bandit,65
drifter,129
dlos,65
d$,97
seen,97
kid,65
zen,129
pantsless,97
darkgenex,193
elili,97
emk,97
ryan ford,9
moky,17
dragonfly,161
b-millz,97
emento,33
bladeless,129
aztec2step,161
fork,17
meo,161
1000,161
niar,161
mach,161
fern,193
mcducky potatoes,193
tina,161
burnaby,129
tsuinami,65
thesuslur14,161
monkee,193
nate$,65
maverlck21,193
kjh,9
dhir,65
nombre,161
heartstrings,65
mini,65
restez,225
krisp,65
cco,65
dutch,161
minubrute,161
broshadian,129
nintnt,25
rewind,225
karma (jp),33
ib,65
kug,193
wex,97
sasquach,193
bolvelt,49
windrose,25
spiderhater,193
aura,193
emanon,49
ir,161
mox,97
calvin,65
gemigumi,129
badlands,193
highwata,161
savage,49
monib,25
marteeen,193
looke,49
hyprid,17
prince f. abu,7
moop,65
masterdong,193
javqa,161
proto,129
katahri,129
villain,49
jooce,225
squeakie,97
neologism,25
zuppy,49
lotus,49
krono,129
pazuzu,225
n0ne,9
boat,161
slik,65
lymp,129
evan,65
frankie,193
30lb,161
nanaba,97
zhao_guang,49
tas,129
turtleclub,161
kirbykaze,4
thunder mlee,225
sunshine,193
yandere tet$uo,33
debo,97
shade_hr,97
n0z1ck,65
plat,17
yarfy,65
j-bear,129
bubs,97
anvil,129
mgmg,25
l3w!,161
crashman,97
nightmare,17
jankz,129
carmo,193
