P1,P2,set winner,P1Score,P2Score
ironchef,a.c.o.,1,-2,-2
nameless joe,lemons,0,0,-1
nix,r0cky,0,2,0
demodairy,smokin' penelope,1,0,2
bison.m,sabelan,1,0,2
fenlet,ez,1,0,2
hungrybox,a.c.o.,0,2,0
repsguy,dairdev1l,1,0,2
wreck,nameless joe,0,2,0
gwabs,nix,1,0,2
mrlz,smokin' penelope,0,2,0
zeal,haus,1,0,2
benteezy,sabelan,0,2,0
jinzo,ez,1,-1,0
hungrybox,dairdev1l,0,2,0
wreck,nix,0,2,0
mrlz,haus,0,2,0
benteezy,ez,0,2,0
hungrybox,wreck,0,2,0
mrlz,benteezy,0,-2,-2
hungrybox,mrlz,0,2,0
hungrybox,haus,0,-2,-2
jinzo,ironchef,1,0,2
zeal,lemons,0,2,0
smokin' penelope,r0cky,0,2,1
gwabs,demodairy,0,2,0
repsguy,bison.m,1,0,2
a.c.o.,fenlet,1,0,2
ironchef,sabelan,1,0,2
zeal,smokin' penelope,0,2,1
gwabs,nameless joe,0,2,0
bison.m,fenlet,0,2,1
nix,sabelan,0,2,1
dairdev1l,zeal,0,2,1
ez,gwabs,1,0,2
haus,bison.m,0,2,0
nix,dairdev1l,0,2,1
gwabs,haus,1,1,2
benteezy,nix,0,2,0
wreck,haus,1,0,2
benteezy,haus,1,1,2
mrlz,haus,1,1,2
soup,moonshine,0,0,-1
bzrk,express,0,2,0
behemoth,kebin,1,-1,0
duffo,char,1,0,2
silver,donny p.,0,2,0
slox,soup,0,2,0
cyber,sheepdog,0,2,1
mrbenready,bzrk,0,2,1
candyman,kebin,1,0,2
chillindude,char,0,2,0
o,kiddo,0,2,0
envy,silver,0,2,0
swampy,smoof,1,0,2
slox,cyber,0,2,0
mrbenready,kebin,0,2,0
chillindude,o,0,2,0
envy,smoof,0,2,0
slox,mrbenready,0,2,0
chillindude,envy,0,2,0
slox,chillindude,1,1,2
chillindude,slox,0,-2,-2
swampy,moonshine,0,0,-1
kiddo,express,0,2,0
char,behemoth,0,0,-1
candyman,duffo,1,1,2
sheepdog,donny p.,1,0,2
swampy,silver,1,0,2
kiddo,char,1,-2,-2
duffo,bzrk,1,0,2
donny p.,soup,0,2,0
kebin,silver,1,0,2
cyber,char,1,0,2
smoof,bzrk,1,0,2
o,donny p.,0,2,1
silver,char,1,0,2
bzrk,o,0,2,0
envy,char,0,2,0
mrbenready,bzrk,1,1,2
envy,bzrk,0,2,1
slox,envy,0,2,0
icearrow,slow,0,-2,-2
fil,sabo,1,-2,-2
soup,pop$,1,-2,-2
50k!,nars,1,-2,-2
harrisondorf,hafwit,1,-2,-2
laudandus,icearrow,0,-2,-2
exbanditzero,tm12,1,-2,-2
kimosabae,sabo,1,-2,-2
sabz,pop$,1,-2,-2
rula,nars,0,-2,-2
fool94,harmonics,1,-2,-2
vortex,hafwit,0,-2,-2
shockjock,swordz,0,-2,-2
laudandus,tm12,0,-2,-2
sabo,pop$,1,-2,-2
rula,harmonics,0,-2,-2
vortex,shockjock,0,-2,-2
laudandus,pop$,0,-2,-2
rula,vortex,0,-2,-2
laudandus,rula,0,-2,-2
laudandus,vortex,0,-2,-2
swordz,slow,1,-2,-2
fool94,fil,1,-2,-2
nars,soup,0,-2,-2
sabz,50k!,0,-2,-2
exbanditzero,harrisondorf,0,-2,-2
slow,hafwit,0,-2,-2
fil,nars,0,-2,-2
sabz,kimosabae,0,-2,-2
exbanditzero,icearrow,0,-2,-2
sabo,slow,1,-2,-2
tm12,fil,0,-2,-2
shockjock,sabz,1,-2,-2
harmonics,exbanditzero,1,-2,-2
slow,tm12,1,-2,-2
sabz,exbanditzero,1,-2,-2
vortex,tm12,0,-2,-2
pop$,exbanditzero,0,-2,-2
vortex,pop$,0,-2,-2
rula,vortex,1,1,2
xeno,chucknasty,0,2,0
jbiz,dro,1,-2,-2
carlito,nasty,0,2,1
clifford,star99,1,0,2
voo,ringler,0,2,0
the moon,xeno,0,2,0
murky,zectron,0,2,0
focus,dro,0,2,0
ozp,carlito,1,1,2
$mike,star99,0,2,0
burr,keenan,1,0,2
testament,voo,0,2,0
jonpon,wheat,1,0,2
the moon,murky,0,2,0
focus,carlito,0,2,0
$mike,keenan,0,2,0
testament,wheat,1,0,2
the moon,focus,0,2,0
$mike,wheat,0,2,0
the moon,$mike,0,2,0
the moon,$mike,0,-2,-2
jonpon,chucknasty,1,0,2
burr,jbiz,0,-2,-2
star99,nasty,1,-2,-2
ozp,clifford,1,0,2
zectron,ringler,1,0,2
chucknasty,voo,1,0,2
burr,nasty,0,2,0
clifford,dro,1,0,2
ringler,xeno,0,2,0
carlito,voo,1,0,2
murky,burr,1,0,2
testament,dro,0,2,1
keenan,ringler,0,2,1
voo,burr,0,2,0
testament,keenan,0,2,1
wheat,voo,0,2,0
focus,testament,1,1,2
wheat,testament,1,0,2
$mike,testament,0,2,0
nero,joatguy,1,0,2
candyman!,drewgs,0,0,-1
fuddyduddy,jeez,0,2,0
bdr,duke,0,2,0
zeek,jntabeast,1,0,2
gravy,joatguy,0,2,0
aoe,ilskowa,1,0,2
furta,candyman!,0,2,0
oc mike the franchise,fuddyduddy,0,2,0
frootloop,bdr,0,2,0
flimwad,shake,0,0,-1
juggleguy,jntabeast,0,2,0
nilesly,kirito green,0,2,0
gravy,ilskowa,0,2,0
furta,oc mike the franchise,0,2,1
frootloop,flimwad,0,2,0
juggleguy,nilesly,0,2,0
gravy,furta,0,2,0
frootloop,juggleguy,0,2,0
gravy,frootloop,1,1,2
frootloop,gravy,0,-2,-2
kirito green,nero,0,0,-1
shake,drewgs,0,0,-1
bdr,jeez,0,2,0
fuddyduddy,duke,0,2,0
aoe,zeek,0,2,0
kirito green,jntabeast,1,0,2
shake,bdr,1,-1,0
fuddyduddy,candyman!,0,2,0
aoe,joatguy,1,0,2
oc mike the franchise,jntabeast,0,2,0
ilskowa,bdr,1,0,2
nilesly,fuddyduddy,1,0,2
flimwad,joatguy,1,0,2
oc mike the franchise,bdr,1,0,2
fuddyduddy,joatguy,0,2,0
juggleguy,bdr,1,0,2
furta,fuddyduddy,0,2,1
bdr,furta,1,1,2
gravy,furta,0,2,1
baj,glistening,0,2,0
beegs,hitomi j puff,0,0,-1
nimbus,rappsody,1,0,2
who?,ale,0,2,1
gzlrgzlr,dr. poonanny,1,-2,-2
mew2king,baj,0,2,0
stellar,na5h,0,-2,-2
mike g,beegs,0,-2,-2
exoty,rappsody,1,0,2
mang0,who?,1,-2,-2
bigvic340,teach,1,1,2
fabio,dr. poonanny,0,2,0
0xyswag,t-rekt,1,-2,-2
mew2king,stellar,0,2,0
mike g,rappsody,0,2,1
who?,teach,0,2,1
fabio,t-rekt,0,2,0
mew2king,mike g,0,2,0
who?,fabio,1,0,2
mew2king,fabio,0,2,0
mew2king,mike g,0,-2,-2
0xyswag,glistening,0,2,1
bigvic340,hitomi j puff,0,2,0
mang0,nimbus,1,-1,0
exoty,ale,0,2,1
na5h,gzlrgzlr,1,0,2
0xyswag,dr. poonanny,1,0,2
bigvic340,nimbus,1,1,2
exoty,beegs,1,0,2
gzlrgzlr,baj,1,0,2
rappsody,dr. poonanny,0,2,0
stellar,nimbus,1,-2,-2
t-rekt,beegs,1,-2,-2
teach,baj,1,0,2
rappsody,nimbus,0,2,0
beegs,baj,1,0,2
who?,rappsody,1,0,2
mike g,baj,0,-2,-2
rappsody,mike g,1,-2,-2
fabio,mike g,1,0,2
bang,bacon,1,0,2
nathan,randy,0,2,0
noob,badbones,1,0,2
fluid,mumb0 jumb0,1,-1,0
takedown53,youma,1,0,2
zoso,bacon,1,0,2
huck,flaf,1,0,2
future,nathan,0,2,0
miggs,badbones,0,2,0
zhu,mumb0 jumb0,0,2,0
fuzyll,eric,1,0,2
kaike,youma,0,2,0
doritocrumbman,mcswanky,1,0,2
bacon,flaf,0,2,0
future,miggs,0,2,0
zhu,eric,0,2,0
kaike,mcswanky,0,2,0
bacon,future,0,2,0
zhu,kaike,0,2,0
bacon,zhu,1,0,2
zhu,bacon,0,-2,-2
doritocrumbman,bang,0,2,0
fuzyll,randy,1,0,2
mumb0 jumb0,noob,1,0,2
badbones,fluid,0,2,0
huck,takedown53,1,0,2
doritocrumbman,youma,1,0,2
randy,noob,0,2,0
badbones,nathan,0,2,0
takedown53,zoso,0,2,0
miggs,youma,1,0,2
flaf,randy,1,0,2
mcswanky,badbones,0,2,0
eric,takedown53,0,2,0
youma,randy,0,2,0
mcswanky,eric,1,0,2
kaike,youma,0,2,0
future,eric,0,2,0
kaike,future,0,2,0
bacon,kaike,0,2,0
bloodzure,firenze,1,0,2
bloodzure,eviox,1,0,2
cubansandwich,jlo,0,2,0
cubansandwich,jlo,0,2,1
cubansandwich,zzz,0,2,0
firenze,kayko,1,0,2
omar,kayko,1,0,2
omar,lightning,1,0,2
stonerocks,whack,0,2,0
stonerocks,jlo,1,0,2
stonerocks,zzz,1,1,2
eviox,jlo,1,0,2
eviox,beachmaster,1,1,2
jlo,kayko,0,2,0
pewpewu,cubansandwich,0,2,0
pewpewu,proga,0,2,0
pewpewu,lightning,0,2,0
pewpewu,jflex,0,-2,-2
pewpewu,jflex,0,2,0
oc zack,cubansandwich,0,2,0
oc zack,kau,0,2,0
oc zack,shabman productions,0,2,0
oc zack,shabman productions,0,2,0
kau,jlo,1,0,2
kau,nasan,0,2,0
kayko,proga,0,2,0
kayko,shabman productions,1,0,2
shabman productions,lightning,0,2,0
lightning,beachmaster,0,2,1
jflex,firenze,0,2,0
jflex,oc zack,0,2,0
jflex,oc zack,0,-2,-2
jflex,beachmaster,0,2,0
beachmaster,whack,0,-2,-2
beachmaster,teriyaki weeaboo,0,2,0
nasan,shabman productions,1,0,2
nasan,leffen,0,0,-1
leffen,proga,1,-1,0
zzz,shabman productions,1,0,2
zzz,teriyaki weeaboo,0,2,0
sorzan,dad,0,2,0
eight oh eight,lemon,0,2,0
taka,colonel claw,0,2,0
shieldz,void,1,0,2
vesetnet,suezo,1,1,2
wizzrobe,sorzan,0,2,0
spaghetti,apop99,0,2,0
yeroc,eight oh eight,0,2,0
jonnyfox,taka,1,0,2
kpan,void,0,2,0
jonny,rylo ken,1,0,2
jrad,suezo,0,2,1
2salty,waifu,1,0,2
wizzrobe,spaghetti,0,2,0
yeroc,taka,0,2,0
kpan,rylo ken,0,2,1
jrad,waifu,0,2,0
wizzrobe,yeroc,0,2,0
kpan,jrad,0,2,0
wizzrobe,kpan,0,2,0
wizzrobe,kpan,0,-2,-2
2salty,dad,1,0,2
jonny,lemon,1,0,2
void,colonel claw,0,2,0
jonnyfox,shieldz,0,2,0
apop99,vesetnet,1,0,2
dad,suezo,0,2,0
lemon,void,1,0,2
jonnyfox,eight oh eight,1,0,2
vesetnet,sorzan,0,2,0
taka,dad,0,2,0
spaghetti,void,0,2,0
waifu,eight oh eight,1,1,2
rylo ken,vesetnet,1,0,2
taka,spaghetti,0,2,0
eight oh eight,vesetnet,1,0,2
jrad,taka,0,2,1
yeroc,vesetnet,1,0,2
jrad,vesetnet,0,2,0
kpan,jrad,0,2,0
kälte,icon,1,0,2
xbeke,zora,0,2,0
vega,cohenski,1,0,2
eet,griz,0,2,0
rudolph,shaggy,0,2,0
plup,icon,0,2,0
visuals,chaoslink,1,0,2
calvin,xbeke,0,2,0
jbomb,cohenski,1,0,2
pwof,eet,0,2,0
swagbag,jabs,1,0,2
vro,rudolph,0,2,0
quesalupa,kamikaze,1,0,2
plup,chaoslink,0,2,0
calvin,cohenski,1,0,2
pwof,jabs,0,2,0
vro,kamikaze,0,2,0
plup,cohenski,0,2,0
pwof,vro,1,1,2
plup,vro,0,2,0
plup,vro,0,-2,-2
quesalupa,kälte,1,0,2
swagbag,zora,1,0,2
eet,vega,0,2,1
jbomb,griz,0,2,0
visuals,shaggy,1,0,2
kälte,rudolph,1,0,2
zora,eet,1,0,2
jbomb,xbeke,0,2,1
shaggy,icon,1,0,2
calvin,rudolph,1,0,2
chaoslink,eet,1,0,2
kamikaze,jbomb,1,0,2
jabs,icon,0,2,0
rudolph,eet,1,0,2
jbomb,jabs,0,2,1
pwof,eet,0,2,0
cohenski,jbomb,0,2,0
pwof,cohenski,0,2,0
vro,pwof,0,2,0
kity,itrez,0,2,0
fro fo sho,tek9,0,2,0
maskproducer,phoenix,0,2,1
iffy,[n],0,0,-1
emb,rossu,0,2,0
lucky,kity,0,2,0
no love,silenceghost,1,1,2
nurok,fro fo sho,0,2,0
k1ngcr0w,maskproducer,1,1,2
pi,iffy,0,2,0
shyseven,skate,1,0,2
xif,emb,0,2,0
silentwah,crusifix,1,0,2
lucky,silenceghost,0,2,0
nurok,maskproducer,0,2,0
pi,skate,0,2,0
xif,crusifix,0,2,0
lucky,nurok,0,2,0
pi,xif,1,0,2
lucky,xif,0,2,0
lucky,xif,0,-2,-2
silentwah,itrez,0,2,0
shyseven,tek9,1,0,2
iffy,phoenix,0,2,1
k1ngcr0w,[n],0,0,-1
no love,rossu,0,2,1
silentwah,emb,0,2,0
tek9,iffy,0,2,0
k1ngcr0w,fro fo sho,1,1,2
no love,kity,0,2,0
maskproducer,silentwah,1,0,2
silenceghost,tek9,1,0,2
crusifix,fro fo sho,0,2,0
skate,no love,1,1,2
silentwah,tek9,1,0,2
crusifix,no love,0,2,0
pi,tek9,0,2,0
nurok,crusifix,0,2,1
pi,nurok,0,2,1
xif,pi,0,2,1
mittens,kdbt,1,0,2
nicthekiwi,fraudzilla,0,-2,-2
gcs,mediocre,0,2,1
-1up,pootthebox,0,-2,-2
tempest tim,destinite,1,-2,-2
bgsatchel,starman,1,0,2
