name,finalPlacement
nicthekiwi,257
borz,257
a.i.,193
horus,257
admj,257
waifu,257
young will,385
wifl,513
a1-ex,385
darkshadowed,385
kau,257
thunderchunkie,385
osp975,513
fil,257
dublat,97
krudo,97
therapture_,257
envy,65
photon,385
light,257
ale,513
zoso,385
jayfro,257
druggedfox,9
lightning,193
bravo,129
xiivi,129
puppy,385
macd,65
raze,385
fate,385
noon,513
esam,65
chinchilla,257
jagz,193
d-frog,257
| porkchops,33
type1,129
downaironly,257
$mike,17
express,513
wobbles,33
talos,513
jinzo,513
the piledriver,385
stellar,257
11 - 9 grabs,193
asuka!,193
yert,257
starman,193
bronze,513
zzz,257
frardvark,513
fap,513
kayko,193
revelation,513
qz,193
kdbt,513
hungry pigeon,65
nextile,513
dab,129
emo,513
sto0fo0,385
leffen,513
millsipan,257
dunk,65
nagatocchi,257
harriet,65
toph,49
a duck,257
spaghetti,193
212 degrees,257
tm12,129
avester,385
miggs,257
noob,385
a_e_d,129
bzrk,97
blink,257
ghoti,385
warnine,385
itrez,513
matt,257
jrad,65
quasar,385
sirjosh,385
undies!,129
halfrican,385
superultradx,129
candyman,513
kjh,17
zarlen,257
swampy,385
hugs,25
tek9,129
air conditioner,257
sickolas,193
takeshi,513
kw/ak,257
wheat,97
soup,513
ez,257
maskproducer,257
mokocchi,385
hallow,513
barraca,257
fenlet,385
pi,65
pengie,49
nahr,385
rylo ken,257
no love,193
supra,513
randy,193
generalred,385
djoy,385
nero,513
ustanak-rising,513
jntabeast,257
mystic_mane,257
epicramen,385
nychee,513
spence,385
vii,513
gravy,33
lemons,513
squidoo,385
matchu,97
cpu,513
oleyy,513
baeblade,193
dax,193
mr.anderson,193
keenan,193
ebola,129
zerthex,513
fuzyll,513
kpan,25
cookie,193
icearrow,385
zeal,257
bolder,513
quasarwolf,513
level 100 potato,129
dankiel,257
chinaux,513
jessi snow,513
wal,257
theauthor,385
mcswanky,193
tony hawk,513
itsadair,385
voo,129
zook,97
binxxx,385
smokin' penelope,385
kenpachi,49
chillypotpie,129
burr,193
jjjlad,193
linguini,33
renshai,513
nimbus,193
iffy,385
narps,129
kobe,257
gcs,65
exoty,385
kdxkdot,513
silentwah,193
fro fo sho,257
azianraven,257
prince abu,33
future,97
pleb,385
syntax,513
jam,129
vgmasta,129
patrick,513
shekler,385
mediocre,257
young craig,513
tracer,385
zayas,385
na5h,513
benteezy,97
kebin,257
suezo,385
kyball,257
emilywaves,257
locke,257
mittens,513
bom,513
ruffian,385
vortex,49
starlord,65
eight oh eight,193
killua,385
pwof,65
christian,65
colonel claw,513
mikehaze,17
axe,5
silver,193
haus,33
tarchwood,193
bgsatchel,257
clifford,385
pure,257
skate,257
nathan,385
domsta,513
hungrybox,1
lad,97
lysozy,257
rula,65
destinite,385
xeno,385
soup,385
dr. acula zx,385
shockjock,257
sorzan,385
independent,257
dembo,257
rappsody,97
missing,385
kimosabae,385
zhu,25
ricky jo,513
shulgin,513
arakune,193
bake,257
jabberwock,257
t3nshi,129
johnny,513
jon carr,257
juicymoose,513
yami,193
kanye rest,97
wizzrobe,7
xbeke,385
baki,385
fear,257
bearsfan092,129
makko_slade,513
whales,385
memo,129
surge,513
void,257
wills,257
bigvic340,385
srd_javi,257
stockholmsyndrome,129
colinfly,513
trekt,257
tortellini tyler,385
astra,513
altodor,193
leahboo,385
jackie,193
pootthebox,513
kevbot,385
hafwit,385
king momo,65
vega,513
quesalupa,513
wiseclown,193
lovedelic,513
nasty$lckback,385
bach,513
swiftbass,49
bacon,49
desolation,257
poe,257
thad,97
sorrus,257
origamisalami,129
sunnyknight,385
cyber,257
ta wolf,193
bloodzure,513
om,129
mr_sweet,129
pisces,257
j-roc,385
owl,97
thenumber47,129
joatguy,193
repsguy,513
robot owl,257
cruz control,129
bang,513
a.c.o.,513
yng$falcon,513
vanna,257
oc mike the franchise,193
crush,25
tempest tim,513
uma,129
crusifix,129
nurok,97
westballz,513
crb,385
kdat,513
doritocrumbman,385
trickyjeff,193
phish-it,97
behemoth,513
franknbean,385
ozp,513
uuaa,65
youma,129
idk,129
oddomattx,385
hitomi j puff,513
monkey,257
murky,257
babycakes,257
dansdaman,97
reno,33
sfat,3
0xyswag,385
nasty,385
kraines,129
unvalued,513
bison.m,257
articanus,33
pilot,513
ceo,513
v01d,97
octavian,385
