P1,P2,set winner,P1Score,P2Score
thoraxe,mech,0,-2,-2
pil0t,whip,1,-2,-2
anytime99,liaem,0,-2,-2
p2thedr,lodestar,0,-2,-2
rayzorium,charlemagne,0,-2,-2
airfair,pray,0,-2,-2
bobby big ballz,atom,0,-2,-2
akt,whiskeyd,0,-2,-2
thoraxe,whip,0,-2,-2
anytime99,p2thedr,0,-2,-2
rayzorium,airfair,0,-2,-2
bobby big ballz,akt,0,-2,-2
thoraxe,anytime99,0,-2,-2
rayzorium,bobby big ballz,0,-2,-2
thoraxe,rayzorium,0,-2,-2
mech,pil0t,1,-2,-2
liaem,lodestar,0,-2,-2
charlemagne,pray,1,-2,-2
atom,whiskeyd,1,-2,-2
akt,pil0t,0,-2,-2
airfair,liaem,0,-2,-2
p2thedr,pray,0,-2,-2
whip,whiskeyd,1,-2,-2
akt,airfair,0,-2,-2
p2thedr,whiskeyd,0,-2,-2
anytime99,akt,0,-2,-2
bobby big ballz,p2thedr,0,-2,-2
anytime99,bobby big ballz,0,-2,-2
rayzorium,anytime99,0,-2,-2
strawhat,daffle,0,-2,-2
ramrow,slapchopchamp,1,-2,-2
kingly,nka,0,-2,-2
jaywalker,leezy,0,-2,-2
rick,zach,0,-2,-2
tails,bitterking,1,-2,-2
kohai,trash,0,-2,-2
lectril,phazon,0,-2,-2
strawhat,slapchopchamp,0,-2,-2
kingly,jaywalker,1,-2,-2
rick,bitterking,0,-2,-2
kohai,lectril,0,-2,-2
strawhat,jaywalker,0,-2,-2
rick,kohai,0,-2,-2
strawhat,rick,0,-2,-2
daffle,ramrow,1,-2,-2
nka,leezy,0,-2,-2
zach,tails,0,0,-1
trash,phazon,0,-2,-2
lectril,ramrow,0,-2,-2
bitterking,nka,1,-2,-2
kingly,zach,0,-2,-2
slapchopchamp,trash,0,-2,-2
lectril,nka,0,-2,-2
kingly,slapchopchamp,0,-2,-2
jaywalker,lectril,0,-2,-2
kohai,kingly,0,-2,-2
jaywalker,kohai,0,-2,-2
rick,jaywalker,0,-2,-2
citrus,cheetos,0,-2,-2
herbmaster%,bunz,0,-2,-2
ploopy,ogjanks,0,-2,-2
freeshampoo,yuse,0,-2,-2
