P1,P2,set winner,P1Score,P2Score
egg,yield,1,0,2
g~man the cosmic destroyer,leonidas,0,2,0
dapper,zanderwill,0,2,0
frogge,kev,0,0,-1
frizz,wrackle,0,0,-1
dozy,yoyo,0,2,0
oreo,chief,0,2,0
ham,eight%,1,0,2
aaronn,shitty hungrybox,0,2,1
sass,pookie,0,2,0
toxic zane,l33t,1,0,2
willson,r0cket_wizard,1,0,2
takablade13,burnin taco,1,0,2
bupo,mocha,1,0,2
triple f,greed,1,0,2
lauerman,_diesel,0,2,0
contra,yield,1,1,2
beardbot,g~man the cosmic destroyer,1,0,2
scruffy,dapper,1,0,2
some moose,frogge,1,0,2
hurricane,frizz,1,0,2
qualp,dozy,1,1,2
coffeehamster,oreo,1,0,2
flastname,eight%,1,0,2
kidlink,aaronn,0,2,0
mason,sass,1,0,2
radamen,l33t,1,1,2
arán,r0cket_wizard,0,2,1
jp,burnin taco,0,2,0
irs,mocha,1,0,2
cb,greed,1,0,2
cream,lauerman,0,2,0
yield,g~man the cosmic destroyer,0,2,0
dapper,frogge,1,0,2
frizz,dozy,1,0,2
oreo,eight%,0,2,0
kidlink,sass,0,2,0
l33t,arán,0,2,0
jp,mocha,1,1,2
greed,cream,0,2,0
yield,frogge,0,3,0
dozy,oreo,1,1,3
kidlink,l33t,0,3,0
mocha,greed,1,0,3
yield,oreo,1,0,3
kidlink,greed,1,0,3
oreo,greed,0,3,1
