P1,P2,set winner,P1Score,P2Score
edicus,natural,0,-2,-2
nikopena,j-train,0,-2,-2
brentos,chauster,0,-2,-2
nitrolibre,geostigma,0,-2,-2
gorilla,bonzibuddy,0,-2,-2
grace,bd,0,-2,-2
shoryu drew,jstyles,0,-2,-2
brgirardeau,greyarsenic,0,-2,-2
bong,lime,0,-2,-2
sakai,santa,0,-2,-2
bronte,jmlee337,0,-2,-2
legion6691,jd,0,-2,-2
alcapwned,midorima,0,-2,-2
hestoned,irv,0,-2,-2
preme,coxmccox,0,-2,-2
sandman,pyrel,0,-2,-2
darrell,jclone,0,-2,-2
magnum,smiles,0,-2,-2
addy daddy,liaem,0,-2,-2
bensw,showmeyobobs,0,-2,-2
iv,didact25,0,-2,-2
kevingchang,theworstmaker,0,-2,-2
cornbread,gummynerd01,0,-2,-2
darkgenex,toxic sock,0,-2,-2
sivgard,svante,0,-2,-2
woogieboogie,jcxp,0,-2,-2
sko,lefty,0,-2,-2
gus,some kind of cadwallader,0,-2,-2
wonderbread,roman,0,-2,-2
fuzzard,this guy fox,0,-2,-2
snester,sinbaddie,0,-2,-2
slacker298,p33k,0,-2,-2
pickle,gustavocantuf,0,-2,-2
arjuna,mcatorri,0,-2,-2
puffnasty,atx carlos,0,-2,-2
jdubz,killjoy,0,-2,-2
robbyk,glenn coco,0,-2,-2
sourdough,oceslio,0,-2,-2
bulbnut,djswerve,0,-2,-2
suh dude,archangel wizard,0,-2,-2
falkony,hail.hades,0,-2,-2
zyko,elrondel,0,-2,-2
thebigredt,teeeckskay,0,-2,-2
hipsterlumberjack,park,0,-2,-2
hiro,paulaver,0,-2,-2
jerusus,jakulo,0,-2,-2
mo0cat,smash bro virgin,0,-2,-2
reset,tj.wombo,0,-2,-2
kamek,day,0,-2,-2
hubsrico,wine,0,-2,-2
elmore,wooter,0,-2,-2
wombat,improlifics,0,-2,-2
nab,halqery,0,-2,-2
dalln,pg-13,0,-2,-2
jpoptosis,jake13,0,-2,-2
lodestar,quiteballin,0,-2,-2
jbvh,bashnland,0,-2,-2
nail,skullkid,0,-2,-2
-9-,bread,0,-2,-2
samovar,shelby,0,-2,-2
ugi,shridiculous,0,-2,-2
xinicide,tadeo,0,-2,-2
shadow light master,doubledorf,0,-2,-2
_cel,naxx,0,-2,-2
barry allen,schmeckles,0,-2,-2
medic,j-ro,0,-2,-2
wallofpuppies,needlenips,0,-2,-2
neak-o,weavle,0,-2,-2
boynder,mech,0,-2,-2
scrubster,mattjew,0,-2,-2
boolaid,burst,0,-2,-2
rgb,no_johns,0,-2,-2
vikiz,pollaentuboca,0,-2,-2
ring,brayll,0,-2,-2
agent kay,crux do,0,-2,-2
dad?,bait,0,-2,-2
hotaruz,salsaranch,0,-2,-2
shridiculous,bluevii,0,-2,-2
theukuleleguy,studkip,0,-2,-2
thekibk,kevino,0,-2,-2
frozeneye,sloth_behr,0,-2,-2
farbog,yeti,0,-2,-2
khersy,fehrain,0,-2,-2
dollaboiii,the rod,0,-2,-2
vyrulent,banj0,0,-2,-2
ellorin,hzawa,0,-2,-2
green eggs and cam,sedrader,0,-2,-2
mijo,double hl,0,-2,-2
sorry,gh0st,0,-2,-2
sunnyknight,dragonite,0,-2,-2
iko,ivanooz,0,-2,-2
klimno,sadcock,0,-2,-2
smiles,yardo,0,-2,-2
hutch,breachin,0,-2,-2
zug,tomoliver,0,-2,-2
mervis,egg,0,-2,-2
meezmo,beekeeper bill,0,-2,-2
spark510,idlebot,0,-2,-2
vox,el duderino,0,-2,-2
soy,lk,0,-2,-2
le golden magikarp,novice,0,-2,-2
brunobars,zaffhead,0,-2,-2
phantom,pawl,0,-2,-2
flux,kong,0,-2,-2
noops,paid2spade,0,-2,-2
revok,cfh,0,-2,-2
sugoi,pika god,0,-2,-2
wreckenfro,typo,0,-2,-2
kyuu,dmw,0,-2,-2
xyos,anocturnalwar,0,-2,-2
boor,peachtea,0,-2,-2
masskirbycide,grackle sniper,0,-2,-2
championgg,holdenmyd,0,-2,-2
mch,kevinw0w,0,-2,-2
bluekoops16,voice,0,-2,-2
glare,rng,0,-2,-2
miley,rinzler,0,-2,-2
herrmann,ilovesmok,0,-2,-2
ludwig,ram,0,-2,-2
t26 #2528,karby,0,-2,-2
xu,synthesis,0,-2,-2
chedderb0b,holy,0,-2,-2
feeniks,mister krabbs,0,-2,-2
bobo,foom,0,-2,-2
lo,pest killa,0,-2,-2
babygotbackup,zeemz,0,-2,-2
luke,dxovid,0,-2,-2
spoonermcgee,nimblebejack,0,-2,-2
hk,jnasty,0,-2,-2
gimli,khan,0,-2,-2
raboku,lysid,0,-2,-2
prevaloir,icey,0,-2,-2
lectril,ajax,0,-2,-2
tanooki,portalboy,0,-2,-2
scorpius,ecogamer,0,-2,-2
4chat,octoale,0,-2,-2
drazax,bruslwip,0,-2,-2
fraud,fatefiend,0,-2,-2
ketsu,wooter,0,-2,-2
perfect light,bread,0,-2,-2
lgt,mirub,0,-2,-2
tsmith9915,bearjew,0,-2,-2
hungrybox,zap101,0,0,-1
luke,jf,0,0,-1
chillindude,bobo,0,0,-1
mojo,drewzey,0,0,-1
lucky,ram,0,0,-1
