P1,P2,set winner,P1Score,P2Score
novi,derek,0,-2,-2
akke,dabs,0,0,-1
raptormoses,annapower89,0,2,0
armada,derek,0,0,-1
novi,annapower89,1,-1,0
akke,raptormoses,0,2,0
armada,dabs,0,0,-1
derek,annapower89,1,-1,0
novi,akke,1,-1,0
armada,annapower89,0,2,0
dabs,raptormoses,1,-1,0
derek,akke,1,-1,0
armada,raptormoses,0,2,0
annapower89,akke,1,0,2
dabs,novi,0,-2,-2
armada,akke,0,2,0
raptormoses,novi,0,0,-1
dabs,derek,0,-2,-2
armada,novi,0,0,-1
raptormoses,derek,0,0,-1
annapower89,dabs,0,0,-1
trak,tjockisbulle,0,-2,-2
deg,#80pprr8,0,0,-1
mexx,xhinthink,0,0,-1
hungrybox,tjockisbulle,0,0,-1
trak,xhinthink,0,-2,-2
deg,mexx,0,2,0
hungrybox,#80pprr8,0,0,-1
tjockisbulle,xhinthink,0,-2,-2
trak,deg,1,-1,0
hungrybox,xhinthink,0,0,-1
#80pprr8,mexx,1,-1,0
tjockisbulle,deg,1,-1,0
hungrybox,mexx,0,2,0
xhinthink,deg,1,-1,0
#80pprr8,trak,0,-2,-2
hungrybox,deg,0,2,0
mexx,trak,0,0,-1
#80pprr8,tjockisbulle,0,-2,-2
hungrybox,trak,0,-2,-2
mexx,tjockisbulle,0,0,-1
xhinthink,#80pprr8,0,-2,-2
mums,#chultzmack,0,0,-1
yalungur,snabbdjur,0,2,0
ciex,candy,1,-1,0
mang0,#chultzmack,0,0,-1
mums,candy,0,2,0
yalungur,ciex,0,0,-1
mang0,snabbdjur,0,2,0
#chultzmack,candy,1,-1,0
mums,yalungur,0,2,1
mang0,candy,0,2,0
snabbdjur,ciex,0,0,-1
#chultzmack,yalungur,1,-1,0
mang0,ciex,0,0,-1
candy,yalungur,1,0,2
snabbdjur,mums,1,0,2
mang0,yalungur,0,2,0
ciex,mums,1,-1,0
snabbdjur,#chultzmack,0,0,-1
mang0,mums,0,2,0
ciex,#chultzmack,0,-2,-2
