P1,P2,set winner,P1Score,P2Score
nintendork,siggen,0,2,0
length plank,g.i. moe,0,2,1
henrikvenn,alchemist,1,1,2
armada,siggen,0,2,0
nintendork,alchemist,0,2,1
length plank,henrikvenn,0,2,0
armada,g.i. moe,0,2,0
siggen,alchemist,1,0,2
nintendork,length plank,1,0,2
armada,alchemist,0,2,0
g.i. moe,henrikvenn,0,2,0
siggen,length plank,1,0,2
armada,henrikvenn,0,2,0
alchemist,length plank,1,0,2
g.i. moe,nintendork,1,0,2
armada,length plank,0,2,0
henrikvenn,nintendork,1,1,2
g.i. moe,siggen,0,2,0
armada,nintendork,0,2,0
henrikvenn,siggen,0,2,0
alchemist,g.i. moe,1,1,2
krumm,doctor,0,2,0
kiwigivi,vetikke,0,2,0
schvein,greeb,1,0,2
leffen,doctor,0,2,0
krumm,greeb,0,2,0
kiwigivi,schvein,0,2,0
leffen,vetikke,0,2,0
doctor,greeb,1,1,2
krumm,kiwigivi,0,2,0
leffen,greeb,0,2,0
vetikke,schvein,1,0,2
doctor,kiwigivi,1,0,2
leffen,schvein,0,2,0
greeb,kiwigivi,1,0,2
vetikke,krumm,1,0,2
leffen,kiwigivi,0,2,0
schvein,krumm,1,0,2
vetikke,doctor,1,0,2
leffen,krumm,0,2,0
schvein,doctor,0,2,1
greeb,vetikke,0,2,0
endeby,isifys,0,2,0
toa,spikeuvm,0,2,0
queen,krax,1,0,2
ice,isifys,0,2,0
endeby,krax,0,2,1
toa,queen,0,2,0
ice,spikeuvm,0,2,0
isifys,krax,1,0,2
endeby,toa,0,2,1
ice,krax,0,2,0
spikeuvm,queen,1,1,2
isifys,toa,1,0,2
ice,queen,0,2,0
krax,toa,1,0,2
spikeuvm,endeby,1,0,2
ice,toa,0,2,0
queen,endeby,1,0,2
spikeuvm,isifys,0,2,0
ice,endeby,0,2,0
queen,isifys,0,2,0
krax,spikeuvm,1,1,2
thomdore,cap,0,2,0
dyne,ahar,0,2,0
dahl,long daddy green,0,2,1
chillindude,cap,0,2,0
thomdore,long daddy green,0,2,0
dyne,dahl,1,1,2
chillindude,ahar,0,2,0
cap,long daddy green,1,0,2
thomdore,dyne,0,2,0
chillindude,long daddy green,0,2,0
ahar,dahl,1,0,2
cap,dyne,1,0,2
chillindude,dahl,0,2,0
long daddy green,dyne,1,1,2
ahar,thomdore,1,0,2
chillindude,dyne,0,2,0
dahl,thomdore,1,0,2
ahar,cap,1,0,2
chillindude,thomdore,0,2,0
dahl,cap,0,2,0
long daddy green,ahar,0,2,0
oldiz,urist,0,0,-1
spitzy,omega,0,2,0
awesomebee,zodz,1,1,2
professor pro,urist,0,0,-1
oldiz,zodz,0,2,0
spitzy,awesomebee,0,2,0
professor pro,omega,0,2,0
urist,zodz,1,-1,0
oldiz,spitzy,0,2,0
professor pro,zodz,0,2,0
omega,awesomebee,1,0,2
urist,spitzy,1,-1,0
professor pro,awesomebee,0,2,0
zodz,spitzy,1,0,2
omega,oldiz,1,0,2
professor pro,spitzy,0,2,0
awesomebee,oldiz,1,0,2
omega,urist,0,0,-1
professor pro,oldiz,0,2,0
awesomebee,urist,0,0,-1
zodz,omega,0,2,0
big dick bandit,veghard,0,2,0
maximus,kieran,0,2,1
erki,gfd,1,0,2
overtriforce,veghard,0,2,0
big dick bandit,gfd,0,2,0
maximus,erki,0,2,0
overtriforce,kieran,0,2,0
veghard,gfd,0,2,1
big dick bandit,maximus,1,0,2
overtriforce,gfd,0,2,0
kieran,erki,0,2,0
veghard,maximus,1,0,2
overtriforce,erki,0,2,0
gfd,maximus,1,0,2
kieran,big dick bandit,1,0,2
overtriforce,maximus,0,2,0
erki,big dick bandit,1,0,2
kieran,veghard,0,2,0
overtriforce,big dick bandit,0,2,0
erki,veghard,0,2,1
gfd,kieran,1,1,2
theredsock,lonbach,0,2,0
thebattlerifle,dank,0,2,0
zarinax,maxthunder,0,2,0
trif,lonbach,0,2,0
theredsock,maxthunder,0,2,0
thebattlerifle,zarinax,0,2,1
trif,dank,0,2,0
lonbach,maxthunder,1,0,2
theredsock,thebattlerifle,1,0,2
trif,maxthunder,0,2,0
dank,zarinax,1,1,2
lonbach,thebattlerifle,1,0,2
trif,zarinax,0,2,0
maxthunder,thebattlerifle,1,0,2
dank,theredsock,0,0,-1
trif,thebattlerifle,0,2,0
zarinax,theredsock,0,0,-1
dank,lonbach,0,2,0
trif,theredsock,0,2,0
zarinax,lonbach,0,2,0
maxthunder,dank,1,0,2
maxsimon123,z,0,2,0
zeppx,iso,0,2,0
vigge,uke,1,-1,0
android,z,0,2,0
maxsimon123,uke,0,2,0
zeppx,vigge,0,0,-1
android,iso,0,2,0
z,uke,1,0,2
maxsimon123,zeppx,1,0,2
android,uke,0,2,0
iso,vigge,0,0,-1
z,zeppx,1,0,2
android,vigge,0,0,-1
uke,zeppx,1,1,2
iso,maxsimon123,1,0,2
android,zeppx,0,2,0
vigge,maxsimon123,1,-1,0
iso,z,1,0,2
android,maxsimon123,0,2,0
vigge,z,1,-1,0
uke,iso,0,2,0
kage,lordtogs,0,0,-1
issi^,born 2 sd,0,2,0
spaghett,sped,0,0,-1
lolex,viking,1,-1,0
kage,born 2 sd,0,2,0
lordtogs,sped,0,0,-1
issi^,viking,0,2,0
spaghett,lolex,0,0,-1
kage,sped,0,0,-1
born 2 sd,viking,1,0,2
lordtogs,lolex,0,0,-1
issi^,spaghett,0,2,0
kage,viking,0,2,0
sped,lolex,0,0,-1
born 2 sd,spaghett,1,0,2
lordtogs,issi^,1,-1,0
kage,lolex,0,0,-1
viking,spaghett,1,0,2
sped,issi^,1,-1,0
born 2 sd,lordtogs,0,0,-1
kage,spaghett,0,2,0
lolex,issi^,1,-1,0
viking,lordtogs,0,0,-1
sped,born 2 sd,1,-1,0
kage,issi^,0,2,0
spaghett,lordtogs,0,0,-1
lolex,born 2 sd,1,-1,0
viking,sped,0,0,-1
zgetto,terrorcheese,0,2,0
rax,redlime,0,2,0
voff3,eros,0,2,0
jeppegryn,sweattypad,0,2,1
zgetto,redlime,0,2,0
terrorcheese,eros,1,0,2
rax,sweattypad,0,2,0
voff3,jeppegryn,0,2,0
zgetto,eros,0,2,0
redlime,sweattypad,1,0,2
terrorcheese,jeppegryn,1,0,2
rax,voff3,1,1,2
zgetto,sweattypad,0,2,0
eros,jeppegryn,1,1,2
redlime,voff3,1,0,2
terrorcheese,rax,1,0,2
zgetto,jeppegryn,0,2,0
sweattypad,voff3,1,0,2
eros,rax,1,0,2
redlime,terrorcheese,0,2,0
zgetto,voff3,0,2,0
jeppegryn,rax,1,0,2
sweattypad,terrorcheese,0,2,0
eros,redlime,0,2,0
zgetto,rax,0,2,1
voff3,terrorcheese,0,2,0
jeppegryn,redlime,0,2,0
sweattypad,eros,0,2,0
fuzzyness,quarry,0,2,0
irotikuz,mumb1e,0,2,0
ryuker,pilot,0,2,1
taiki,tailz,0,2,1
fuzzyness,mumb1e,0,2,0
quarry,pilot,1,1,2
irotikuz,tailz,0,2,0
ryuker,taiki,0,2,0
fuzzyness,pilot,0,2,0
mumb1e,tailz,1,0,2
quarry,taiki,1,1,2
irotikuz,ryuker,0,2,0
fuzzyness,tailz,0,2,0
pilot,taiki,0,2,0
mumb1e,ryuker,1,0,2
quarry,irotikuz,1,0,2
fuzzyness,taiki,0,2,0
tailz,ryuker,1,0,2
pilot,irotikuz,1,0,2
mumb1e,quarry,1,0,2
fuzzyness,ryuker,0,2,0
taiki,irotikuz,1,0,2
tailz,quarry,0,2,1
pilot,mumb1e,0,2,0
fuzzyness,irotikuz,0,2,0
ryuker,quarry,0,2,0
taiki,mumb1e,0,2,0
tailz,pilot,1,0,2
petteh,addict,0,0,-1
zaik,sengoh,0,2,0
lillbaskern,raptormoses,0,2,1
calle w,addict,0,0,-1
petteh,raptormoses,0,2,0
zaik,lillbaskern,0,2,0
calle w,sengoh,0,2,0
addict,raptormoses,1,-1,0
petteh,zaik,0,2,1
calle w,raptormoses,0,2,0
sengoh,lillbaskern,1,0,2
addict,zaik,1,-1,0
calle w,lillbaskern,0,2,0
raptormoses,zaik,1,0,2
sengoh,petteh,1,0,2
calle w,zaik,0,2,0
lillbaskern,petteh,1,0,2
sengoh,addict,0,0,-1
calle w,petteh,0,2,0
lillbaskern,addict,0,0,-1
raptormoses,sengoh,0,2,0
adamayonmike,henke,0,2,0
poopmaister6000,necky,0,2,0
paf,yung funk,0,2,0
g3,sukou,1,0,2
adamayonmike,necky,0,2,0
henke,yung funk,0,2,1
poopmaister6000,sukou,0,2,1
paf,g3,0,2,0
adamayonmike,yung funk,0,2,0
necky,sukou,1,0,2
henke,g3,1,1,2
poopmaister6000,paf,0,2,0
adamayonmike,sukou,0,2,0
yung funk,g3,1,0,2
necky,paf,1,0,2
henke,poopmaister6000,1,0,2
adamayonmike,g3,0,2,0
sukou,paf,1,0,2
