P1,P2,set winner,P1Score,P2Score
sfat,rybanz,0,2,0
reeve,killablue23,0,2,0
tran,dusk,0,2,0
flux,kennel,1,-1,0
spor,steventheyoung,0,2,0
jakespeare,parra,0,0,-1
sfat,killablue23,0,2,0
rybanz,dusk,0,2,0
reeve,kennel,0,0,-1
tran,steventheyoung,0,2,0
flux,parra,0,0,-1
spor,jakespeare,0,2,0
sfat,dusk,0,2,0
killablue23,kennel,0,0,-1
rybanz,steventheyoung,0,2,0
reeve,parra,0,0,-1
tran,jakespeare,0,2,0
flux,spor,1,-1,0
sfat,kennel,0,0,-1
dusk,steventheyoung,1,1,2
killablue23,parra,0,0,-1
rybanz,jakespeare,0,2,0
reeve,spor,0,2,0
tran,flux,0,0,-1
sfat,steventheyoung,0,2,0
kennel,parra,0,0,-1
dusk,jakespeare,1,0,2
killablue23,spor,1,0,2
rybanz,flux,0,0,-1
reeve,tran,0,2,1
sfat,parra,0,0,-1
steventheyoung,jakespeare,1,0,2
kennel,spor,1,-1,0
dusk,flux,0,0,-1
killablue23,tran,1,0,2
rybanz,reeve,1,0,2
sfat,jakespeare,0,2,0
parra,spor,1,-1,0
steventheyoung,flux,0,0,-1
kennel,tran,1,-1,0
dusk,reeve,1,0,2
killablue23,rybanz,1,0,2
sfat,spor,0,2,0
jakespeare,flux,0,0,-1
parra,tran,1,-1,0
steventheyoung,reeve,1,0,2
kennel,rybanz,1,-1,0
dusk,killablue23,1,0,2
sfat,flux,0,0,-1
spor,tran,1,0,2
jakespeare,reeve,1,0,2
parra,rybanz,1,-1,0
steventheyoung,killablue23,1,1,2
kennel,dusk,1,-1,0
sfat,tran,0,2,0
flux,reeve,1,-1,0
spor,rybanz,1,1,2
jakespeare,killablue23,1,1,2
parra,dusk,1,-1,0
steventheyoung,kennel,0,0,-1
sfat,reeve,1,0,2
tran,rybanz,0,2,0
flux,killablue23,1,-1,0
spor,dusk,0,2,0
jakespeare,kennel,0,0,-1
parra,steventheyoung,1,-1,0
ice,moriarty,0,2,0
