name,finalPlacement
tran,33
jackzilla,97
hyunnies,33
azzu,49
quin,25
wakenvape,17
sputnik,161
jib,81
stretch,145
druggedfox,1
mr. f,33
1frame,129
ad8,161
dj nintendo,17
dizzkidboogie,7
syrox,5
ferocitii,33
s2j,7
wakkabanana,113
elliotxspeedruns,129
cheesy,129
riviolli,97
knubs.,33
wndy,65
wassabi,65
kz,161
cheato,65
fizz,81
bp,145
italian stallion,145
zepto,49
winnie,161
will pickles,49
peeko,145
samwize,145
moriarty,65
red squirrel,161
shabo,33
jacky,65
pepsi,81
ljm,97
techdeath,25
urn the cowpoke,97
jonson,97
king fedora,65
unsure,97
noodle,177
blendtec,49
italian n1nja,129
giogio,33
smithstonian,145
davrob01,49
zamu,33
lunetc,145
ten,49
miles,97
juggleguy,33
i3njamin,161
kennel,145
smoe,97
aztec2step,129
seal,65
5-1,65
generic,129
bk,129
too much tuna,113
remix,113
ivan,113
bi,97
eggy,33
magictree,129
iamthemicrowave,49
chaos,97
izze,113
swedish delight,13
steventheyoung,113
dusk,129
bcn,81
slox,9
webs,161
marriott moy,161
mellamo,145
mrpoo,113
garbage,145
hindawg,177
sfat,3
tickct,145
vavv,33
dark_evil_prince_955,81
kjh,17
santa,97
mrjungstuffed,65
pleasantries,49
fendricklamar,33
capone,81
plums jr,145
passion,65
danil,81
colbol,9
pleeba,65
spor,65
rik,17
rumo,129
flux,161
rasen,33
the moon,4
absentpage,177
fannypack,49
woley,65
bepis,129
flashburn 117,49
buttercup,81
rybanz,49
lip,113
grieve,161
breachin,97
kira,13
zenro,113
ice,2
professor pro,17
i4n,25
carso,65
oathlivion,113
jakespeare,97
hunt,81
thissidedown,33
justjoe,49
parra,177
reeve,17
toptierdad,161
smashg0d,9
jvamos,65
ppsd,161
jon,145
ox,145
trusty bag,81
ggdoe,161
kirbykaze,5
tred,177
trix,25
beach,33
wowzers,81
dla,161
worm,145
orly,13
buttons,97
drephen,17
frost,49
nonsense,129
sago,25
jedwreck,81
nofluxes,177
mekk,49
sveet,177
nah son,161
remolinoferoz,49
showtime,113
floonchdoonch,113
volton,81
cal,25
scythe,25
rain,81
pikapastor,65
kumi,129
luigigoshard,25
mattan,145
royeric,161
killablue23,81
shade,129
@ndtryce,177
yankee,113
pebble,113
kels,17
macd,9
cho,113
ginger,13
fraudy,49
mysteryfish,97
q?,97
tomago,129
pbf,113
nox,33
stitchface,81
flyingmelons,129
