P1,P2,set winner,P1Score,P2Score
kepp,aaa,0,2,1
hi,hella ugly,0,2,0
shady pyro,sunken,0,0,-1
codytappen,ai,1,0,2
wakenvape,khornestalk,0,2,0
ginger,kepp,0,2,0
hi,shady pyro,0,2,0
toastbread,ai,0,2,0
magikarp,wakenvape,1,1,2
ginger,hi,0,2,0
toastbread,wakenvape,1,0,2
ginger,wakenvape,0,2,0
hella ugly,sunken,0,0,-1
magikarp,aaa,0,2,0
ai,hella ugly,0,2,0
shady pyro,codytappen,0,2,0
kepp,khornestalk,1,0,2
magikarp,ai,0,2,0
shady pyro,khornestalk,0,2,0
hi,magikarp,1,0,2
toastbread,shady pyro,0,2,0
magikarp,toastbread,1,0,2
wakenvape,toastbread,0,-2,-2
timbo,double0simon,0,-2,-2
floppy,zhea,1,-2,-2
bobo,metallic,1,-2,-2
phoenixzero,tequila,0,-2,-2
semen demon,chibo,1,-2,-2
yamcha,embracethe12,0,0,-1
dr. z,timbo,0,-2,-2
zhea,metallic,0,-2,-2
chroma,phoenixzero,0,-2,-2
chibo,yamcha,0,0,-1
dr. z,zhea,0,-2,-2
chroma,chibo,0,-2,-2
dr. z,chroma,0,-2,-2
floppy,bobo,0,-2,-2
semen demon,embracethe12,0,0,-1
yamcha,double0simon,1,-1,0
phoenixzero,floppy,1,-2,-2
metallic,tequila,0,-2,-2
timbo,semen demon,1,-2,-2
double0simon,floppy,1,-2,-2
metallic,semen demon,0,-2,-2
zhea,floppy,0,-2,-2
chibo,metallic,0,-2,-2
zhea,chibo,1,-2,-2
chroma,chibo,0,-2,-2
astealthykorean,lysozy,1,-2,-2
astealthykorean,envelope,1,-2,-2
lysozy,white guilt,1,-2,-2
viray,lysozy,1,-2,-2
nipples,you'repizza,0,-2,-2
nipples,envelope,1,-2,-2
low5,you'repizza,1,-1,0
juniro,nipples,1,-2,-2
juniro,low5,0,-2,-2
you'repizza,astealthykorean,1,-1,0
p.body,lysozy,0,-2,-2
p.body,white guilt,1,-2,-2
p.body,envelope,0,-2,-2
m00nshoez,white guilt,1,-2,-2
m00nshoez,viray,0,-2,-2
m00nshoez,nipples,0,-2,-2
m00nshoez,p.body,0,-2,-2
mr baninawi,viray,1,-2,-2
mr baninawi,envelope,1,-2,-2
envelope,juniro,0,-2,-2
envelope,p.body,1,-2,-2
4sk,white guilt,1,-2,-2
4sk,mr baninawi,1,-2,-2
edmund nelson,turtle,1,-2,-2
sauce,rawk,1,-2,-2
ganobrator,banjo,0,-2,-2
rickshaw,aedrenaline,0,-2,-2
hotlineching,upyoda,0,-2,-2
lev,og asi,0,-2,-2
arcadia,turtle,0,-2,-2
rawk,ganobrator,1,-2,-2
vino,rickshaw,0,-2,-2
hotlineching,lev,0,-2,-2
arcadia,ganobrator,0,-2,-2
vino,hotlineching,0,-2,-2
arcadia,vino,1,-2,-2
sauce,banjo,1,-2,-2
upyoda,og asi,1,-2,-2
lev,edmund nelson,0,-2,-2
rickshaw,banjo,0,-2,-2
rawk,aedrenaline,0,-2,-2
turtle,og asi,0,-2,-2
lev,rickshaw,1,-2,-2
rawk,turtle,0,-2,-2
ganobrator,rickshaw,1,-2,-2
hotlineching,rawk,1,-2,-2
rickshaw,rawk,1,-2,-2
arcadia,rawk,0,-2,-2
na+,tonik,0,2,0
dabvillefl,adobro,0,0,-1
raves,djdriftking.97,0,2,0
iram,tag pending,0,2,0
| jeezimsobored,xf awkward,0,2,0
varia_gamre,astropancakes,1,0,2
ka-master,na+,0,2,0
dabvillefl,raves,1,0,2
dannypaguiao,iram,1,0,2
| jeezimsobored,astropancakes,0,2,0
ka-master,raves,0,2,0
iram,| jeezimsobored,0,2,0
ka-master,iram,0,2,0
adobro,djdriftking.97,1,-1,0
xf awkward,varia_gamre,0,2,0
astropancakes,tonik,0,2,0
dannypaguiao,djdriftking.97,0,2,0
dabvillefl,tag pending,0,2,0
na+,xf awkward,1,0,2
astropancakes,dannypaguiao,1,0,2
dabvillefl,xf awkward,1,0,2
raves,dannypaguiao,1,0,2
| jeezimsobored,xf awkward,0,2,0
dannypaguiao,| jeezimsobored,1,0,2
iram,| jeezimsobored,0,-2,-2
lyter,20pcmcnugget,0,0,-1
xxbounty,gutwrencherttd,0,-2,-2
froge,mossgarden,1,-2,-2
troll meister,thane,1,-2,-2
stevedode,rabid glitter,0,0,-1
kered13,k27,1,-2,-2
bardull,lyter,0,-2,-2
xxbounty,mossgarden,1,-2,-2
bluefalcon7,thane,0,-2,-2
stevedode,k27,1,-2,-2
bardull,mossgarden,0,-2,-2
bluefalcon7,k27,0,-2,-2
bardull,bluefalcon7,0,-2,-2
gutwrencherttd,froge,0,-2,-2
rabid glitter,kered13,1,-1,0
stevedode,20pcmcnugget,0,-2,-2
thane,gutwrencherttd,0,-2,-2
xxbounty,troll meister,0,-2,-2
lyter,kered13,1,-2,-2
stevedode,thane,1,-2,-2
xxbounty,kered13,0,-2,-2
mossgarden,thane,0,-2,-2
k27,xxbounty,0,-2,-2
mossgarden,k27,1,-2,-2
bluefalcon7,k27,0,-2,-2
bluemonkek,medusa,0,2,0
benteezy,mokkori,0,0,-1
grif,patrick,1,0,2
brick,giraffe,0,2,0
ultraman,phazermuffin,0,2,0
spark,bluemonkek,0,2,0
benteezy,patrick,0,2,0
douchebag dylan,brick,1,0,2
blackmoneycris,ultraman,1,0,2
spark,benteezy,0,2,0
brick,ultraman,0,2,0
spark,brick,1,1,2
mokkori,grif,1,-1,0
blackmoneycris,medusa,0,2,0
douchebag dylan,grif,0,2,0
patrick,giraffe,0,2,0
bluemonkek,phazermuffin,0,2,1
blackmoneycris,douchebag dylan,1,0,2
patrick,bluemonkek,0,2,0
benteezy,douchebag dylan,0,2,0
ultraman,patrick,1,0,2
benteezy,patrick,0,2,0
spark,benteezy,0,-2,-2
xnpio,djswerve,0,2,0
melvenorc12,steven,1,-2,-2
landry!,lifeline,0,2,0
magicalhatsdx,vorpal,1,0,2
ghidorah,real,0,2,0
dimsum,yosuke,0,2,0
kei,xnpio,0,2,0
steven,landry!,1,-2,-2
blanky,vorpal,1,0,2
ghidorah,dimsum,0,2,0
kei,landry!,0,2,0
vorpal,ghidorah,1,1,2
kei,ghidorah,1,0,2
melvenorc12,lifeline,1,-1,0
real,yosuke,0,-2,-2
dimsum,djswerve,0,2,1
blanky,lifeline,0,2,1
steven,magicalhatsdx,1,-1,0
xnpio,real,0,-2,-2
dimsum,blanky,0,2,0
magicalhatsdx,xnpio,0,2,0
landry!,dimsum,1,0,2
vorpal,magicalhatsdx,1,0,2
dimsum,magicalhatsdx,1,1,2
kei,magicalhatsdx,0,-2,-2
viper,bravo,0,2,0
glitchbird,yung_stalin,0,2,0
yung young,huggermugger,1,-1,0
slumped,guillermoose,0,2,0
kanye rest,cpwho,0,2,0
iroga,c2,1,0,2
yakal,viper,0,2,0
glitchbird,huggermugger,0,2,0
sailormoon420,slumped,0,2,0
kanye rest,c2,0,2,0
yakal,glitchbird,0,2,0
sailormoon420,kanye rest,0,2,1
yakal,sailormoon420,0,2,0
yung_stalin,yung young,0,0,-1
cpwho,iroga,0,2,0
c2,bravo,0,2,0
slumped,yung_stalin,0,2,0
huggermugger,guillermoose,0,2,0
viper,cpwho,1,0,2
c2,slumped,1,0,2
huggermugger,cpwho,0,2,0
glitchbird,slumped,0,2,0
kanye rest,huggermugger,0,2,0
glitchbird,kanye rest,0,2,0
sailormoon420,glitchbird,0,-2,-2
