P1,P2,set winner,P1Score,P2Score
armada,omega,0,2,0
angelfail,hobowolf,0,2,0
cptnebula,dan soup,0,2,0
rechen,michaeldouglas,0,2,0
armada,hobowolf,0,2,0
omega,dan soup,0,2,0
angelfail,michaeldouglas,0,2,0
cptnebula,rechen,0,2,0
armada,dan soup,0,2,0
hobowolf,michaeldouglas,1,0,2
omega,rechen,1,0,2
angelfail,cptnebula,0,2,1
armada,michaeldouglas,0,2,0
dan soup,rechen,1,0,2
hobowolf,cptnebula,1,0,2
omega,angelfail,1,0,2
armada,rechen,0,2,0
michaeldouglas,cptnebula,1,0,2
dan soup,angelfail,1,0,2
hobowolf,omega,1,1,2
armada,cptnebula,0,2,0
rechen,angelfail,1,1,2
michaeldouglas,omega,0,2,0
dan soup,hobowolf,1,0,2
armada,angelfail,0,2,0
cptnebula,omega,0,2,0
rechen,hobowolf,0,2,0
michaeldouglas,dan soup,0,2,0
leffen,tet,0,2,0
unhaven,chelly,0,2,0
supercat meow,miko$,0,2,0
10quidshoes,boz,1,-1,0
leffen,chelly,0,2,0
tet,miko$,1,0,2
unhaven,boz,0,2,0
supercat meow,10quidshoes,0,0,-1
leffen,miko$,0,2,0
chelly,boz,1,0,2
tet,10quidshoes,0,0,-1
unhaven,supercat meow,0,2,1
leffen,boz,0,2,0
miko$,10quidshoes,0,0,-1
chelly,supercat meow,1,0,2
tet,unhaven,1,0,2
leffen,10quidshoes,0,0,-1
boz,supercat meow,1,0,2
miko$,unhaven,1,0,2
chelly,tet,0,2,1
leffen,supercat meow,0,2,0
10quidshoes,unhaven,1,-1,0
boz,tet,0,2,0
miko$,chelly,0,2,1
leffen,unhaven,0,2,0
supercat meow,tet,0,2,0
10quidshoes,chelly,1,-1,0
boz,miko$,0,2,1
ice,quodan,0,2,0
razor ramon,lalzu,0,2,0
zeny,slagnarok,0,2,0
ook!,invkrmainr,1,0,2
ice,lalzu,0,2,0
quodan,slagnarok,1,1,2
razor ramon,invkrmainr,0,2,1
zeny,ook!,1,0,2
ice,slagnarok,0,2,0
lalzu,invkrmainr,1,0,2
quodan,ook!,1,0,2
razor ramon,zeny,0,2,0
ice,invkrmainr,0,2,0
slagnarok,ook!,1,0,2
lalzu,zeny,0,2,0
quodan,razor ramon,1,1,2
ice,ook!,0,2,0
invkrmainr,zeny,0,2,0
slagnarok,razor ramon,1,0,2
lalzu,quodan,0,2,0
ice,zeny,0,2,0
ook!,razor ramon,1,0,2
invkrmainr,quodan,0,2,1
slagnarok,lalzu,0,2,1
ice,razor ramon,0,2,0
zeny,quodan,0,2,0
ook!,lalzu,0,2,0
invkrmainr,slagnarok,0,2,0
n0ne,demo_d,0,2,0
calzum,munki,0,2,0
dunch,chaler,0,2,1
lolex,sweaty slowpoke,0,2,0
n0ne,munki,0,2,0
demo_d,chaler,0,2,0
calzum,sweaty slowpoke,0,2,0
dunch,lolex,0,2,1
n0ne,chaler,0,2,0
munki,sweaty slowpoke,1,0,2
demo_d,lolex,0,2,1
calzum,dunch,0,2,0
n0ne,sweaty slowpoke,0,2,0
chaler,lolex,1,0,2
munki,dunch,1,0,2
demo_d,calzum,1,0,2
n0ne,lolex,0,2,0
sweaty slowpoke,dunch,0,2,1
chaler,calzum,1,0,2
munki,demo_d,1,0,2
n0ne,dunch,0,2,0
lolex,calzum,1,0,2
sweaty slowpoke,demo_d,1,0,2
chaler,munki,0,2,0
n0ne,calzum,0,2,0
dunch,demo_d,1,0,2
lolex,munki,0,2,0
sweaty slowpoke,chaler,0,2,0
chudat,chinmi,0,2,0
ship,fawlty,0,2,0
kaese,lord.ape.69,0,2,0
schwifty,mad4men,0,2,0
chudat,fawlty,0,2,0
chinmi,lord.ape.69,0,2,1
ship,mad4men,0,2,1
kaese,schwifty,0,2,1
chudat,lord.ape.69,0,2,0
fawlty,mad4men,1,0,2
chinmi,schwifty,1,0,2
ship,kaese,1,0,2
chudat,mad4men,0,2,0
lord.ape.69,schwifty,1,0,2
fawlty,kaese,1,0,2
chinmi,ship,1,0,2
chudat,schwifty,0,2,0
mad4men,kaese,1,0,2
lord.ape.69,ship,1,0,2
fawlty,chinmi,1,0,2
chudat,kaese,0,2,0
schwifty,ship,1,0,2
mad4men,chinmi,0,2,0
lord.ape.69,fawlty,0,2,1
chudat,ship,0,2,0
kaese,chinmi,0,2,0
schwifty,fawlty,0,2,0
mad4men,lord.ape.69,0,2,0
the moon,matador,0,2,0
feradit,johan green,0,2,0
reb,aspens,0,2,0
wingus,dyne,0,2,1
the moon,johan green,0,2,0
matador,aspens,0,2,0
feradit,dyne,0,2,0
reb,wingus,0,2,1
the moon,aspens,0,2,0
johan green,dyne,1,0,2
matador,wingus,1,0,2
feradit,reb,0,2,1
the moon,dyne,0,2,0
aspens,wingus,1,0,2
johan green,reb,1,0,2
matador,feradit,1,0,2
the moon,wingus,0,2,0
dyne,reb,0,2,0
aspens,feradit,1,0,2
johan green,matador,0,2,0
the moon,reb,0,2,0
wingus,feradit,1,1,2
dyne,matador,0,2,0
aspens,johan green,1,0,2
the moon,feradit,0,2,0
reb,matador,0,2,0
wingus,johan green,0,2,0
dyne,aspens,0,2,0
amsah,dom dunc,0,2,0
draz,amitwin,0,2,0
rd,bqck,0,2,0
leaf,sheep,1,1,2
amsah,amitwin,0,2,0
