P1,P2,set winner,P1Score,P2Score
hungrybox,rael,0,3,1
sfat,s2j,0,3,1
westballz,arc,0,3,1
axe,gahtzu,0,3,0
mang0,valdo,0,3,0
lucky,wizzrobe,1,0,3
mew2king,tafokints,0,3,0
shroomed,wobbles,1,2,3
hungrybox,sfat,0,3,1
westballz,axe,0,3,2
mang0,wizzrobe,0,3,1
mew2king,wobbles,0,3,1
hungrybox,westballz,0,-2,-2
mang0,mew2king,0,-2,-2
mojo,roy the boy,0,3,0
toast,stripes,1,0,3
jf,king,0,3,1
tuesday,anti,0,3,0
s.o.s.,spacewaste,0,3,1
sulgimme,volume,0,3,2
jake13,atrioc,0,0,-1
ginta,zhea,1,1,3
gahtzu,mojo,1,2,3
arc,stripes,0,3,0
s2j,jf,0,3,0
rael,tuesday,0,3,1
shroomed,s.o.s.,0,3,0
tafokints,sulgimme,0,3,1
lucky,jake13,0,3,1
valdo,zhea,0,3,0
mojo,arc,0,3,2
s2j,rael,0,3,2
shroomed,tafokints,0,3,0
lucky,valdo,0,3,0
wizzrobe,mojo,0,3,1
wobbles,s2j,1,2,3
sfat,shroomed,0,3,0
axe,lucky,0,-2,-2
wizzrobe,s2j,0,-2,-2
sfat,axe,0,-2,-2
hungrybox,atrioc,0,0,-1
s2j,sulgimme,0,0,-1
sfat,toast,0,0,-1
valdo,jake13,0,0,-1
westballz,king,0,0,-1
tafokints,zhea,0,0,-1
axe,volume,0,0,-1
wobbles,stripes,0,0,-1
mang0,jf,0,0,-1
rael,mojo,0,0,-1
lucky,ginta,0,0,-1
wizzrobe,tuesday,0,0,-1
mew2king,spacewaste,0,0,-1
arc,roy the boy,0,0,-1
shroomed,anti,0,0,-1
gahtzu,s.o.s.,0,0,-1
hungrybox,s2j,0,-2,-2
sfat,valdo,0,-2,-2
westballz,tafokints,0,-2,-2
axe,wobbles,0,-2,-2
mang0,rael,0,-2,-2
lucky,wizzrobe,0,-2,-2
mew2king,arc,0,-2,-2
shroomed,gahtzu,0,-2,-2
atrioc,sulgimme,0,-2,-2
toast,jake13,0,-2,-2
king,zhea,0,-2,-2
volume,stripes,0,-2,-2
jf,mojo,0,-2,-2
ginta,tuesday,0,-2,-2
spacewaste,roy the boy,0,-2,-2
anti,s.o.s.,0,-2,-2
hungrybox,westballz,0,3,0
mang0,mew2king,0,3,1
hungrybox,mang0,0,3,2
hungrybox,mang0,0,3,2
wizzrobe,s2j,0,3,2
sfat,axe,1,2,3
westballz,wizzrobe,0,3,2
mew2king,axe,1,1,3
westballz,axe,0,3,1
mang0,westballz,0,3,1
