name,finalPlacement
jf,17
jake13,17
mojo,9
king,25
s.o.s.,17
volume,25
spacewaste,25
atrioc,25
toast,25
jesse leyva,None
keith lalonde,None
christopher llanos,None
andy nguyen,None
frisbie,None
ajani aubrey,None
lectril,None
mech,None
garrett greenwood,None
alex mora,None
ginta,25
matthew reed,None
dylan beeson,None
michael haley,None
mohamed faheid,None
nova courtois,None
chris guzman,None
ethan richmond,None
bean,None
adrian sanchez,None
zhea,17
wobbles,9
roy the boi,None
bradley curcio,None
tuesday,17
lucas grape-krueger,None
william herrmann,None
haris khan,None
hungrybox,1
luke taylor,None
jonathan henson,None
noc,None
webs,None
wizzrobe,5
stripes,17
sfat,7
anti,25
shroomed,9
axe,4
s2j,7
tafokints,13
lucky,9
valdo,13
rael,13
kuku,None
roy the boy,25
dakpo,None
sulgimme,17
gahtzu,17
westballz,3
arc,13
mew2king,5
mang0,2
