P1,P2,set winner,P1Score,P2Score
grigliamos,slappygilmore,0,2,0
bmc,skywalker,0,2,0
lusty,gemini,1,0,2
violence,grant,0,2,0
thewizard,geodude,1,-1,0
kofi,rozrus,0,0,-1
beto,duk,1,0,2
hungrybox,grigliamos,0,2,0
bmc,gemini,0,2,0
violence,geodude,0,2,0
kofi,duk,0,2,0
hungrybox,bmc,0,2,0
violence,kofi,0,2,1
hungrybox,violence,0,2,0
skywalker,lusty,0,2,1
grant,thewizard,0,0,-1
rozrus,beto,1,-1,0
duk,slappygilmore,0,2,0
geodude,skywalker,1,1,2
gemini,grant,0,2,0
grigliamos,beto,1,0,2
duk,skywalker,1,1,2
gemini,beto,0,2,0
bmc,skywalker,0,2,0
kofi,gemini,0,2,0
bmc,kofi,0,2,0
violence,bmc,0,-2,-2
oro,spree,1,0,2
oro,nutsack,0,2,0
oro,hodor,0,2,1
macd,tehpinkemobunni,0,2,0
macd,spree,0,2,0
macd,pikapika!,0,2,0
tehpinkemobunni,fortissimis,1,0,2
bad,fortissimis,1,0,2
~20%,tehpinkemobunni,1,1,2
~20%,spree,1,0,2
~20%,frobey,0,2,0
~20%,b minus,0,2,0
spree,bad,0,2,0
spree,hodor,0,2,0
pikapika!,oro,0,2,0
pikapika!,fortissimis,0,-2,-2
pikapika!,fortissimis,0,2,0
nutsack,bad,1,1,2
fortissimis,spree,0,2,0
fortissimis,frobey,0,2,0
fortissimis,spann,0,2,0
hodor,raver,0,2,0
raver,nutsack,1,0,2
b minus,spann,1,0,2
spann,tehpinkemobunni,1,0,2
robin,stonewill,0,2,0
cool lime,arc tres,0,2,0
joehowardjr,brian,1,0,2
kiffer,puddle,1,0,2
just jason,ppdmd,0,2,0
just watch,ferriswheel,1,0,2
druggedfox,robin,0,2,0
cool lime,brian,0,2,0
ultimascout,puddle,0,2,0
just jason,ferriswheel,0,2,1
druggedfox,cool lime,0,2,0
ultimascout,just jason,0,2,1
druggedfox,ultimascout,0,2,0
arc tres,joehowardjr,0,2,0
ppdmd,just watch,1,0,2
ferriswheel,stonewill,0,2,0
puddle,arc tres,1,0,2
brian,kiffer,0,2,0
robin,just watch,0,2,0
ferriswheel,arc tres,1,0,2
brian,robin,1,0,2
cool lime,arc tres,1,0,2
just jason,robin,1,1,2
arc tres,robin,0,2,0
ultimascout,arc tres,0,-2,-2
seth love,juno,0,-2,-2
dutch,professor peen,0,2,0
smurph,8bitloser,0,2,0
pb&j,rowsa,0,-2,-2
gtone,relish,0,2,0
bolt,jdv,0,2,1
shiftybadger,maxi,0,2,0
duck,seth love,0,2,0
dutch,smurph,0,2,0
pb&j,gtone,0,2,0
bolt,shiftybadger,0,2,0
duck,dutch,0,2,0
pb&j,bolt,1,0,2
duck,bolt,0,2,0
professor peen,8bitloser,0,2,0
rowsa,relish,1,-2,-2
jdv,maxi,0,2,0
shiftybadger,juno,0,2,0
gtone,professor peen,0,2,0
smurph,relish,1,1,2
seth love,jdv,1,0,2
shiftybadger,gtone,1,0,2
relish,jdv,1,0,2
dutch,gtone,1,-2,-2
pb&j,jdv,1,1,2
gtone,jdv,1,0,2
bolt,jdv,0,-2,-2
roma,captain casual,0,2,1
ghost,pnis,0,-2,-2
dyce,firewater,1,-2,-2
juggleguy,trapsloth,0,-2,-2
stormchicken,nerd,1,1,2
