name,finalPlacement
kale,257
jayrodd,769
gangly,257
regi,385
pas,129
benstillerfan69,257
spike,513
ulsi,385
zanguzen,33
yeah~ok,769
aglet,49
bpna,385
captain black,385
chibi,513
slartibartfast42,129
vanilla coke,385
baltimarth,769
xanthus,513
dew,513
dingus,193
balatee,513
zarsz,513
b minus,769
the moon,49
prince abu,33
osiris197,769
bearsfan092,129
maru,385
fancy feast,513
jackkenney,129
klutzy klutch,257
master jay,513
bizzarro flame,33
shuffle,129
mojo8675309,513
cool guy,385
ronzell,33
hayden f baby,513
bajoggles,513
drug,513
redrum,193
stricnyn3.,65
delarock,513
spoodbeest,257
tylerx5,769
skyguy,769
alex19,49
ruse,769
papa john,193
grigliamos,513
jsun,385
dudutsai,65
shieldz,257
frostbyte,513
emt_sol,97
slappy,385
phish-it,129
word,513
ionthekid,257
artron,513
juno,513
bonkcushy,129
wu2king,513
shuckle,385
ott,385
yedi,97
vro,513
kashi,769
plz,193
vdub,257
sensazn,513
snoosnoo,257
spamus,385
qz,257
emceecurtis,513
derf,513
bhoogs,129
cardd.sd,385
big l rest in peace,769
arisingshadow,513
jabroni,385
ryan ford,49
dfish,769
boss,129
yamz,513
life,385
hazygoose,65
kalvar,97
bobo,769
rowsa,769
quest,769
bob-omb,385
donutgames43,385
wavy j,193
scrandino,769
sephy,257
nair-b,257
lion,385
toasty,769
brujo,385
beto,385
mr. bean,257
dr eggman,257
switch,129
v-bomber,769
disciple,257
amida,129
castaway,513
mpfuture,129
gahtzu,13
deep fox,385
een!,97
kingkiller,769
widl,193
boat,513
insomniatic,769
tesla,65
legoman,513
sharkz,49
king harkinian,513
kaptinkillem,257
meyerzzzz,513
bob thunder,513
d. disciple,193
connor,769
travis,65
cadence,513
mr.ii,257
joehowardjr,769
armo,513
wawa,257
smiles4miles,513
char,129
mixit,513
nainsoo,97
rizner,513
habilecho,385
lax,385
yinja,513
ako,257
super ginger,513
gtea,513
mercury,385
blueeco,513
littleboylarry,513
mr. clean,769
bravo,129
bag of beetles,769
levonheart,769
ditto,769
wind,513
laudandus,5
westballz,33
thenumber47,257
kevorkian,257
ron,513
kaiser-gl,257
ricky,193
teknoor,769
stark,513
aymen am,513
siddartha,257
skittlez,769
tagless,769
mcnutly,385
–in–,769
scrapmettle,257
zed,385
mr. manager,257
gemini,257
frobey,513
jerry,385
ardent rage,193
jank,257
fnm,513
grant,513
mafia,33
ash,385
younger,129
yung bones villain,513
gkred,513
blank,385
negrodamus,769
shk shk,257
just jason,257
myk,769
jimmy rustler,769
doublec,769
ferriswheel,385
bmc,65
cyxy,513
crush,25
kira,33
s2j,7
coffeemug,257
vidjogamer,129
spann,513
nelsquik,513
tigurz,513
urbok,513
bullshooter,513
skate,257
joelie polie olie,769
lusty,769
bolt,65
macd,33
fira n ice,513
rickter_scale,513
berry,513
uvve,385
beer,513
4%,33
slypig,193
20ll,769
hunt,513
professor peen,513
carrot lord,513
llama,129
icy,385
thewizard,769
snover,513
duhwinning,769
irishwristwatch,513
the brig,257
yoda,513
kvn,193
boy,513
jwilli,193
i am an owl,513
twunt,257
k$o,513
elementalpenguin,129
ouicava,769
xlax,385
roma,257
cartega,385
sauce,385
rivers,385
wilachas,769
juicebox,129
daws,769
zebkeet,513
mike melee,97
ciroc obama,385
messenger,513
triffle,257
joooop,385
dz rei,257
sityec,513
jus,513
relish,385
walby,513
metalheadgx,769
krunkled,193
ch0ice,257
empale,513
mongoose,257
mattdemers,513
hazystalebread,769
caden,513
gizmodro,513
pandawasp,257
qt,385
spit5000,769
infinitenumbers,9
adraks,769
milk,385
shady,257
sooji,129
mmshan,769
steph curry,385
baby bird,97
crimsonkid,129
puff,97
xen,513
housewife,513
freky,193
seamoose,513
yeesus,513
xyzp,769
dr. avis,769
kevocb,769
n1ck,257
tehpinkemobunni,257
puddle,513
rayramono,513
k,385
putpasswordhere,385
guac,129
jstar,769
archive,193
royal flush,385
vortex,97
drewgs,513
tauvalian,257
ryzzle,513
pen,513
brian,385
captain smuckers,25
veggietales,193
jflex,49
mom!,129
youngquest,513
fly sloth,257
j$,513
glist,513
infernalcolonel,193
zenaga,257
dogs_johnson,257
zeta,257
frycook,65
lan,513
gt,385
duck,13
dizzkidboogie,65
jorge,513
hitmonchanondorf,193
life,385
homemadewaffles,65
229,385
jozi,97
kos,513
silence,257
b,513
yold,257
cherrypauper,513
tyleor,513
suess,97
cool master,513
milkman,49
lew lew,257
nik,513
andirama,513
eastnutz,769
baconpancakes,193
kobra,769
beltbuckle,513
i fucking hate this game,513
kratos,257
datnero,385
sg,65
tipper,193
cat_tree,513
cool lime,257
smashg0d,25
quasar,513
phrez,385
doh,49
runix,513
bladewise,17
petery,257
bombproof,769
seabass,257
gothoesinareacodes,769
green ranger,65
rollinsky,769
shug,513
maxi,769
emilywaves,513
mikehaze,17
prison,513
potentis,385
bunnyblast,513
organic,513
chaoslink,769
mrboffo,769
snorlaxes,257
pikapika!,97
ross,513
cava,257
bulgogi,769
bluecheez,129
sc00p,193
myztek,129
rozrus,769
scale,257
o'boy,193
4serial,129
techknowledgey,769
toe,513
dain bramage,193
autarck,513
sauce,769
tay tay swizzle,513
xif,65
musicmasterjtw,513
cr,385
lobster,769
billyboy48,129
mr fluffles,385
angel,513
stitchell,769
torozan,769
quantum,513
rik,257
nap,769
deestroy,513
emodinosaur,129
1bm,385
kiffer,513
peanutphobia,65
liqued,385
funk,385
cocothunder,385
brog,193
mrluggyogirl,513
argyros,385
slacks,513
blooky,257
immawhite,769
kofi,193
trapsloth,769
majorleagueoddish,385
jab,513
wassabi,193
hax,3
cosmic,513
djcrinklecut,513
tempest,513
nameless joe,385
trl,193
eastrock,513
grublord,769
majorleagueturtle,513
mewwy,513
doc brown,257
tyrø,129
kjh,33
seaghost,513
tequila,769
mwl,97
propaneaccessories,769
piramid,385
medusa,769
vesetnet,385
burritowolf,257
minty,65
mornag,769
just watch,513
weezy,385
rocky,513
squible,97
coin chaser,97
jelly,513
nimbus,193
tkyo,769
vincessant,385
nfreak,257
tah.,257
scyzel,257
vench,769
arc tres,129
xpertwizard,769
ch0k0 nach0,513
ahcarbon,769
ruru,513
jlaw,513
darthdailey,513
jada,193
jaquarium,513
robin,193
lotus,513
zodiac,129
scratchin magician,513
pokenutz,513
iorissbm,385
moonsloth,385
pk_cheeze,513
sarthssb,513
blackknight,385
rish,513
bizzie smalls,769
fig newton,769
hodor,513
