P1,P2,set winner,P1Score,P2Score
kaptinkillem,gbaby6,0,2,1
jamis,ghoul,1,0,2
pink,batsox,0,2,0
fluzzarn,gliphy,0,2,0
yam$,albert with a money sign,0,2,0
man,khan,0,2,0
sambuddy5,kota,1,0,2
dannyd,wjang,1,0,2
kaptinkillem,ghoul,0,2,0
pink,fluzzarn,0,2,0
yam$,man,1,0,2
kota,wjang,1,0,2
kaptinkillem,pink,0,2,0
man,wjang,0,0,-1
kaptinkillem,man,0,2,0
kaptinkillem,pink,0,2,1
gbaby6,jamis,0,2,0
batsox,gliphy,0,2,0
albert with a money sign,khan,1,0,2
sambuddy5,dannyd,1,-1,0
kota,gbaby6,1,0,2
yam$,batsox,1,0,2
fluzzarn,khan,1,0,2
ghoul,dannyd,1,1,2
gbaby6,batsox,1,0,2
khan,dannyd,0,2,0
pink,batsox,0,2,1
wjang,khan,1,-1,0
pink,khan,0,2,1
man,pink,1,0,2
land28h,blix,0,2,0
guapo,aspens,0,2,0
pph,mocha,0,2,0
capt wheatroll,bigredanimebike,1,0,2
haus,hybrid,0,2,0
rios,uma thurman,1,0,2
sabrereaper,obgyn,0,2,0
moku,electric flux,0,0,-1
land28h,guapo,0,2,1
pph,bigredanimebike,1,0,2
haus,uma thurman,0,0,-1
sabrereaper,moku,0,0,-1
land28h,bigredanimebike,1,0,2
haus,sabrereaper,1,1,2
bigredanimebike,sabrereaper,0,2,0
bigredanimebike,haus,0,2,1
blix,aspens,1,-1,0
mocha,capt wheatroll,0,2,0
hybrid,rios,0,2,0
obgyn,electric flux,0,0,-1
moku,aspens,1,-1,0
uma thurman,mocha,1,-1,0
pph,hybrid,0,2,1
guapo,obgyn,0,0,-1
aspens,mocha,1,0,2
pph,guapo,0,2,0
land28h,mocha,0,2,0
haus,pph,0,2,1
land28h,haus,1,1,2
sabrereaper,haus,1,0,2
megaamoonguss,basicstitch,1,1,2
megaamoonguss,jester,0,2,0
megaamoonguss,dobbybonovan,0,2,0
