P1,P2,set winner,P1Score,P2Score
hungrybox,prohibition,0,2,0
fannypack,white cinnamon,0,2,0
lsdx,flyingmelons,0,2,0
red sheik,tengu,0,2,1
hungrybox,white cinnamon,0,2,0
prohibition,flyingmelons,1,1,2
fannypack,tengu,0,2,0
lsdx,red sheik,0,2,1
hungrybox,flyingmelons,0,2,0
white cinnamon,tengu,1,0,2
prohibition,red sheik,1,0,2
fannypack,lsdx,1,1,2
hungrybox,tengu,0,2,0
flyingmelons,red sheik,1,0,2
white cinnamon,lsdx,1,0,2
prohibition,fannypack,1,0,2
hungrybox,red sheik,0,2,0
tengu,lsdx,1,0,2
flyingmelons,fannypack,1,0,2
white cinnamon,prohibition,0,2,1
hungrybox,lsdx,0,2,0
red sheik,fannypack,1,0,2
tengu,prohibition,0,2,0
flyingmelons,white cinnamon,1,0,2
hungrybox,fannypack,0,2,0
lsdx,prohibition,0,2,0
red sheik,white cinnamon,0,2,0
tengu,flyingmelons,0,2,0
karson,jules,0,2,1
rice,y3fffrsn,0,2,1
simple,curlydave,0,2,0
mew2king,jules,0,2,0
karson,curlydave,0,2,0
rice,simple,1,0,2
mew2king,y3fffrsn,0,2,0
jules,curlydave,1,0,2
karson,rice,0,2,0
mew2king,curlydave,0,2,0
y3fffrsn,simple,1,0,2
jules,rice,1,0,2
mew2king,simple,0,2,0
curlydave,rice,0,2,0
y3fffrsn,karson,1,0,2
mew2king,rice,0,2,0
simple,karson,0,2,0
y3fffrsn,jules,1,1,2
mew2king,karson,0,2,0
simple,jules,0,2,0
curlydave,y3fffrsn,0,2,0
boat,zeezy,0,2,0
sofa king,645development,1,-1,0
puddingpop,marionette,0,2,0
westballz,zeezy,0,2,0
boat,marionette,0,2,0
sofa king,puddingpop,1,-1,0
westballz,645development,0,2,0
zeezy,marionette,1,1,2
boat,sofa king,0,0,-1
westballz,marionette,0,2,0
645development,puddingpop,1,0,2
zeezy,sofa king,0,0,-1
westballz,puddingpop,0,2,0
marionette,sofa king,0,0,-1
645development,boat,0,2,1
westballz,sofa king,0,0,-1
puddingpop,boat,1,1,2
645development,zeezy,0,2,0
westballz,boat,0,2,1
puddingpop,zeezy,0,2,0
marionette,645development,1,1,2
giogio,ppsd,0,2,0
greenwalk,recneps,0,2,0
stealthypanda,railz,1,0,2
shroomed,ppsd,0,2,0
giogio,railz,0,2,1
greenwalk,stealthypanda,0,2,0
shroomed,recneps,0,2,0
ppsd,railz,1,0,2
giogio,greenwalk,1,0,2
shroomed,railz,0,2,0
recneps,stealthypanda,1,1,2
ppsd,greenwalk,1,0,2
shroomed,stealthypanda,0,2,0
railz,greenwalk,1,1,2
recneps,giogio,1,0,2
shroomed,greenwalk,0,2,0
stealthypanda,giogio,1,1,2
recneps,ppsd,0,2,1
shroomed,giogio,0,2,0
stealthypanda,ppsd,0,2,1
railz,recneps,0,2,1
vi,mike,1,-1,0
goobershadow,h2o,0,2,0
njm,cr4nb3rry,0,2,0
sfat,mike,0,2,0
vi,cr4nb3rry,1,-1,0
goobershadow,njm,0,2,1
sfat,h2o,0,2,0
mike,cr4nb3rry,0,2,0
vi,goobershadow,1,-1,0
sfat,cr4nb3rry,0,2,0
h2o,njm,0,2,0
mike,goobershadow,0,2,0
sfat,njm,0,2,0
cr4nb3rry,goobershadow,1,0,2
h2o,vi,0,0,-1
sfat,goobershadow,0,2,0
njm,vi,0,0,-1
h2o,mike,1,0,2
sfat,vi,0,0,-1
njm,mike,1,0,2
cr4nb3rry,h2o,1,0,2
mrpoo,micro,0,2,1
kuhls,tomago,0,2,0
bdoc,dad,0,2,0
wizzrobe,micro,0,2,0
mrpoo,dad,1,1,2
kuhls,bdoc,0,2,0
wizzrobe,tomago,0,2,0
micro,dad,1,1,2
mrpoo,kuhls,1,0,2
wizzrobe,dad,0,2,0
tomago,bdoc,1,0,2
micro,kuhls,1,0,2
wizzrobe,bdoc,0,2,0
dad,kuhls,1,0,2
tomago,mrpoo,1,1,2
wizzrobe,kuhls,0,2,0
bdoc,mrpoo,0,2,0
tomago,micro,1,0,2
wizzrobe,mrpoo,0,2,0
bdoc,micro,0,2,1
dad,tomago,0,2,0
spidermad,cha0s,0,2,0
yohobojoe,xurk,1,0,2
jeffthecheff,tusk,0,2,0
s2j,cha0s,0,2,0
spidermad,tusk,0,2,0
yohobojoe,jeffthecheff,0,2,1
s2j,xurk,0,2,0
cha0s,tusk,1,0,2
spidermad,yohobojoe,1,1,2
s2j,tusk,0,2,0
xurk,jeffthecheff,1,1,2
cha0s,yohobojoe,1,0,2
s2j,jeffthecheff,0,2,0
tusk,yohobojoe,1,0,2
xurk,spidermad,0,2,0
s2j,yohobojoe,0,2,0
jeffthecheff,spidermad,1,1,2
xurk,cha0s,0,2,0
s2j,spidermad,0,2,0
jeffthecheff,cha0s,0,2,0
tusk,xurk,0,2,0
dla,zamassus,0,2,0
camtwo,tlbs,1,-1,0
shotzo,gold,0,0,-1
duck,zamassus,0,2,0
dla,gold,0,0,-1
camtwo,shotzo,1,-1,0
duck,tlbs,0,2,0
zamassus,gold,0,0,-1
dla,camtwo,0,0,-1
duck,gold,0,0,-1
tlbs,shotzo,1,0,2
zamassus,camtwo,0,0,-1
duck,shotzo,0,2,0
gold,camtwo,0,0,-1
tlbs,dla,1,0,2
duck,camtwo,0,0,-1
shotzo,dla,1,1,2
tlbs,zamassus,1,0,2
duck,dla,0,2,0
shotzo,zamassus,0,2,0
gold,tlbs,1,-1,0
spills,nekonyancer,1,0,2
cooran,whooie,0,2,0
hi im mikey,canary,0,2,0
n0ne,nekonyancer,0,2,0
spills,canary,0,2,0
cooran,hi im mikey,0,2,0
n0ne,whooie,0,2,0
nekonyancer,canary,0,2,0
spills,cooran,1,0,2
n0ne,canary,0,2,0
whooie,hi im mikey,1,0,2
nekonyancer,cooran,0,2,1
n0ne,hi im mikey,0,2,0
canary,cooran,1,0,2
whooie,spills,1,0,2
n0ne,cooran,0,2,0
hi im mikey,spills,0,2,0
whooie,nekonyancer,1,0,2
n0ne,spills,0,2,0
hi im mikey,nekonyancer,1,0,2
canary,whooie,0,2,1
davrob01,ddhs,0,2,0
pleeba,bblz,0,2,0
onehandbackhand,tapiney,1,0,2
swedish delight,ddhs,0,2,0
davrob01,tapiney,0,2,0
pleeba,onehandbackhand,0,2,0
swedish delight,bblz,0,2,0
ddhs,tapiney,1,1,2
davrob01,pleeba,0,2,0
swedish delight,tapiney,0,2,0
bblz,onehandbackhand,0,2,1
ddhs,pleeba,1,0,2
swedish delight,onehandbackhand,0,2,0
tapiney,pleeba,1,0,2
bblz,davrob01,1,0,2
swedish delight,pleeba,0,2,0
onehandbackhand,davrob01,1,0,2
bblz,ddhs,0,2,1
swedish delight,davrob01,0,2,0
onehandbackhand,ddhs,1,1,2
tapiney,bblz,0,2,1
mattmog,greenbean,0,2,0
kibbles,supermrjmt,0,2,0
visualwatch,bk,0,2,0
kjh,greenbean,0,2,0
mattmog,bk,0,2,0
kibbles,visualwatch,0,2,0
kjh,supermrjmt,0,2,0
greenbean,bk,0,2,0
mattmog,kibbles,1,1,2
kjh,bk,0,2,0
supermrjmt,visualwatch,1,1,2
greenbean,kibbles,1,0,2
kjh,visualwatch,0,2,0
bk,kibbles,1,0,2
supermrjmt,mattmog,1,0,2
kjh,kibbles,0,2,0
visualwatch,mattmog,1,0,2
supermrjmt,greenbean,0,2,0
kjh,mattmog,0,2,0
visualwatch,greenbean,0,2,0
bk,supermrjmt,1,0,2
shonic,kazehana3,0,2,0
phobos,flyguy,0,2,0
law,damfam,0,2,0
kels,kazehana3,0,2,0
shonic,damfam,0,2,0
phobos,law,0,2,1
kels,flyguy,0,2,0
kazehana3,damfam,1,0,2
shonic,phobos,0,2,0
kels,damfam,0,2,0
flyguy,law,1,0,2
kazehana3,phobos,1,0,2
kels,law,0,2,0
damfam,phobos,1,0,2
flyguy,shonic,1,0,2
kels,phobos,0,2,0
law,shonic,1,1,2
flyguy,kazehana3,1,0,2
kels,shonic,0,2,0
law,kazehana3,0,2,0
damfam,flyguy,0,2,0
sino,raidos,1,0,2
cube,yamsofsteel,0,0,-1
cucco puffs,barry,0,2,0
prince abu,raidos,0,2,0
sino,barry,0,-2,-2
cube,cucco puffs,1,1,2
prince abu,yamsofsteel,0,0,-1
raidos,barry,1,0,2
sino,cube,0,2,0
prince abu,barry,0,2,0
yamsofsteel,cucco puffs,1,-1,0
raidos,cube,1,1,2
prince abu,cucco puffs,0,2,0
barry,cube,0,2,0
yamsofsteel,sino,1,-1,0
prince abu,cube,0,2,0
cucco puffs,sino,0,2,0
yamsofsteel,raidos,1,-1,0
prince abu,sino,0,2,0
cucco puffs,raidos,0,2,0
barry,yamsofsteel,0,0,-1
mvzy,rada,0,2,0
lightning,henomura,0,0,-1
solithic,papa no johns,0,2,0
darkatma,rada,0,2,0
mvzy,papa no johns,0,2,0
lightning,solithic,0,2,0
darkatma,henomura,0,0,-1
rada,papa no johns,1,0,2
mvzy,lightning,0,2,1
darkatma,papa no johns,0,2,0
henomura,solithic,1,-1,0
rada,lightning,1,0,2
darkatma,solithic,0,2,0
papa no johns,lightning,1,0,2
henomura,mvzy,1,-1,0
darkatma,lightning,0,2,0
solithic,mvzy,1,0,2
henomura,rada,1,-1,0
darkatma,mvzy,0,2,0
solithic,rada,0,2,0
papa no johns,henomura,0,0,-1
xiivi,redrum,0,2,0
wolven,big spoon,0,2,0
ahampster,pgd,0,2,0
captain faceroll,redrum,0,2,0
xiivi,pgd,0,2,0
wolven,ahampster,0,2,0
captain faceroll,big spoon,0,2,0
redrum,pgd,1,0,2
xiivi,wolven,1,1,2
captain faceroll,pgd,0,2,0
big spoon,ahampster,1,0,2
redrum,wolven,1,0,2
captain faceroll,ahampster,0,2,0
pgd,wolven,1,0,2
big spoon,xiivi,1,0,2
captain faceroll,wolven,0,2,0
ahampster,xiivi,1,0,2
big spoon,redrum,0,2,0
captain faceroll,xiivi,0,2,0
ahampster,redrum,0,2,0
pgd,big spoon,0,2,0
foxcapacitor,catelt,0,2,0
justjoe,king potato,0,2,0
trixter,appel,0,2,0
kira,catelt,0,2,0
foxcapacitor,appel,0,2,0
justjoe,trixter,0,2,0
kira,king potato,0,2,0
catelt,appel,0,2,0
foxcapacitor,justjoe,1,0,2
kira,appel,0,2,0
king potato,trixter,0,2,0
catelt,justjoe,1,0,2
kira,trixter,0,2,0
appel,justjoe,1,0,2
king potato,foxcapacitor,1,0,2
kira,justjoe,0,2,1
trixter,foxcapacitor,1,-1,0
king potato,catelt,0,2,0
kira,foxcapacitor,0,2,0
trixter,catelt,0,2,0
appel,king potato,1,0,2
elegy,thesurfingpikachu,0,2,0
generic,josniff,1,0,2
poskii,hb,0,0,-1
drephen,thesurfingpikachu,0,2,0
elegy,hb,0,0,-1
generic,poskii,1,0,2
drephen,josniff,0,2,0
thesurfingpikachu,hb,0,0,-1
elegy,generic,0,2,0
drephen,hb,0,0,-1
josniff,poskii,1,0,2
thesurfingpikachu,generic,1,0,2
drephen,poskii,0,2,0
hb,generic,1,-1,0
josniff,elegy,1,0,2
drephen,generic,0,2,0
poskii,elegy,1,0,2
josniff,thesurfingpikachu,0,2,0
drephen,elegy,0,2,0
poskii,thesurfingpikachu,0,2,0
hb,josniff,1,-1,0
ryou,pseudo seras,0,2,1
dezno,bustr,0,2,0
jbuzzybee,lukatic,0,2,0
homemadewaffles,pseudo seras,0,2,0
ryou,lukatic,0,2,0
dezno,jbuzzybee,0,2,0
