P1,P2,set winner,P1Score,P2Score
mesh$,rarebitfiend,1,0,2
£30,-,sleeper,0,2,0
lars,markovic,0,2,0
aspro,c2,0,0,-1
pogopeanut,beatthat,0,2,0
armada,rarebitfiend,0,2,0
£30,-,lars,0,2,1
maxy,aspro,0,2,0
gardex,pogopeanut,0,2,1
armada,£30,-,0,2,0
maxy,gardex,0,2,0
armada,maxy,0,-2,-2
sleeper,markovic,1,0,2
pogopeanut,mesh$,0,2,0
aspro,markovic,1,1,2
lars,c2,0,0,-1
rarebitfiend,beatthat,0,2,1
pogopeanut,markovic,0,2,0
lars,rarebitfiend,0,2,0
£30,-,pogopeanut,0,2,0
gardex,lars,0,2,0
£30,-,gardex,0,-2,-2
cheez,zabu,0,2,0
ryuker,jerooney,0,2,0
riff,the trashman,0,2,0
detrumi,zerqui,0,2,1
kakpu,kitten,1,-1,0
westballz,cheez,0,2,0
ryuker,riff,1,0,2
dalung,detrumi,0,2,0
monopenisguy,kitten,0,2,0
westballz,riff,0,2,0
dalung,monopenisguy,0,2,1
westballz,dalung,0,-2,-2
jerooney,the trashman,1,1,2
kitten,zabu,1,0,2
detrumi,the trashman,0,2,1
ryuker,zerqui,0,2,0
cheez,kakpu,0,2,1
zabu,detrumi,1,1,2
ryuker,cheez,0,2,0
riff,detrumi,0,2,0
monopenisguy,ryuker,0,2,0
riff,monopenisguy,0,-2,-2
cpn,arjen,0,2,1
trinity92,dani,0,0,-1
wingleborg,swiggu,0,0,-1
thimo,solo,0,2,1
cortex,fout nl,1,0,2
ice,cpn,0,2,0
trinity92,wingleborg,0,2,1
random-ness,thimo,0,2,0
pureevil,fout nl,0,2,0
ice,trinity92,0,2,0
random-ness,pureevil,0,2,0
ice,random-ness,0,-2,-2
dani,swiggu,0,0,-1
fout nl,arjen,0,2,0
thimo,dani,0,0,-1
wingleborg,solo,0,2,0
cpn,cortex,1,0,2
fout nl,thimo,1,1,2
wingleborg,cortex,1,0,2
trinity92,thimo,0,2,1
pureevil,cortex,0,2,0
trinity92,pureevil,0,-2,-2
st0rmetom,tilt,1,0,2
helmet,afromania,0,2,0
momspaghetti,poofies,0,2,0
super^nova,villeeh,1,1,2
zeal,hex,0,2,0
professor pro,tilt,0,2,0
helmet,momspaghetti,0,2,1
jim morrison,villeeh,0,2,0
jerem,zeal,0,2,0
professor pro,helmet,0,2,0
jim morrison,jerem,0,2,0
professor pro,jim morrison,0,-2,-2
afromania,poofies,1,0,2
zeal,st0rmetom,0,2,0
villeeh,poofies,0,2,0
momspaghetti,super^nova,1,-2,-2
tilt,hex,0,2,0
zeal,villeeh,0,2,0
super^nova,tilt,1,0,2
helmet,zeal,0,2,1
jerem,tilt,0,2,0
helmet,jerem,0,-2,-2
gay falcon,seel,0,2,0
endeby,destiknee,0,2,0
seo,milf,0,2,0
nunatak,arga,0,2,0
sbr,sir dax,0,2,0
overtriforce,gay falcon,0,2,0
endeby,seo,0,2,0
brtarolg,nunatak,0,2,0
jules,sbr,0,2,0
overtriforce,endeby,0,2,0
brtarolg,jules,0,2,1
overtriforce,brtarolg,0,-2,-2
destiknee,milf,1,0,2
sbr,seel,1,0,2
nunatak,milf,1,1,2
seo,arga,0,2,0
gay falcon,sir dax,0,2,0
seel,milf,1,0,2
seo,gay falcon,1,0,2
endeby,milf,0,2,0
jules,gay falcon,0,2,0
endeby,jules,0,-2,-2
cat,bloodhank,1,0,2
cookie,divinius,1,0,2
epikfaal,peridot,0,2,0
epikfaal,haotwo,1,1,2
epikfaal,bloodhank,0,2,0
tariqdx,divinius,1,0,2
tariqdx,oni shin,0,0,-1
peridot,divinius,1,1,2
peridot,zerkris,0,2,1
android,cat,0,2,0
android,haotwo,0,-2,-2
android,rensxd,0,2,0
oni shin,cat,1,-1,0
haotwo,tariqdx,0,2,0
bloodhank,tariqdx,1,1,2
rensxd,divinius,0,2,0
rensxd,divinius,0,2,1
rensxd,epikfaal,0,-2,-2
yalungur,cookie,0,2,0
yalungur,bloodhank,1,0,2
yalungur,zerkris,0,2,0
yalungur,rensxd,1,1,2
ctn,antonio,0,0,-1
razor ramon,chelly,0,2,0
utto,zluchs,0,2,1
macbeth,bureaucraat,0,2,0
chillheids,met,0,2,0
amsah,ctn,0,2,0
razor ramon,utto,0,2,0
glory,macbeth,0,2,0
kaese,chillheids,0,2,0
amsah,razor ramon,0,2,0
glory,kaese,0,2,0
amsah,glory,0,-2,-2
chelly,zluchs,1,0,2
chillheids,antonio,0,0,-1
macbeth,zluchs,1,0,2
utto,bureaucraat,0,2,0
ctn,met,1,1,2
chillheids,zluchs,1,1,2
utto,met,0,2,0
razor ramon,zluchs,0,2,0
kaese,utto,0,2,0
razor ramon,kaese,0,-2,-2
kid anarkist,fraude françois,0,2,0
pureskillz,nikushimi,0,2,0
hondafoo,whisky wizard,0,2,1
annii,radical3i,0,0,-1
luxus,xephyer,0,2,0
reaper,kid anarkist,0,2,0
pureskillz,hondafoo,0,2,0
deathgazer,annii,0,2,0
rebaz,luxus,0,2,1
reaper,pureskillz,0,2,0
deathgazer,rebaz,0,2,0
reaper,deathgazer,0,-2,-2
nikushimi,whisky wizard,1,0,2
luxus,fraude françois,0,2,0
annii,whisky wizard,1,0,2
hondafoo,radical3i,0,0,-1
kid anarkist,xephyer,1,1,2
luxus,whisky wizard,0,2,0
hondafoo,xephyer,0,2,0
pureskillz,luxus,0,2,1
rebaz,hondafoo,1,1,2
