name,finalPlacement
triple r,65
barry seanders,769
raidos,769
dingo,513
deep c. squid,513
junpei,769
garm,1025
ladies,1025
farko,385
ruse,1537
turtle,769
cday,1025
monkbard,1025
smlzgood,1025
snowboardcat,769
action master,385
stif,513
crimsonkid,385
ecco,385
asoma,1025
kannonzz,1025
toptierramen,1025
wreckening,1025
amida,65
swedish delight,9
skate,1025
zero fox given,1025
cookiemonsta,193
flakes,513
sneker,385
general heinz,385
chelly,1025
shmoomin_,1025
prime,1025
yomi,193
stevie b,1025
damian tyson,129
dr. z,65
sago,129
infernojesus,385
bricklee,769
fern,385
beeyee,769
foxcapacitor,385
g1ft v2.0,385
red-white,1025
readbarren,769
knight,385
rugaru,1025
lōs,513
liquid,97
rabbit,1025
falcouser,1025
chromidorr,1025
8oz,513
boji,769
techboy,769
dirty,513
goucheenachos,1025
noopers,1025
kels,33
shroudedone,257
zo9ine,1025
slickah,513
savage,1025
off3nse,193
cadence,1025
knapsack,769
josamabinladen,1025
sss,1025
suess,257
mrbnjmn,1025
$nooze,513
slush,257
nachloride,513
yeti,129
brian,769
ritalin-and-steak,769
stoveboy,1025
coupkey,513
ijiz,513
chaotropic,1025
luxy,513
regralht,1025
bernal,257
iceman,33
gumble,385
jabloinks,1025
uuaa,97
bigvegetabluntz,257
volton,769
starsoldier,1537
iamse7en,1025
jib,513
peon,1025
~20%,385
wigglywuigimain,769
cartastikid,1025
ivan,257
brett3,1025
druid,1025
pav nasty,769
eru,513
jellocube,1025
martel,769
jamrun,49
dysfunkti0nal,513
sp1nda,769
ace turner,1537
joe,769
big brother,1025
eddy mexico,33
roro,1025
thelake,1025
pas,385
bolt,129
puddle,385
ce,769
n7,513
fendricklamar,129
holy ham,257
leffen,17
triumph,769
rayd,513
hoogsen,513
bcn,769
vanity angel,65
grabsomeeyes,513
tian,129
shinobi,193
urboygraham,1025
dfu,193
w1ng,513
porkloins,1025
acorn,1025
vander,1025
dog+,1537
bloop,769
allen,385
weakener,1025
b17,513
yandi,1025
gobos,1025
moggle,1025
hert,513
morsecode762,97
radbot,1025
stitchface,513
scar,257
toph,65
drewgs,1537
jujubeen,1025
smookums,1025
tkbreezy,769
phish-it,257
psychowaffle,1537
chompskye,1025
messenger,257
drugfreechu,193
life,1025
dmac,769
dunk,129
lil isai,257
boy,1025
q,193
onisser,193
zeo,97
sonofashepherd,513
i4n,129
bp,513
log,769
linkguy23,1025
timemuffin,1025
lain,257
coyote,257
darrell,49
piggly,769
4thwrldmrshl,1025
lost,1025
jbash,385
mentaculus,257
gillionayre,1025
chiefchickenwing,1025
salz,1025
deenuna,257
spankers,1025
pgd,513
taichou,769
n0z1ck,513
sauc3,257
mchi,129
