P1,P2,set winner,P1Score,P2Score
armada,cyberdelic,0,2,0
jackedpuffguy,kingmaxor,0,2,0
boyd,longlegs,0,0,-1
roboticphish,docx,0,2,0
vro,wrenchingpiff,0,2,0
fannypack,dooi,0,2,0
shinobi,big cat,0,2,0
sambr,hobbes,0,2,0
armada,jackedpuffguy,0,2,0
boyd,roboticphish,0,2,0
vro,fannypack,0,2,0
shinobi,sambr,0,2,0
armada,boyd,0,2,0
vro,shinobi,1,1,2
armada,shinobi,0,3,1
cyberdelic,kingmaxor,0,2,0
longlegs,docx,1,-1,0
wrenchingpiff,dooi,1,1,2
big cat,hobbes,0,2,0
sambr,cyberdelic,0,2,0
fannypack,docx,0,2,0
roboticphish,dooi,0,2,0
jackedpuffguy,big cat,1,1,2
sambr,fannypack,1,0,2
roboticphish,big cat,0,2,0
boyd,fannypack,0,2,1
vro,roboticphish,0,2,0
boyd,vro,1,1,3
shinobi,vro,0,-2,-2
hungrybox,crupyo,0,2,0
suplex city,myst,1,-1,0
friendly neighborgood puff,t_nils,0,2,0
blahguy,egal,0,2,0
phil,grin,0,0,-1
gaz!,poopydungman,0,2,0
absentpage,kobe,0,2,0
cup,swiper,0,2,0
hungrybox,myst,0,2,0
friendly neighborgood puff,blahguy,0,2,0
phil,gaz!,0,2,0
absentpage,cup,0,2,0
hungrybox,friendly neighborgood puff,0,2,0
phil,absentpage,1,0,2
hungrybox,absentpage,0,3,0
crupyo,suplex city,0,0,-1
t_nils,egal,1,0,2
grin,poopydungman,1,0,2
kobe,swiper,0,2,0
cup,crupyo,0,2,0
gaz!,egal,0,2,0
blahguy,poopydungman,0,2,0
myst,kobe,1,0,2
cup,gaz!,1,1,2
blahguy,kobe,0,2,0
friendly neighborgood puff,gaz!,0,2,0
phil,blahguy,0,2,0
friendly neighborgood puff,phil,1,0,3
absentpage,phil,0,-2,-2
mika,jon,0,2,1
flux,cool blue™,0,2,0
notsocrazy,tomcat,0,0,-1
4%,aesthetic,0,2,0
tred,spaghett,0,2,0
vista,captn mason,0,2,0
schnurb,eli,0,2,0
leffen,mika,0,2,0
flux,notsocrazy,0,2,0
4%,tred,0,2,0
vista,schnurb,0,2,0
leffen,flux,0,2,0
4%,vista,0,2,1
leffen,4%,0,3,0
cool blue™,tomcat,0,0,-1
aesthetic,spaghett,0,2,0
captn mason,eli,0,2,0
schnurb,jon,0,2,0
tred,cool blue™,0,2,0
notsocrazy,aesthetic,0,2,1
mika,captn mason,0,2,0
schnurb,tred,0,2,0
notsocrazy,mika,1,0,2
flux,schnurb,1,0,2
vista,mika,0,2,0
schnurb,vista,1,0,3
4%,vista,0,-2,-2
mang0,caleb,0,2,0
pops,hoz,0,0,-1
shrug,grepstar,0,2,0
nuggets,mysterion,0,2,0
rik,prilo,0,2,0
amae,s-j,0,0,-1
bobby frizz,scuttles,0,2,0
clock,vigilance,1,0,2
mang0,pops,0,2,0
shrug,nuggets,0,2,1
rik,amae,0,2,0
bobby frizz,vigilance,0,2,0
mang0,shrug,0,2,0
rik,bobby frizz,1,0,2
mang0,bobby frizz,0,3,1
caleb,hoz,0,0,-1
grepstar,mysterion,0,2,0
prilo,s-j,0,0,-1
scuttles,clock,0,2,0
vigilance,caleb,0,2,0
amae,grepstar,1,0,2
nuggets,prilo,0,2,0
pops,scuttles,0,2,1
vigilance,grepstar,0,2,0
nuggets,pops,0,2,0
shrug,vigilance,1,0,2
rik,nuggets,0,2,0
vigilance,rik,1,0,3
bobby frizz,rik,0,-2,-2
mew2king,dezno,0,2,0
dirty dan,pablopicasso,0,2,0
home,soberd,0,2,0
obamallama,shlizark,0,0,-1
syrox,mr._hui,0,2,0
nice climbers,fuwa,0,0,-1
lanceinthepants,woogieboogie,0,0,-1
nard dogg,smeagle,0,2,0
mew2king,dirty dan,0,2,0
home,obamallama,1,0,2
syrox,nice climbers,0,2,0
lanceinthepants,nard dogg,0,2,0
mew2king,obamallama,0,2,0
syrox,lanceinthepants,0,2,0
mew2king,syrox,0,3,0
dezno,pablopicasso,0,2,0
soberd,shlizark,0,0,-1
mr._hui,fuwa,0,0,-1
woogieboogie,smeagle,1,-1,0
nard dogg,dezno,1,1,2
nice climbers,soberd,0,2,0
home,mr._hui,0,2,0
dirty dan,smeagle,0,2,0
dezno,nice climbers,0,2,1
home,dirty dan,0,2,0
obamallama,dezno,1,0,2
lanceinthepants,home,0,2,0
dezno,lanceinthepants,1,2,3
syrox,lanceinthepants,0,-2,-2
sfat,a-wall,0,2,0
sfat,reeve,0,3,0
sfat,mercury,0,2,0
sfat,iori,0,2,0
kre,cap10kirk,0,2,0
jman3,rod,0,2,0
3huna,stretch,0,2,0
3huna,iori,1,0,2
l-gambino,jman3,1,1,2
l-gambino,cap10kirk,0,2,0
android,kre,0,2,0
android,l-gambino,0,2,0
android,xiivi,0,2,0
android,reeve,1,1,2
a-wall,jman3,0,2,0
a-wall,xiivi,0,2,1
a-wall,iori,1,0,2
xiivi,kre,0,2,0
xiivi,quist,0,2,0
xiivi,rod,0,2,0
reeve,3huna,0,2,0
reeve,android,0,-2,-2
reeve,quist,0,2,0
mercury,tarn,0,0,-1
mercury,quist,1,0,2
quist,stretch,0,2,0
iori,tarn,0,0,-1
iori,jman3,0,2,0
iori,android,1,1,3
ice,mr.postman,0,2,1
goobershadow,juststrife,0,2,0
law,dankdaddy,0,2,0
yashichi,nocturne,0,2,0
kels,surf's up. hail satan.,0,2,0
set!,stacked,1,0,2
amida,general gengar,0,2,0
hank,rahma noodles,0,2,0
ice,goobershadow,0,2,0
law,yashichi,1,0,2
kels,stacked,0,2,0
amida,hank,0,2,0
ice,yashichi,0,2,0
kels,amida,0,2,1
ice,kels,0,3,0
mr.postman,juststrife,0,2,0
dankdaddy,nocturne,1,0,2
surf's up. hail satan.,set!,0,2,0
general gengar,rahma noodles,1,0,2
hank,mr.postman,1,1,2
stacked,nocturne,0,2,0
law,surf's up. hail satan.,0,2,1
goobershadow,rahma noodles,0,2,1
mr.postman,stacked,0,2,1
law,goobershadow,0,2,0
yashichi,mr.postman,1,1,2
amida,law,0,2,0
mr.postman,amida,1,1,3
kels,amida,0,-2,-2
swedish delight,thebourgelispig,0,2,0
soul,nah son,0,2,0
cookiemonsta,gumby,0,2,0
8oz,hubes,0,2,0
prince f. abu,bair,0,2,0
mahatma,puddingpop,0,2,0
mattdotzeb,kulprit,0,2,0
tails,boneless,0,2,0
swedish delight,soul,0,2,0
cookiemonsta,8oz,0,2,0
prince f. abu,mahatma,0,2,0
mattdotzeb,tails,0,2,0
swedish delight,cookiemonsta,0,2,0
prince f. abu,mattdotzeb,0,2,0
swedish delight,prince f. abu,0,3,2
thebourgelispig,nah son,0,2,0
gumby,hubes,1,0,2
bair,puddingpop,0,2,0
kulprit,boneless,0,2,0
tails,thebourgelispig,0,2,1
mahatma,hubes,1,0,2
8oz,bair,0,2,1
soul,kulprit,0,2,1
tails,hubes,0,2,0
8oz,soul,0,2,0
cookiemonsta,tails,0,2,0
mattdotzeb,8oz,0,2,0
cookiemonsta,mattdotzeb,1,0,3
prince f. abu,mattdotzeb,0,-2,-2
axe,sweetdee,0,2,0
lawyerdog,masterbazaar,0,2,0
deepz,thedoctorisin,0,2,0
dragedo,ping warrior,0,0,-1
homemadewaffles,lex,0,2,0
firebolt,daddy,1,0,2
luigigoshard,eggs on legs,0,2,0
lorek,jr,0,2,0
axe,lawyerdog,0,2,0
deepz,dragedo,0,2,0
homemadewaffles,daddy,0,2,0
luigigoshard,lorek,0,2,0
axe,deepz,0,2,0
homemadewaffles,luigigoshard,0,2,0
axe,homemadewaffles,0,3,0
sweetdee,masterbazaar,1,-1,0
thedoctorisin,ping warrior,1,0,2
lex,firebolt,1,0,2
eggs on legs,jr,1,0,2
lorek,masterbazaar,1,0,2
daddy,ping warrior,0,2,0
dragedo,firebolt,1,0,2
lawyerdog,jr,1,0,2
masterbazaar,daddy,1,0,2
firebolt,jr,0,2,0
deepz,daddy,0,2,1
luigigoshard,firebolt,0,2,0
deepz,luigigoshard,1,2,3
homemadewaffles,luigigoshard,0,-2,-2
shroomed,rubica,0,2,0
pants,mayofknees,0,2,0
photonic,magaroni,0,2,0
hylian,undercoverraptor,0,2,0
hugs,holiday,0,2,0
mantis,squanto,0,2,0
reesch,two,0,2,0
trixter,rez,0,2,0
shroomed,pants,0,2,0
photonic,hylian,0,2,1
hugs,mantis,0,2,0
reesch,trixter,0,2,0
shroomed,photonic,0,2,0
hugs,reesch,0,2,0
shroomed,hugs,0,3,0
rubica,mayofknees,0,2,0
magaroni,undercoverraptor,0,2,0
holiday,squanto,0,2,0
two,rez,0,2,0
trixter,rubica,0,2,0
mantis,magaroni,0,2,0
hylian,holiday,1,0,2
pants,two,0,2,0
trixter,mantis,1,1,2
holiday,pants,0,2,0
photonic,mantis,0,2,0
reesch,holiday,0,2,0
photonic,reesch,1,1,3
hugs,reesch,0,-2,-2
duck,stroker,0,2,0
treyvon tustronk,gyoska,0,2,0
trix,blackg,0,2,0
genoblast,overly minus,0,2,0
chudat,$wank,0,2,0
krevlar,cooran,0,2,1
riio,tara,0,2,0
deliciousoctorok,worm,0,0,-1
duck,treyvon tustronk,0,2,0
trix,genoblast,0,2,1
chudat,krevlar,0,2,0
riio,deliciousoctorok,0,2,0
duck,trix,0,2,0
chudat,riio,0,2,0
duck,chudat,1,2,3
stroker,gyoska,0,2,0
blackg,overly minus,0,2,0
$wank,cooran,0,2,1
tara,worm,0,0,-1
deliciousoctorok,stroker,1,1,2
krevlar,blackg,0,2,0
genoblast,$wank,0,2,0
treyvon tustronk,tara,0,2,0
stroker,krevlar,1,0,2
genoblast,treyvon tustronk,1,0,2
trix,krevlar,0,2,0
riio,treyvon tustronk,0,2,0
trix,riio,0,3,1
duck,trix,0,-2,-2
pewpewu,t2,0,2,0
dime,edd,1,1,2
denec,caveman?,0,2,0
roshi,rezah,0,2,0
n0ne,lickney,0,2,0
king fedora,spire_fan,0,2,0
liberate,tac,0,2,0
norwood,wisaac,0,2,0
pewpewu,edd,0,2,0
denec,roshi,0,2,0
n0ne,king fedora,0,2,0
liberate,norwood,0,2,0
pewpewu,denec,0,2,0
n0ne,liberate,0,2,0
pewpewu,n0ne,1,1,3
t2,dime,1,0,2
caveman?,rezah,0,2,0
lickney,spire_fan,1,0,2
tac,wisaac,1,0,2
norwood,dime,0,2,0
king fedora,caveman?,0,2,0
roshi,spire_fan,1,0,2
edd,wisaac,0,2,0
norwood,king fedora,1,0,2
spire_fan,edd,1,1,2
denec,king fedora,0,2,1
liberate,edd,0,2,0
denec,liberate,1,2,3
pewpewu,liberate,0,-2,-2
travioli,odesza,0,2,0
travioli,trix,0,2,0
og swaglord,generic,0,2,1
og swaglord,trix,0,2,0
og swaglord,timtempor,0,2,0
generic,seto,0,2,0
generic,taylortotftw,0,2,0
arctic,trix,1,0,2
mikehaze,generic,0,2,0
mikehaze,hikenviken,0,2,0
mikehaze,buddy guysman,0,2,0
timtempor,odesza,0,2,0
peredido,2shadez,1,0,2
peredido,hikenviken,1,0,2
greenwalk,seto,1,-1,0
greenwalk,peredido,1,-1,0
2shadez,seto,0,2,0
2shadez,og swaglord,0,2,1
2shadez,buddy guysman,1,1,3
the moon,travioli,0,2,0
the moon,mikehaze,1,2,3
the moon,timtempor,0,2,0
the moon,2shadez,0,2,0
the moon,buddy guysman,0,-2,-2
hikenviken,travioli,1,0,2
hikenviken,taylortotftw,0,2,0
buddy guysman,travioli,0,2,0
buddy guysman,og swaglord,0,2,1
buddy guysman,arctic,0,2,0
s2j,wndy,0,2,0
milk monster,gib,1,0,2
quin,mojoe,0,2,0
tarchwood,derpson,0,2,0
dizzkidboogie,jbuzzybee,0,2,0
delusion,segfault,0,2,0
iifter,nomad,0,2,0
mekk,oats,0,2,0
s2j,gib,0,2,0
quin,tarchwood,0,2,0
dizzkidboogie,delusion,0,2,0
iifter,mekk,1,1,2
s2j,quin,0,2,0
dizzkidboogie,mekk,0,2,0
s2j,dizzkidboogie,0,3,2
wndy,milk monster,0,2,0
mojoe,derpson,1,1,2
jbuzzybee,segfault,0,2,1
nomad,oats,0,2,0
iifter,wndy,0,2,0
delusion,derpson,0,2,0
tarchwood,jbuzzybee,0,2,0
gib,nomad,1,0,2
iifter,delusion,0,2,0
tarchwood,nomad,1,0,2
quin,iifter,1,1,2
mekk,nomad,0,2,0
iifter,mekk,0,3,2
dizzkidboogie,iifter,0,-2,-2
macd,y.n.c.,0,2,0
no true scotsman,lago,1,0,2
slowking,romulus,0,2,0
nox,dreamsicle,0,2,0
professor pro,messi,0,2,0
kulczak,151a,0,2,0
fendricklamar,wiz biz,0,2,0
flion,johncraw,0,2,0
macd,lago,0,2,0
slowking,nox,1,1,2
professor pro,kulczak,0,2,0
fendricklamar,flion,0,2,0
macd,nox,0,2,0
professor pro,fendricklamar,0,2,0
macd,professor pro,1,2,3
y.n.c.,no true scotsman,0,2,0
romulus,dreamsicle,0,2,0
messi,151a,0,2,0
wiz biz,johncraw,0,2,0
flion,y.n.c.,0,2,0
kulczak,romulus,0,2,0
slowking,messi,0,2,0
lago,wiz biz,0,2,1
flion,kulczak,1,0,2
slowking,lago,0,2,0
nox,kulczak,0,2,0
fendricklamar,slowking,0,2,1
nox,fendricklamar,1,0,3
macd,fendricklamar,0,-2,-2
colbol,buttpounder420,0,2,0
pbz,jacky,1,0,2
cob,sinon,0,2,0
bluebuster,ben2,0,2,1
druggedfox,steps,0,2,0
wepeel,ejg,0,2,0
drugfreechu,jwooff,1,0,2
schlag,heads,0,2,0
colbol,jacky,0,2,0
cob,bluebuster,0,2,0
druggedfox,wepeel,0,2,0
