name,finalPlacement
tails,65
armada,1
kre,129
trixter,97
syrox,25
yashichi,65
mika,65
pants,97
jr,97
captn mason,129
sambr,97
phil,17
rod,193
riio,49
daddy,65
tarn,193
two,129
krevlar,65
stretch,193
lorek,129
wrenchingpiff,193
hank,129
blahguy,65
greenwalk,193
cap10kirk,193
jwooff,129
boyd,49
timtempor,129
mattdotzeb,33
bair,129
egal,129
dizzkidboogie,25
scuttles,129
hobbes,193
pbz,97
travioli,65
jacky,49
mew2king,2
4%,17
obamallama,65
xiivi,65
odesza,193
android,33
hylian,129
chudat,17
magaroni,129
denec,49
surf's up. hail satan.,129
cob,33
sfat,7
lawyerdog,129
reeve,33
luigigoshard,33
aesthetic,129
pops,97
dankdaddy,193
set!,193
prince f. abu,17
caleb,129
juststrife,193
tac,193
dragedo,129
grepstar,97
mang0,13
spaghett,193
derpson,129
undercoverraptor,193
crupyo,129
jbuzzybee,129
swiper,193
docx,129
lickney,193
dezno,49
leffen,4
notsocrazy,97
ice,9
gyoska,193
professor pro,5
hikenviken,97
s-j,193
shlizark,193
oats,193
fendricklamar,33
norwood,97
steps,129
cooran,193
nice climbers,97
gumby,193
worm,193
hungrybox,3
fannypack,65
vro,33
rahma noodles,129
fuwa,193
kobe,97
nomad,65
the moon,17
flion,97
arctic,193
blackg,129
amida,33
kingmaxor,193
spire_fan,97
liberate,25
duck,17
a-wall,65
n0ne,5
jon,129
amae,129
generic,97
iifter,33
law,65
lex,193
kulprit,129
grin,193
trix,129
hoz,193
big cat,97
shroomed,13
l-gambino,129
messi,129
s2j,9
suplex city,193
mahatma,129
no true scotsman,193
taylortotftw,193
milk monster,193
axe,13
sinon,65
peredido,129
goobershadow,97
tomcat,193
ejg,193
swedish delight,7
dreamsicle,193
schlag,65
schnurb,49
mr.postman,49
buddy guysman,33
treyvon tustronk,65
clock,193
mikehaze,9
drugfreechu,129
bobby frizz,25
romulus,129
seto,129
woogieboogie,193
mr._hui,129
holiday,65
bluebuster,97
segfault,193
buttpounder420,193
151a,193
johncraw,193
sweetdee,193
ping warrior,129
mysterion,193
2shadez,49
rik,33
hugs,25
wisaac,129
hubes,97
cool blue™,129
nard dogg,129
roshi,129
nocturne,129
heads,193
vista,33
tred,97
rez,193
slowking,65
lago,97
masterbazaar,97
druggedfox,9
absentpage,25
shinobi,25
shrug,65
friendly neighborgood puff,49
flux,65
gaz!,65
boneless,193
og swaglord,65
rubica,129
general gengar,193
nox,49
kels,17
8oz,65
quist,97
cup,97
pewpewu,13
dirty dan,97
firebolt,65
tara,129
eli,193
puddingpop,193
mercury,129
delusion,97
y.n.c.,129
homemadewaffles,25
trix,33
stroker,97
longlegs,193
wepeel,129
king fedora,65
stacked,97
soul,97
squanto,193
overly minus,193
pablopicasso,193
nuggets,65
nah son,193
vigilance,49
caveman?,129
mantis,65
wndy,129
3huna,129
t_nils,193
mayofknees,193
thedoctorisin,193
photonic,49
jman3,97
thebourgelispig,129
cyberdelic,129
colbol,33
lanceinthepants,33
mekk,49
jackedpuffguy,129
t2,193
$wank,129
reesch,33
genoblast,97
poopydungman,129
rezah,193
kulczak,65
wiz biz,129
deliciousoctorok,129
dime,129
myst,129
deepz,49
cookiemonsta,49
macd,17
home,65
gib,129
edd,65
iori,49
soberd,129
quin,65
smeagle,129
ben2,193
tarchwood,97
dooi,129
eggs on legs,193
prilo,129
roboticphish,65
mojoe,193
