P1,P2,set winner,P1Score,P2Score
smashyoface,esmod,1,-1,0
tidi,anewbus,1,0,2
bizon,aly,1,0,2
armada,esmod,0,2,0
forbidden,og swaglord,1,0,2
gaz!,stringbean,0,2,0
house,ronan,0,2,0
zylo,anewbus,0,2,0
light,@ssbm_ichigo,1,0,2
mew,aly,0,2,0
bunbun,zeta,0,2,0
armada,og swaglord,0,2,0
gaz!,house,0,2,0
zylo,@ssbm_ichigo,1,1,2
mew,bunbun,0,2,0
armada,gaz!,0,2,0
@ssbm_ichigo,mew,1,0,2
armada,mew,0,2,0
zeta,smashyoface,0,2,0
ronan,tidi,1,0,2
forbidden,bizon,0,2,1
zeta,aly,1,1,2
light,anewbus,0,2,0
tidi,stringbean,1,0,2
forbidden,esmod,0,2,0
house,aly,1,0,2
og swaglord,light,1,0,2
bunbun,stringbean,0,2,0
zylo,forbidden,0,2,0
aly,light,0,2,0
bunbun,zylo,1,0,2
@ssbm_ichigo,aly,0,2,0
gaz!,zylo,1,0,2
@ssbm_ichigo,zylo,1,1,2
mew,zylo,0,-2,-2
sonic,hacky,1,0,2
robbyk,salt,1,-1,0
zachackach,kyle bananasak's left nip,1,0,2
hungrybox,hacky,0,2,0
youtwo,noah,1,0,2
gato,nice climbers,0,2,0
weavle,peen,0,0,-1
ihavespaceballs,salt,0,2,0
wiggin,mewwy,1,-1,0
sveet,kyle bananasak's left nip,0,2,0
johnjohn,gingerjesus,1,-1,0
hungrybox,noah,0,2,0
gato,weavle,0,2,0
ihavespaceballs,mewwy,0,2,0
sveet,gingerjesus,0,2,0
hungrybox,gato,0,2,0
ihavespaceballs,sveet,0,2,1
hungrybox,ihavespaceballs,0,2,0
johnjohn,sonic,1,-1,0
peen,robbyk,0,0,-1
youtwo,zachackach,0,2,1
sonic,kyle bananasak's left nip,1,0,2
wiggin,salt,1,-1,0
peen,nice climbers,1,-1,0
youtwo,hacky,1,0,2
weavle,kyle bananasak's left nip,1,0,2
noah,salt,0,2,1
gingerjesus,nice climbers,0,2,1
mewwy,hacky,0,2,0
kyle bananasak's left nip,noah,0,2,1
gingerjesus,mewwy,1,1,2
sveet,kyle bananasak's left nip,0,2,0
gato,mewwy,0,2,0
