T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
pikmon,mr.watchandlearn,salt,bee,0,2,0
drinkingfood,taylorhj,cuda,rundmx,0,-2,-2
da,dong,lots,gilxturtle,0,-2,-2
gooch,tealz,noob,neat,0,-2,-2
sneez,betch,trippaturtle,esperanza,0,-2,-2
katerrorist,filthy casual,fearless,phorcys,1,-2,-2
kokingpin,tha shogun,mr.pickle,logs,0,-2,-2
shokio,unt | captain birdman,birdybirds,frosti,0,-2,-2
american bowser,dekus,batou,krbay,0,-2,-2
mr. brandandorf,zeej,siguy,daddy,0,-2,-2
arsenals,tr0y,doom,grime,0,-2,-2
luck,dizzy,robo,curty,0,-2,-2
~cp9~,dyl,ezdz,pied,0,-2,-2
snok,sledj,solus,ryebread,0,-2,-2
ss | brother rob,guerrilla,dumshiny,loyal,0,0,-1
odds,plate,jaggedcole,apathy,1,0,2
azer,zeus,spiritranger99,johalter,0,-2,-2
hazygoose,claus,grey area,nevalt,0,-2,-2
boiko,princess hyrule,chem,sparkswordkirby,0,-2,-2
dojo,yellowrello,darkgun,twisted logic,0,-2,-2
lunchables,dakpo,pikmon,mr.watchandlearn,0,-2,-2
drinkingfood,taylorhj,da,dong,1,-2,-2
aion,uncle mojo,gooch,tealz,1,-2,-2
goode,baconpancakes,sneez,betch,0,-2,-2
hungrybox,mrlz,fearless,phorcys,0,-2,-2
kokingpin,tha shogun,shokio,unt | captain birdman,1,-2,-2
strong bad,machiavelli,american bowser,dekus,0,-2,-2
bobby frizz,mjg,mr. brandandorf,zeej,0,-2,-2
mang0,lucky,arsenals,tr0y,0,-2,-2
luck,dizzy,~cp9~,dyl,0,2,0
stereokidd,hyperflame,snok,sledj,0,-2,-2
dmg,solharath,ss | brother rob,guerrilla,0,-2,-2
dirtboy,junebug,jaggedcole,apathy,0,-2,-2
azer,zeus,hazygoose,claus,0,-2,-2
hero of time,umbreon,boiko,princess hyrule,0,-2,-2
thunderzreign,red x,dojo,yellowrello,0,-2,-2
lunchables,dakpo,da,dong,0,-2,-2
gooch,tealz,goode,baconpancakes,0,-2,-2
hungrybox,mrlz,shokio,unt | captain birdman,0,-2,-2
strong bad,machiavelli,bobby frizz,mjg,1,1,2
mang0,lucky,luck,dizzy,0,-2,-2
stereokidd,hyperflame,dmg,solharath,0,-2,-2
dirtboy,junebug,azer,zeus,0,-2,-2
hero of time,umbreon,thunderzreign,red x,0,-2,-2
lunchables,dakpo,gooch,tealz,0,-2,-2
hungrybox,mrlz,bobby frizz,mjg,0,2,1
mang0,lucky,stereokidd,hyperflame,1,1,2
dirtboy,junebug,hero of time,umbreon,0,-2,-2
lunchables,dakpo,hungrybox,mrlz,0,3,2
stereokidd,hyperflame,dirtboy,junebug,0,-2,-2
lunchables,dakpo,stereokidd,hyperflame,1,2,3
stereokidd,hyperflame,lunchables,dakpo,1,0,3
lunchables,dakpo,stereokidd,hyperflame,0,3,0
cuda,rundmx,lots,gilxturtle,0,-2,-2
mr.pickle,logs,birdybirds,frosti,1,-2,-2
robo,curty,ezdz,pied,0,-2,-2
spiritranger99,johalter,grey area,nevalt,1,-1,0
dojo,yellowrello,salt,bee,0,-2,-2
boiko,princess hyrule,cuda,rundmx,0,-2,-2
hazygoose,claus,noob,neat,0,2,0
jaggedcole,apathy,trippaturtle,esperanza,0,-2,-2
ss | brother rob,guerrilla,katerrorist,filthy casual,1,-2,-2
snok,sledj,birdybirds,frosti,0,-2,-2
~cp9~,dyl,batou,krbay,0,-2,-2
arsenals,tr0y,siguy,daddy,0,-2,-2
mr. brandandorf,zeej,doom,grime,0,-2,-2
american bowser,dekus,robo,curty,0,-2,-2
kokingpin,tha shogun,solus,ryebread,0,-2,-2
fearless,phorcys,dumshiny,loyal,0,-2,-2
sneez,betch,odds,plate,0,-2,-2
aion,uncle mojo,grey area,nevalt,0,-2,-2
drinkingfood,taylorhj,chem,sparkswordkirby,0,-2,-2
pikmon,mr.watchandlearn,darkgun,twisted logic,0,-2,-2
dojo,yellowrello,boiko,princess hyrule,1,-2,-2
hazygoose,claus,jaggedcole,apathy,1,-1,0
katerrorist,filthy casual,snok,sledj,1,-1,0
~cp9~,dyl,arsenals,tr0y,0,-2,-2
mr. brandandorf,zeej,american bowser,dekus,1,0,2
kokingpin,tha shogun,fearless,phorcys,0,-2,-2
sneez,betch,aion,uncle mojo,1,-2,-2
drinkingfood,taylorhj,pikmon,mr.watchandlearn,0,-2,-2
strong bad,machiavelli,boiko,princess hyrule,0,-2,-2
shokio,unt | captain birdman,jaggedcole,apathy,0,2,0
goode,baconpancakes,snok,sledj,0,-2,-2
da,dong,~cp9~,dyl,0,-2,-2
thunderzreign,red x,american bowser,dekus,0,-2,-2
azer,zeus,kokingpin,tha shogun,0,-2,-2
dmg,solharath,aion,uncle mojo,1,-2,-2
luck,dizzy,drinkingfood,taylorhj,0,-2,-2
strong bad,machiavelli,shokio,unt | captain birdman,0,-2,-2
goode,baconpancakes,da,dong,1,-2,-2
thunderzreign,red x,azer,zeus,1,1,2
aion,uncle mojo,luck,dizzy,0,-2,-2
mang0,lucky,strong bad,machiavelli,1,-1,0
hero of time,umbreon,da,dong,0,-2,-2
gooch,tealz,azer,zeus,1,0,2
bobby frizz,mjg,aion,uncle mojo,1,-2,-2
strong bad,machiavelli,hero of time,umbreon,0,3,2
azer,zeus,aion,uncle mojo,1,0,3
hungrybox,mrlz,strong bad,machiavelli,1,0,3
dirtboy,junebug,aion,uncle mojo,0,-2,-2
strong bad,machiavelli,dirtboy,junebug,1,-2,-2
lunchables,dakpo,dirtboy,junebug,0,-2,-2
