p1,p2,finalPlacement
strong badmachiavelli,4
hazygooseclaus,25
arsenalstr0y,25
hero of timeumbreon,7
goochtealz,9
siguydaddy,33
birdybirdsfrosti,33
azerzeus,7
american bowserdekus,17
kokingpintha shogun,17
fearlessphorcys,25
bobby frizzmjg,9
dadong,9
dmgsolharath,17
chemsparkswordkirby,33
mr.picklelogs,49
grey areanevalt,33
mr. brandandorfzeej,25
aionuncle mojo,5
mang0lucky,9
hungryboxmrlz,5
cudarundmx,33
captain birdman,13
oddsplate,33
luckdizzy,13
jaggedcoleapathy,17
sneezbetch,25
goodebaconpancakes,13
darkguntwisted logic,33
ezdzpied,49
katerroristfilthy casual,25
drinkingfoodtaylorhj,17
snoksledj,17
saltbee,33
noobneat,33
stereokiddhyperflame,2
pikmonmr.watchandlearn,25
brother robguerrilla,33
dirtboyjunebug,3
boikoprincess hyrule,17
lunchablesdakpo,1
robocurty,33
thunderzreignred x,13
lotsgilxturtle,49
dojoyellowrello,25
dumshinyloyal,33
batoukrbay,33
~cp9~dyl,17
doomgrime,33
trippaturtleesperanza,33
solusryebread,33
spiritranger99johalter,49
