p1,p2,finalPlacement
slyfer,h2o,25
zigludo,pure,9
karma,darth shard,17
moosewad,dysfunkti0nal,33
whooie,ppsd,33
theytah,railz,33
scooby doo gucci jacuzzi,clownballs,33
boat,jadeyes,25
delta,canary,49
orly,marshall,9
bpow,xurk,17
pgd,oathlivion,33
xtreme,rooster,25
k-tel,thunderzreign,17
sago,scythe,7
reslived,eyeheartlovetap,25
mikey20100,john,33
sothe,spicy,17
dirtboy,ally,3
null origin,portals,17
cheif10,whomp,33
junebug,ripple,4
kulprit,doodler,25
plinywaves,firelord46,49
binary clone,infernospark,49
aki,frost,9
hyperflame,xyk,5
harmak,vorpal,17
dexter,sinnyboo242,13
yankee,peeko,33
thekeyof95,kyo,33
yata,lsdx,33
xion darkrose,denec,49
yyap,c#,33
embre,amerikev,33
n0ne,blitz,13
hungrybox,westballz,5
sino,koala,25
dla,mukfather,13
zuul,cho,49
gumble,deus ex jinora,33
ggdoe,nave,25
desseler,ellis,9
dakpo,lunchables,2
solharath,lordy,13
knubs.,azzu,25
dad,mvzy,33
mrlz,mew2king,1
mawwwk,grab2win,33
mjg,strong bad,7
ramjam,coxbox,33
food,tavi,17
amazerommu,kain,17
