P1,P2,set winner,P1Score,P2Score
zeppx,femto,1,-2,-2
sausage948,skarfelt,1,-2,-2
armada,femto,1,-1,0
krax,scarhi,0,-2,-2
silentdoom,skarfelt,0,-2,-2
omadon,rules,0,-2,-2
femto,krax,0,-2,-2
silentdoom,omadon,0,-2,-2
femto,silentdoom,1,-2,-2
silentdoom,femto,0,-2,-2
rules,zeppx,0,-2,-2
scarhi,sausage948,1,-2,-2
rules,skarfelt,1,-2,-2
sausage948,armada,0,0,-1
krax,skarfelt,1,-2,-2
omadon,sausage948,0,-2,-2
skarfelt,omadon,0,-2,-2
femto,skarfelt,0,-2,-2
hacksugar,tet,0,-2,-2
rikkel,heketzu,0,-2,-2
eagle,hacksugar,0,-2,-2
duckslayer,scarb,0,-2,-2
taka,rikkel,1,-2,-2
schmep,shais young,0,-2,-2
eagle,duckslayer,0,-2,-2
rikkel,schmep,0,-2,-2
eagle,rikkel,0,-2,-2
eagle,rikkel,0,-2,-2
shais young,tet,0,-2,-2
scarb,heketzu,1,-2,-2
shais young,taka,1,-2,-2
heketzu,hacksugar,1,-2,-2
duckslayer,taka,1,-2,-2
schmep,hacksugar,0,-2,-2
taka,schmep,0,-2,-2
rikkel,taka,0,-2,-2
endofstory,sixten,0,0,-1
sebovich,call_of_cow,0,-2,-2
alpha dash,endofstory,0,-2,-2
chobos,johsyjam,1,-2,-2
timemuffinphd,sebovich,0,-2,-2
loz,flippy,0,0,-1
alpha dash,johsyjam,0,-2,-2
timemuffinphd,loz,0,-2,-2
alpha dash,timemuffinphd,0,-2,-2
alpha dash,timemuffinphd,0,-2,-2
flippy,sixten,1,-1,0
chobos,call_of_cow,0,-2,-2
sixten,sebovich,1,-1,0
chobos,endofstory,0,-2,-2
johsyjam,sebovich,0,-2,-2
loz,chobos,0,-2,-2
johsyjam,loz,0,-2,-2
timemuffinphd,johsyjam,0,-2,-2
[ngp]poilu,blue,0,-2,-2
dan soup,darentei,0,0,-1
timi,[ngp]poilu,0,-2,-2
krus,gamblah,0,0,-1
johnkorv,dan soup,0,-2,-2
wiiase,ken allen tang,0,0,-1
timi,krus,0,0,-1
johnkorv,wiiase,0,0,-1
timi,johnkorv,0,-2,-2
timi,[ngp]poilu,0,-2,-2
ken allen tang,blue,1,-1,0
gamblah,darentei,0,0,-1
blue,dan soup,0,-2,-2
gamblah,[ngp]poilu,1,-1,0
krus,blue,1,-1,0
wiiase,[ngp]poilu,1,-1,0
blue,[ngp]poilu,1,-2,-2
johnkorv,[ngp]poilu,1,-2,-2
hest,tonymalone,1,-2,-2
moosie,king robin,1,-2,-2
fuzzyness,tonymalone,0,-2,-2
tophatpat,whidah,1,-2,-2
dcj,king robin,1,-1,0
bësti,patsheezy,0,-2,-2
fuzzyness,whidah,0,-2,-2
king robin,bësti,1,-2,-2
fuzzyness,bësti,0,-2,-2
fuzzyness,bësti,0,-2,-2
patsheezy,hest,0,-2,-2
tophatpat,moosie,0,-2,-2
patsheezy,dcj,0,0,-1
tophatpat,tonymalone,0,-2,-2
whidah,patsheezy,1,-2,-2
king robin,tophatpat,1,-2,-2
patsheezy,tophatpat,1,-2,-2
bësti,tophatpat,0,-2,-2
yojimbo,gorull,1,-2,-2
dannyy,maxsimon123,0,-2,-2
willz,gorull,0,-2,-2
zee,paoz,0,-2,-2
blayd,dannyy,0,2,0
socks,diggerty10,0,2,0
willz,zee,0,-2,-2
blayd,socks,0,2,0
willz,blayd,0,2,0
willz,blayd,0,-2,-2
diggerty10,yojimbo,0,-2,-2
paoz,maxsimon123,0,-2,-2
diggerty10,dannyy,1,-2,-2
paoz,gorull,1,-2,-2
zee,dannyy,1,-2,-2
socks,gorull,1,-2,-2
dannyy,gorull,1,-2,-2
blayd,gorull,0,-2,-2
puttep,fuseless,0,0,-1
2ddj,sukou,0,0,-1
abate,puttep,0,0,-1
jonas,quasi,0,0,-1
blaze,2ddj,0,-2,-2
gale,madman3,1,-1,0
abate,jonas,0,0,-1
blaze,madman3,0,2,0
abate,blaze,0,-2,-2
