name,finalPlacement
whidah,65
fuzzyness,3
northstar,129
darentei,129
*zen,4
chirou,65
midgeet,97
g3,129
scarhi,129
bësti,25
ultimat3spaz,49
tonymalone,97
yojimbo,129
mental,97
xardov,49
hacksugar,65
brail_l2k,97
skippo,65
tet,129
kev,33
amishcatfish,129
play4fun,33
dw,97
bikerknight,49
ken allen tang,129
maxy,13
charby,5
scarb,129
pon,65
flippy,129
sophie the warrior,65
chobos,65
jonas,65
tenwa,97
gustavo,33
timemuffinphd,17
skarfelt,33
duckslayer,65
fuseless,129
tariqdx,33
venitas,97
alpha dash,7
riksto,129
rikkel,25
ac_anon,49
sortie,49
avatar jillian,49
duni,129
can~d,13
nomickok,65
samio25,97
howie,129
wiiase,65
moosie,129
pj,49
gibby,65
mr.r,97
silentdoom,17
guru,129
abate,2
dannyy,49
2ddj,49
mr. toothbrush,65
blayd,25
joanna dark,65
frenzy,33
slime,129
pandoz,65
r23,17
sukou,129
bbc,129
issi^,97
wingie,129
krus,65
fries,129
quasi,65
loz,49
professor pro,1
patsheezy,49
swish,97
schmep,49
fredricoswe,65
moose,97
trax,33
otek,13
hufsa,65
mahie,9
peanutz996,65
armada,97
king robin,65
diggerty10,97
draz,25
eagle,9
maxsimon123,129
femto,25
call_of_cow,129
timi,7
detrumi,97
hylian reaper,17
dan soup,97
sausage948,65
mp2,65
gamblah,97
rules,97
dyne,129
endofstory,97
puttep,97
zeppx,129
rbm,129
9volt,97
toa,33
johnkorv,33
tobbeh99,129
reaper,5
rush,65
mikehaggarssbm,17
blue,49
linney,129
heketzu,97
[ngp]poilu,17
krax,65
dcj,97
omadon,49
gale,97
diabound,25
ganz,65
bapmoney,17
tophatpat,33
helio,65
taka,33
nefe,129
willz,9
bakkestaffen,129
paoz,97
prosmashertim,17
phade,33
herr råbob,65
lolex,97
madman3,33
blaze,13
socks,65
halogen,65
calzum,25
mm720,97
trif,9
bloodbowler,33
hyhy,97
téabone,97
hest,129
theredsock,49
shais young,97
johsyjam,33
mo,49
zee,65
sixten,97
vilness,25
pricent,97
ningildo,129
sebovich,65
gorull,33
