P1,P2,set winner,P1Score,P2Score
hard reid,ecoli,0,2,0
miyo,xariot,0,2,0
pk wizkid,cfh,0,2,0
thunderzreign,ecoli,0,2,0
hard reid,cfh,0,2,0
miyo,pk wizkid,0,2,0
thunderzreign,xariot,0,2,0
ecoli,cfh,1,0,2
hard reid,miyo,0,2,0
thunderzreign,cfh,0,2,0
xariot,pk wizkid,0,2,1
ecoli,miyo,1,0,2
thunderzreign,pk wizkid,0,2,0
cfh,miyo,1,0,2
xariot,hard reid,1,0,2
thunderzreign,miyo,0,2,0
pk wizkid,hard reid,1,0,2
xariot,ecoli,0,2,1
thunderzreign,hard reid,1,0,2
pk wizkid,ecoli,0,2,1
cfh,xariot,1,0,2
ck,windindi,0,2,0
volume,limbose,0,2,1
americandreamer,king boolean,1,0,2
lunchables,windindi,0,2,0
ck,king boolean,0,2,0
volume,americandreamer,0,2,0
lunchables,limbose,0,2,0
windindi,king boolean,1,0,2
ck,volume,0,2,1
lunchables,king boolean,0,2,0
limbose,americandreamer,0,2,0
windindi,volume,1,0,2
lunchables,americandreamer,0,2,0
king boolean,volume,1,0,2
limbose,ck,1,0,2
lunchables,volume,0,2,0
americandreamer,ck,1,0,2
limbose,windindi,0,2,0
lunchables,ck,0,2,0
americandreamer,windindi,0,2,0
king boolean,limbose,1,0,2
darkgun,tx toast,0,2,0
rayzorium,nixon,0,2,0
km,nubpai,0,2,0
sosa,tx toast,0,2,0
darkgun,nubpai,0,2,0
rayzorium,km,0,2,0
sosa,nixon,0,2,0
tx toast,nubpai,0,2,0
darkgun,rayzorium,0,2,1
sosa,nubpai,0,2,0
nixon,km,0,2,1
tx toast,rayzorium,1,0,2
sosa,km,0,2,0
nubpai,rayzorium,1,0,2
nixon,darkgun,1,0,2
sosa,rayzorium,0,2,0
km,darkgun,1,1,2
nixon,tx toast,0,2,0
sosa,darkgun,0,2,0
km,tx toast,1,0,2
nubpai,nixon,1,0,2
nk,the raven,0,2,0
intern,rufio,0,2,0
demo,perfect light,1,-1,0
ipunchkidsz,the raven,0,2,0
nk,perfect light,0,2,0
intern,demo,0,0,-1
ipunchkidsz,rufio,0,2,0
the raven,perfect light,0,2,1
nk,intern,0,2,0
ipunchkidsz,perfect light,0,2,0
rufio,demo,0,0,-1
the raven,intern,1,0,2
ipunchkidsz,demo,0,0,-1
perfect light,intern,1,0,2
rufio,nk,1,0,2
ipunchkidsz,intern,0,2,0
demo,nk,1,-1,0
rufio,the raven,1,1,2
ipunchkidsz,nk,0,2,0
demo,the raven,1,-1,0
perfect light,rufio,1,1,2
axxo,scout,0,2,0
pappin,berry,0,2,0
magmios,law,0,2,0
strong bad,scout,0,2,0
axxo,law,0,2,0
pappin,magmios,0,2,0
strong bad,berry,0,2,0
scout,law,0,2,0
axxo,pappin,0,2,1
strong bad,law,0,2,0
berry,magmios,1,0,2
scout,pappin,1,0,2
strong bad,magmios,0,2,0
law,pappin,1,0,2
berry,axxo,1,0,2
strong bad,pappin,0,2,0
magmios,axxo,1,0,2
berry,scout,1,0,2
strong bad,axxo,0,2,1
magmios,scout,0,2,0
law,berry,1,0,2
vaerix,slugimus,0,2,0
goon,todayyz,1,1,2
stuffles,liaem,0,2,1
luck,slugimus,0,2,0
vaerix,liaem,0,2,0
goon,stuffles,0,2,0
luck,todayyz,0,2,1
slugimus,liaem,1,0,2
vaerix,goon,0,2,0
luck,liaem,0,2,0
todayyz,stuffles,0,2,0
slugimus,goon,1,0,2
luck,stuffles,0,2,0
liaem,goon,1,0,2
todayyz,vaerix,1,1,2
luck,goon,0,2,0
stuffles,vaerix,1,0,2
todayyz,slugimus,0,2,0
luck,vaerix,0,2,1
stuffles,slugimus,0,2,0
liaem,todayyz,1,0,2
fearless,pixel beat,0,2,0
yoloyoshi,fsck,0,2,0
bigdaddyhadee,cory,1,0,2
oracle,pixel beat,0,2,0
fearless,cory,0,2,0
yoloyoshi,bigdaddyhadee,0,2,0
oracle,fsck,0,2,0
pixel beat,cory,1,0,2
fearless,yoloyoshi,0,2,0
oracle,cory,0,2,0
fsck,bigdaddyhadee,0,2,0
pixel beat,yoloyoshi,1,0,2
oracle,bigdaddyhadee,0,2,0
cory,yoloyoshi,1,0,2
fsck,fearless,1,0,2
oracle,yoloyoshi,0,2,0
bigdaddyhadee,fearless,1,0,2
fsck,pixel beat,0,2,0
oracle,fearless,0,2,1
bigdaddyhadee,pixel beat,0,2,0
