name,finalPlacement
jisui,81
tx toast,65
pray,65
king boolean,65
jotty,65
cory,49
strong bad,13
miyo,33
rayzorium,33
pope,49
strawhat,25
boiko,3
jtk,65
edgeboy,33
pixel beat,97
limbose,49
akt,33
taro,49
guerrilla,49
stardust_wingman,81
demo,97
perfect light,81
nabz,33
berry,81
hard reid,9
adrenaline,65
vaerix,17
the raven,49
americandreamer,81
lucidity,33
gree,81
volume,33
law,97
pappin,33
lunchables,25
betch,13
cilan,81
fsck,65
phorcys,7
uncle mojo,17
armand,33
brother rob,17
snooklet,25
shokio,9
ecoli,97
dex!,49
todayyz,33
pil0t,97
scout,65
kingly,33
lucky,33
s2j,97
bigdaddyhadee,81
pyrrhus,65
shanic77,17
tw!nk,49
tr0y,17
stuffles,65
ipunchkidsz,9
jxera,33
oracle,5
gs fuzz,5
#rekt,81
arsenals,25
ck,17
windindi,97
aero,4
tapsody,17
brentos,65
tyler,81
sparkswordkirby,25
intern,33
jedijakethemystical,81
yoloyoshi,33
squeemos,49
cfh,81
bleh27,65
bc,49
luck,7
nubpai,97
rufio,65
nakedtree,33
jaywalker,25
spamus,65
pk wizkid,65
axxo,13
nk,17
jason waterfalls,9
anime,25
bestrin,49
the real marzbar,49
bombchu,81
nixon,49
magmios,49
slugimus,97
sosa,1
goon,49
ally,97
liaem,81
thunderzreign,2
ultimo,65
km,81
sena,81
darkgun,25
fearless,13
xariot,49
