name,finalPlacement
herrok,73
hylian reaper,73
tfu,169
2ddj,169
cogfist,97
maxy,25
shais young,49
schmav,145
tempestpeak,97
focus miss,121
fisheatcorn,33
zeppx,73
ezan,49
kenmak,49
dunch,49
trucker hat,33
munx,121
reb,73
craig,145
reek,97
trif,33
diabound,33
ningildo,49
capem,49
liberz,121
mickey blue,33
lolex,97
bjt,145
free stratos,169
mad4men,49
lalzu,145
theworst,49
pureevil,73
chef,169
aspens,169
tgbd,145
ship,121
zuluking,145
biss,121
mint,5
n0ne,9
jeapie,13
professor pro,1
chirou,49
winston churtrill,97
mbk,121
sweaty slowpoke,73
ducker,73
butler,97
gloaty,33
dan soup,97
slime,25
leaf,73
unhaven,97
timemuffinphd,7
viridian,73
geezaku,121
geobreaker,97
okameed,121
pilot,73
droblexero,121
dwhatever,121
sgt. snuggles,49
fourze,17
way,33
excal,33
infamousneon,145
bocaj,145
puff1n,169
enigma,169
smash_falco3,25
diamond zero,121
tomo,97
blaze,17
pancake,145
tophatpat,73
shuber!,145
yiivo,169
invkrmainr,33
crumpet,169
leck,73
meisterjäger77,49
gdrr,169
omadon,49
cypherzel,121
setchi,169
design out of shield,145
lela,97
supercat meow,25
yark,33
samplay,17
euo,145
jules,33
sluggard,17
xardov,73
dimes,145
redslasher,73
santieur52,121
toa,49
mahie,33
banbang,145
willz,13
picky,145
draz,97
loz,145
brog,145
suey,169
mr. toothbrush,73
paul,73
bmgz,145
epikfaal,17
doommasterofdoom,145
zephyr,97
monkeymut,97
galaxy heart,97
jbriz,121
hairybeast,97
rampage,121
ace,7
mikehaggarssbm,169
pjon,169
dom dunc,145
can~d,17
scribble,49
fawlty,121
wooneg,73
charby,9
kitanamonk,49
bullet bill,73
reaper,17
hoorayforjay,73
konati,73
20fu,169
toadee,145
hen,33
young thug is a legend,97
munki,97
*zen,3
alpha dash,9
dusk,169
ultimat3spaz,169
yomi,25
jeffz0r,73
kid anarkist,73
knullebibs,9
captain ireland,169
kazeol,49
levingy,25
steakhouse,13
prime,145
schwifty,145
kune,121
craft,121
chav,49
jtrig,97
monopenisguy,97
aiken,97
lord.ape.69,121
frenzy,17
timi,13
sonsofsparda,121
relinquished,5
ook!,73
l.k.,97
bat00t,97
eon,49
eoe,169
kyran,97
endofstory,121
soy,33
meamking,49
zee,121
miniboulet,49
beans,49
avatar jillian,169
acurutax,121
icysummers,169
aska,49
jim,33
sappy,169
glitch,49
rashattack,33
manon,73
jexal,25
zeruko,169
jomo,49
fuzzyness,4
bride,121
dp,169
[ngp]poilu,2
juice,145
amsah,25
