P1,P2,set winner,P1Score,P2Score
juushichi,blaze,0,0,-1
jjk,tard,0,2,0
rex,red,0,2,1
anther,blaze,0,0,-1
juushichi,red,0,2,1
jjk,rex,0,2,0
anther,tard,0,2,0
blaze,red,1,-1,0
juushichi,jjk,1,0,2
anther,red,0,2,0
tard,rex,1,0,2
blaze,jjk,1,-1,0
anther,rex,0,2,0
red,jjk,1,0,2
tard,juushichi,1,0,2
anther,jjk,0,2,1
rex,juushichi,1,0,2
tard,blaze,0,0,-1
anther,juushichi,0,2,0
rex,blaze,0,0,-1
red,tard,0,2,0
nickriddle,fathr,0,2,0
samn,alfastryke,0,2,0
gooz,sugar,0,2,1
dirtboy,fathr,0,2,0
nickriddle,sugar,0,2,0
samn,gooz,0,2,0
dirtboy,alfastryke,0,2,0
fathr,sugar,1,0,2
nickriddle,samn,1,0,2
dirtboy,sugar,0,2,0
alfastryke,gooz,1,1,2
fathr,samn,1,0,2
dirtboy,gooz,0,2,0
sugar,samn,1,0,2
alfastryke,nickriddle,1,0,2
dirtboy,samn,1,1,2
gooz,nickriddle,1,0,2
alfastryke,fathr,0,2,0
dirtboy,nickriddle,0,2,0
gooz,fathr,0,2,0
sugar,alfastryke,0,2,0
techboy,yuko_ray,0,0,-1
toph,jawsome,0,2,0
noj,deus ex jinora,0,2,0
morsecode762,yuko_ray,0,0,-1
techboy,deus ex jinora,0,2,0
toph,noj,0,2,1
morsecode762,jawsome,0,2,0
yuko_ray,deus ex jinora,1,-1,0
techboy,toph,0,2,0
morsecode762,deus ex jinora,0,2,0
jawsome,noj,0,2,1
yuko_ray,toph,1,-1,0
morsecode762,noj,0,2,1
deus ex jinora,toph,1,0,2
jawsome,techboy,1,0,2
morsecode762,toph,0,2,0
noj,techboy,1,0,2
jawsome,yuko_ray,0,0,-1
morsecode762,techboy,1,0,2
noj,yuko_ray,0,0,-1
deus ex jinora,jawsome,0,2,0
lucy,npv,1,-1,0
yono,hyro,0,2,0
zen,lonk,1,1,2
xyk,npv,0,2,0
lucy,lonk,1,1,2
yono,zen,0,2,1
xyk,hyro,0,2,0
npv,lonk,1,0,2
