name,finalPlacement
delta,33
vexis,33
npv,49
lordy,3
blitz,9
blaze,49
gooz,13
loe1,17
tavi,17
soulpech,13
lain,4
ellipsis,25
food,17
yono,13
yata,17
ally jr,41
lucy,33
frost,17
xyk,5
anther,1
reptoknight,41
daddy's kisses,49
red,33
rex,25
toph,25
noj,25
morsecode762,7
deus ex jinora,33
rayboyp,49
drill,41
solharath,17
carls493,9
yuko_ray,49
sugar,25
tard,41
solarflare,13
supadragonyoshi,17
loki,17
iyb aids,33
juushichi,25
eyeheartlovetap,7
railz,33
nickriddle,33
jjk,9
techboy,9
fathr,49
jawsome,41
dirtboy,2
zo9ine,41
zen,25
hyro,41
lonk,25
samn,5
alfastryke,41
