P1,P2,set winner,P1Score,P2Score
totes mcgoats,bush did harambe ,0,0,-1
dial up hamsters,totes mcgoats,0,-2,-2
tier list guardians,bu+cof,0,-2,-2
mid-level heroes,'detritus',0,-2,-2
ug,random crew dudes,0,-2,-2
welcome to florida,the straw hats,0,0,-1
fraud squad,westernmassfightclub,0,-2,-2
massachusetts rules,don't do that,0,0,-1
new hampshire,snow white and the 4 clever boyz,0,-2,-2
dial up hamsters,tier list guardians,0,-2,-2
mid-level heroes,ug,1,-2,-2
welcome to florida,fraud squad,0,-2,-2
massachusetts rules,new hampshire,0,-2,-2
dial up hamsters,ug,0,-2,-2
welcome to florida,massachusetts rules,0,-2,-2
dial up hamsters,welcome to florida,0,-2,-2
