Tournament,startDate,endDate,entrants
the-big-house-6,2016-10-07,2016-10-09,4
eclipse-2,2016-10-20,2016-10-22,8
ugc-smash-open,2016-12-02,2016-12-05,12
Genesis 4,g4,2017-01-20,2017-01-23,3
The Big House 6,the-big-house-6,2016-10-07,2016-10-09,4
The Big House 6,the-big-house-6,2016-10-07,2016-10-09,4
Shine 2016,shine-2016,2016-08-26,2016-08-28,17
The Big House 6,the-big-house-6,2016-10-07,2016-10-09,4
The Big House 6,the-big-house-6,2016-10-07,2016-10-09,4
Shine 2016,shine-2016,2016-08-26,2016-08-28,17
the-big-house-6,2016-10-07,2016-10-09,4
mm6,2017-01-07,2017-01-08,0
eclipse-2,2016-10-20,2016-10-22,8
ugc-smash-open,2016-12-02,2016-12-05,12
the-big-house-6,2016-10-07,2016-10-09,4
g4,2017-01-20,2017-01-23,3
2ggt-zero-saga,2016-12-16,2016-12-19,6
mm6,2017-01-07,2017-01-08,0
eclipse-2,2016-10-20,2016-10-22,8
2ggt-zero-saga,2016-12-16,2016-12-19,2
ugc-smash-open,2016-12-02,2016-12-05,12
the-big-house-6,2016-10-07,2016-10-09,4
mm6,2017-01-07,2017-01-08,0
eclipse-2,2016-10-20,2016-10-22,8
2ggt-zero-saga,2016-12-16,2016-12-19,2
ugc-smash-open,2016-12-02,2016-12-05,12
the-big-house-6,2016-10-07,2016-10-09,4
mm6,2017-01-07,2017-01-08,0
eclipse-2,2016-10-20,2016-10-22,8
2ggt-zero-saga,2016-12-16,2016-12-19,2
ugc-smash-open,2016-12-02,2016-12-05,12
the-big-house-6,2016-10-07,2016-10-09,4
mm6,2017-01-07,2017-01-08,0
mm6,2017-01-07,2017-01-08,0
