T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
gc|wizard,mightyman,tempo,captain andrew,1,0,2
flo,nova!,psiguy,venuz,1,1,2
wes,neotokyo,dallin,slip,1,-1,0
mace,taka,sean_bot,brutus,0,2,0
cedgehog,spakfuls,boundy,mrbundles,0,2,0
twerkmastr,ez,arkistor,cringe,0,2,1
bane,luck7,fj20,badman,1,1,2
komorikiri,mkleo,tempo,captain andrew,0,2,0
sabzi,willyo,razo,supersega,1,-1,0
stroder,saiki,psiguy,venuz,0,2,0
teb,prodigy,dallin,slip,0,2,0
6wx,dath,mace,taka,0,2,0
dynamo,eon,cedgehog,spakfuls,0,2,0
tyrant,k9sbruce,twerkmastr,ez,0,2,0
jingen,ic,fj20,badman,0,2,0
komorikiri,mkleo,razo,supersega,0,2,0
stroder,saiki,teb,prodigy,0,2,0
6wx,dath,dynamo,eon,1,0,2
tyrant,k9sbruce,jingen,ic,1,1,2
komorikiri,mkleo,stroder,saiki,0,2,0
dynamo,eon,jingen,ic,0,2,1
komorikiri,mkleo,dynamo,eon,0,2,0
fj20,badman,gc|wizard,mightyman,0,2,0
cedgehog,spakfuls,flo,nova!,0,2,0
mace,taka,wes,neotokyo,0,0,-1
dallin,slip,sean_bot,brutus,1,1,2
psiguy,venuz,boundy,mrbundles,0,2,0
sabzi,willyo,arkistor,cringe,1,-1,0
tempo,captain andrew,bane,luck7,1,0,2
fj20,badman,twerkmastr,ez,1,0,2
cedgehog,spakfuls,mace,taka,0,2,1
sean_bot,brutus,psiguy,venuz,1,0,2
arkistor,cringe,bane,luck7,1,0,2
teb,prodigy,twerkmastr,ez,1,0,2
razo,supersega,cedgehog,spakfuls,0,2,0
tyrant,k9sbruce,psiguy,venuz,0,2,0
6wx,dath,bane,luck7,0,2,1
twerkmastr,ez,razo,supersega,0,2,1
tyrant,k9sbruce,6wx,dath,0,2,1
jingen,ic,twerkmastr,ez,0,2,0
stroder,saiki,tyrant,k9sbruce,0,2,1
jingen,ic,stroder,saiki,0,2,0
dynamo,eon,jingen,ic,0,-2,-2
toasty,hpazu,deltafox,marthboy,1,-1,0
hb2,fa,lolo,roc,0,2,0
@theerealmonkey,jedi,rmoneysmash,neroja,0,2,0
flandre64,joeybeta,t.flash,mr. jay jay,0,2,0
sd_god,kanye,keplar,kuroid,0,2,1
skylar,remie,firedemon,neku,0,2,1
recon,blastforcat,vinnieaz,sbs,1,1,2
zero,tweek,deltafox,marthboy,0,2,0
charger,oki,finalboss,zan the man,0,2,0
rice,zan,hb2,fa,0,2,0
tltc,stark,@theerealmonkey,jedi,0,2,0
pink fresh,fatality,flandre64,joeybeta,0,2,0
hexfactor,vicegrip,sd_god,kanye,0,2,0
jk,imhip,skylar,remie,0,2,0
slither2hunter,kingyoshi,vinnieaz,sbs,0,2,0
zero,tweek,charger,oki,0,2,0
rice,zan,tltc,stark,0,2,0
pink fresh,fatality,hexfactor,vicegrip,0,2,0
jk,imhip,slither2hunter,kingyoshi,0,2,0
zero,tweek,rice,zan,0,2,0
pink fresh,fatality,jk,imhip,1,1,2
zero,tweek,jk,imhip,0,2,1
vinnieaz,sbs,toasty,hpazu,0,2,0
sd_god,kanye,lolo,roc,0,2,0
flandre64,joeybeta,rmoneysmash,neroja,0,2,0
@theerealmonkey,jedi,t.flash,mr. jay jay,0,2,0
hb2,fa,keplar,kuroid,1,0,2
finalboss,zan the man,firedemon,neku,0,2,0
deltafox,marthboy,recon,blastforcat,1,0,2
vinnieaz,sbs,skylar,remie,0,2,1
sd_god,kanye,flandre64,joeybeta,0,2,0
@theerealmonkey,jedi,keplar,kuroid,0,2,0
finalboss,zan the man,recon,blastforcat,0,2,1
tltc,stark,vinnieaz,sbs,0,2,1
charger,oki,sd_god,kanye,0,2,1
slither2hunter,kingyoshi,@theerealmonkey,jedi,0,2,0
hexfactor,vicegrip,finalboss,zan the man,1,1,2
tltc,stark,charger,oki,0,2,0
slither2hunter,kingyoshi,finalboss,zan the man,1,0,2
