T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
samn,the brometheus,k@s,sirhunk,1,0,2
jb23,robelious,myk,bacon,1,-1,0
zoan,richie business,petemctee,griffin,0,2,0
debbilypoo,mikeybear,letsgojungleking,shotz,1,0,2
bigo60,fuqnut,provokedseven,bonerstorm,1,0,2
partytimeaustin,freesk,kid prodigy,agni,1,0,2
blankey,iggimus,delibird,blazikus,1,0,2
swoosh,godtouch,awwtiz'em,citruslord,0,2,1
gentle ralts,ghost,spaceman,melbo,1,0,2
abso,seven,replay,cafe,1,0,2
void,mew2king,k@s,sirhunk,0,2,0
marthio12a,duckfro,buckstrom,nandos,0,2,0
tripod | triad_prodigy,coolin,pika,pochilin,0,2,0
hot kaarl,elmustachio,buzz,swanson,1,1,2
mr.e,adhd,myk,bacon,0,2,0
enters,g-off,terrorshard,plokmok,1,0,2
craftis,burst,zoan,richie business,0,2,1
knotxaklyrite,frogman,cpt jack house,zink,1,0,2
supergirlkels,crazylittlejay,letsgojungleking,shotz,0,2,0
gubb,twane,vibrants,shyguy,1,1,2
summerhays,blazingpasta,blazerkirby,k i r,0,2,0
doraz,garb,vaar,cheezyb,1,-1,0
c3po,6wx,provokedseven,bonerstorm,0,2,0
greetest,never,click,naga,1,0,2
bc luck,biddy,kamisado,avium,0,2,0
nervous,steele,masterd,nightmare,1,1,2
pugwest,marss,kid prodigy,agni,0,2,0
megaxovr,drelcario,destroyer,dreager1,1,0,2
dz,cyberman65,x,fredrrs,0,2,1
mono,code: e,noel,papabear,1,1,2
lag chaos,tokyo,delibird,blazikus,1,1,2
gale,ditto,yeah~ok,gonzilla,1,0,2
dio,raptor,swoosh,godtouch,0,2,0
dr. b,crispy will,treebone,ice,0,2,1
nietono,umeki,spaceman,melbo,0,2,0
dre,jazz,pokey,reklaw,1,0,2
grey,arch,anyone,spam adams,0,2,0
wolfwarrior345,v0s,her0,beast,1,0,2
day,james,replay,cafe,1,-1,0
vinsane,vivid,navii,madluk,0,2,0
prof3ssormgw,bang,redeemer z,vash,1,0,2
bryce,gt pulse,naga's voice,noe3,1,0,2
void,mew2king,marthio12a,duckfro,0,2,0
tripod | triad_prodigy,coolin,buzz,swanson,0,2,0
mr.e,adhd,terrorshard,plokmok,0,2,0
craftis,burst,cpt jack house,zink,0,2,0
supergirlkels,crazylittlejay,vibrants,shyguy,0,2,0
summerhays,blazingpasta,vaar,cheezyb,0,0,-1
c3po,6wx,click,naga,0,2,0
bc luck,biddy,masterd,nightmare,0,2,0
pugwest,marss,destroyer,dreager1,0,2,0
dz,cyberman65,noel,papabear,0,2,1
delibird,blazikus,yeah~ok,gonzilla,1,0,2
dio,raptor,dr. b,crispy will,0,2,0
nietono,umeki,pokey,reklaw,0,2,0
grey,arch,her0,beast,0,2,0
replay,cafe,vinsane,vivid,1,0,2
redeemer z,vash,naga's voice,noe3,1,1,2
void,mew2king,tripod | triad_prodigy,coolin,0,2,0
mr.e,adhd,craftis,burst,0,2,1
supergirlkels,crazylittlejay,summerhays,blazingpasta,0,2,0
c3po,6wx,bc luck,biddy,1,0,2
pugwest,marss,dz,cyberman65,0,2,0
yeah~ok,gonzilla,dio,raptor,1,0,2
nietono,umeki,grey,arch,0,2,0
vinsane,vivid,naga's voice,noe3,1,1,2
void,mew2king,mr.e,adhd,1,1,2
supergirlkels,crazylittlejay,bc luck,biddy,1,0,2
pugwest,marss,dio,raptor,1,1,2
nietono,umeki,naga's voice,noe3,0,2,0
mr.e,adhd,bc luck,biddy,0,3,1
dio,raptor,nietono,umeki,1,1,3
mr.e,adhd,nietono,umeki,1,2,3
nietono,umeki,void,mew2king,1,1,3
void,mew2king,nietono,umeki,1,2,3
bryce,gt pulse,samn,the brometheus,0,2,0
wolfwarrior345,v0s,jb23,robelious,0,0,-1
dre,jazz,petemctee,griffin,1,0,2
treebone,ice,debbilypoo,mikeybear,0,2,0
mono,code: e,bigo60,fuqnut,0,2,0
nervous,steele,partytimeaustin,freesk,0,2,0
doraz,garb,blankey,iggimus,1,-1,0
gubb,twane,awwtiz'em,citruslord,0,2,0
knotxaklyrite,frogman,gentle ralts,ghost,0,2,0
hot kaarl,elmustachio,abso,seven,0,2,0
bryce,gt pulse,prof3ssormgw,bang,0,2,0
navii,madluk,day,james,0,0,-1
wolfwarrior345,v0s,anyone,spam adams,1,-1,0
petemctee,griffin,spaceman,melbo,0,2,0
treebone,ice,swoosh,godtouch,1,1,2
gale,ditto,lag chaos,tokyo,1,0,2
mono,code: e,x,fredrrs,0,2,0
megaxovr,drelcario,kid prodigy,agni,1,0,2
nervous,steele,kamisado,avium,1,1,2
greetest,never,provokedseven,bonerstorm,0,2,0
blankey,iggimus,blazerkirby,k i r,1,0,2
gubb,twane,letsgojungleking,shotz,0,2,0
knotxaklyrite,frogman,zoan,richie business,1,0,2
enters,g-off,myk,bacon,0,2,0
hot kaarl,elmustachio,pika,pochilin,0,2,0
buckstrom,nandos,k@s,sirhunk,1,0,2
masterd,nightmare,bryce,gt pulse,1,0,2
click,naga,navii,madluk,0,2,0
vaar,cheezyb,anyone,spam adams,1,-1,0
vibrants,shyguy,petemctee,griffin,1,0,2
cpt jack house,zink,swoosh,godtouch,1,1,2
terrorshard,plokmok,lag chaos,tokyo,1,1,2
buzz,swanson,mono,code: e,0,2,1
marthio12a,duckfro,kid prodigy,agni,0,2,1
redeemer z,vash,kamisado,avium,0,2,0
replay,cafe,greetest,never,1,0,2
her0,beast,blazerkirby,k i r,1,0,2
pokey,reklaw,gubb,twane,1,0,2
dr. b,crispy will,zoan,richie business,1,0,2
delibird,blazikus,enters,g-off,0,2,0
noel,papabear,hot kaarl,elmustachio,0,2,1
destroyer,dreager1,k@s,sirhunk,0,2,0
bryce,gt pulse,click,naga,1,1,2
anyone,spam adams,petemctee,griffin,1,0,2
swoosh,godtouch,lag chaos,tokyo,1,0,2
buzz,swanson,marthio12a,duckfro,1,0,2
redeemer z,vash,greetest,never,0,2,0
blazerkirby,k i r,gubb,twane,0,2,0
zoan,richie business,delibird,blazikus,0,2,0
noel,papabear,destroyer,dreager1,1,0,2
dz,cyberman65,click,naga,0,2,0
yeah~ok,gonzilla,petemctee,griffin,0,2,0
grey,arch,lag chaos,tokyo,1,0,2
vinsane,vivid,marthio12a,duckfro,0,2,1
tripod | triad_prodigy,coolin,redeemer z,vash,1,1,2
craftis,burst,blazerkirby,k i r,1,0,2
summerhays,blazingpasta,zoan,richie business,1,0,2
c3po,6wx,destroyer,dreager1,0,2,0
dz,cyberman65,yeah~ok,gonzilla,1,1,2
lag chaos,tokyo,vinsane,vivid,0,2,0
redeemer z,vash,blazerkirby,k i r,1,0,2
zoan,richie business,c3po,6wx,1,0,2
void,mew2king,yeah~ok,gonzilla,0,2,0
supergirlkels,crazylittlejay,lag chaos,tokyo,1,0,2
pugwest,marss,blazerkirby,k i r,0,2,0
naga's voice,noe3,c3po,6wx,0,2,1
void,mew2king,lag chaos,tokyo,0,3,0
pugwest,marss,naga's voice,noe3,0,3,0
dio,raptor,void,mew2king,1,1,3
bc luck,biddy,pugwest,marss,1,0,3
void,mew2king,pugwest,marss,0,3,1
mr.e,adhd,void,mew2king,1,0,3
