T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
eddy,light,gorull,whidah,0,2,0
yoren,scarhi,ander,pilot,0,2,0
hazemoky,lian,ho,g~p,1,0,2
forre,jebu,calmaty,lackluster,0,2,0
adom,silentgodot,ayoub,lavlis,1,0,2
eddy,light,ander,pilot,0,2,0
gorull,whidah,ho,g~p,1,0,2
yoren,scarhi,calmaty,lackluster,0,2,0
hazemoky,lian,ayoub,lavlis,1,1,2
forre,jebu,adom,silentgodot,0,2,0
eddy,light,ho,g~p,0,2,0
ander,pilot,calmaty,lackluster,0,2,1
gorull,whidah,ayoub,lavlis,1,0,2
yoren,scarhi,adom,silentgodot,0,2,0
hazemoky,lian,forre,jebu,0,2,0
eddy,light,calmaty,lackluster,0,2,0
ho,g~p,ayoub,lavlis,0,2,0
ander,pilot,adom,silentgodot,1,0,2
gorull,whidah,forre,jebu,1,0,2
yoren,scarhi,hazemoky,lian,1,1,2
eddy,light,ayoub,lavlis,0,2,0
calmaty,lackluster,adom,silentgodot,1,0,2
ho,g~p,forre,jebu,0,2,1
ander,pilot,hazemoky,lian,1,0,2
gorull,whidah,yoren,scarhi,1,0,2
eddy,light,adom,silentgodot,0,2,0
ayoub,lavlis,forre,jebu,0,2,0
calmaty,lackluster,hazemoky,lian,1,0,2
ho,g~p,yoren,scarhi,1,0,2
ander,pilot,gorull,whidah,0,2,0
eddy,light,forre,jebu,0,2,0
adom,silentgodot,hazemoky,lian,1,0,2
ayoub,lavlis,yoren,scarhi,1,0,2
calmaty,lackluster,gorull,whidah,0,2,0
ho,g~p,ander,pilot,0,2,0
eddy,light,hazemoky,lian,0,2,0
forre,jebu,yoren,scarhi,1,0,2
adom,silentgodot,gorull,whidah,0,2,0
ayoub,lavlis,ander,pilot,0,2,0
calmaty,lackluster,ho,g~p,1,0,2
eddy,light,yoren,scarhi,0,2,0
hazemoky,lian,gorull,whidah,0,2,0
forre,jebu,ander,pilot,0,2,0
adom,silentgodot,ho,g~p,1,0,2
ayoub,lavlis,calmaty,lackluster,0,2,0
el_bardo,robo~luigi,poli,oak,0,2,0
loota,heru-d4-k1ng,b~little,air,0,2,0
dune,skippo,hjältman,c-h,0,2,0
ansou,9volt,yee,flamjam,1,0,2
kanaribird,jibbmil,lordofrocks,saigono,0,-2,-2
mvd,esam,poli,oak,0,2,0
el_bardo,robo~luigi,hjältman,c-h,0,2,0
loota,heru-d4-k1ng,yee,flamjam,0,2,0
dune,skippo,lordofrocks,saigono,0,-2,-2
ansou,9volt,kanaribird,jibbmil,1,0,2
mvd,esam,b~little,air,0,2,0
poli,oak,hjältman,c-h,0,2,0
el_bardo,robo~luigi,lordofrocks,saigono,0,-2,-2
loota,heru-d4-k1ng,kanaribird,jibbmil,0,2,0
dune,skippo,ansou,9volt,0,2,0
mvd,esam,hjältman,c-h,0,2,0
b~little,air,yee,flamjam,0,2,1
poli,oak,lordofrocks,saigono,0,-2,-2
el_bardo,robo~luigi,ansou,9volt,0,2,0
loota,heru-d4-k1ng,dune,skippo,0,2,0
mvd,esam,yee,flamjam,0,2,0
hjältman,c-h,lordofrocks,saigono,0,-2,-2
b~little,air,kanaribird,jibbmil,1,0,2
poli,oak,ansou,9volt,0,2,1
el_bardo,robo~luigi,loota,heru-d4-k1ng,0,2,0
mvd,esam,lordofrocks,saigono,0,-2,-2
yee,flamjam,kanaribird,jibbmil,1,1,2
hjältman,c-h,ansou,9volt,0,2,1
b~little,air,dune,skippo,1,0,2
poli,oak,loota,heru-d4-k1ng,1,1,2
mvd,esam,kanaribird,jibbmil,0,2,0
lordofrocks,saigono,ansou,9volt,0,-2,-2
yee,flamjam,dune,skippo,1,0,2
hjältman,c-h,loota,heru-d4-k1ng,1,0,2
b~little,air,el_bardo,robo~luigi,1,0,2
mvd,esam,ansou,9volt,0,2,0
kanaribird,jibbmil,dune,skippo,1,0,2
lordofrocks,saigono,loota,heru-d4-k1ng,0,-2,-2
yee,flamjam,el_bardo,robo~luigi,1,0,2
b~little,air,poli,oak,1,0,2
mvd,esam,dune,skippo,0,2,0
ansou,9volt,loota,heru-d4-k1ng,1,1,2
kanaribird,jibbmil,el_bardo,robo~luigi,1,0,2
yee,flamjam,poli,oak,1,0,2
hjältman,c-h,b~little,air,0,2,1
mvd,esam,loota,heru-d4-k1ng,0,2,0
dune,skippo,el_bardo,robo~luigi,1,0,2
kanaribird,jibbmil,poli,oak,1,0,2
lordofrocks,saigono,b~little,air,0,-2,-2
yee,flamjam,hjältman,c-h,0,2,0
mvd,esam,el_bardo,robo~luigi,0,2,0
dune,skippo,poli,oak,0,2,0
ansou,9volt,b~little,air,0,2,1
kanaribird,jibbmil,hjältman,c-h,0,2,1
lordofrocks,saigono,yee,flamjam,0,-2,-2
luigi player,vyq,buspappan,knug,0,2,0
paoz,enki,bowie,silentdoom,0,2,0
deo,alias,whiny,logisticuz,0,2,0
boomuki,cyfersquad,gijsbeer,nesstea,0,2,0
duffcity,shadowclaw,karvaperse666,rush,0,2,0
luigi player,vyq,bowie,silentdoom,0,2,0
buspappan,knug,whiny,logisticuz,0,2,0
paoz,enki,gijsbeer,nesstea,0,2,0
deo,alias,karvaperse666,rush,0,2,0
boomuki,cyfersquad,duffcity,shadowclaw,0,2,0
luigi player,vyq,whiny,logisticuz,0,2,0
bowie,silentdoom,gijsbeer,nesstea,1,0,2
buspappan,knug,karvaperse666,rush,0,2,0
paoz,enki,duffcity,shadowclaw,0,2,0
deo,alias,boomuki,cyfersquad,1,1,2
