p1,p2,finalPlacement
level 3kwelts,49
iceninjapoke,5
supercoolieboidj daaku,33
synthesisvivanilla,33
deenuggetmrbawkbagawk,49
br1nktgastt,33
rewindshellderp,33
big blewturtleclub,33
dezmuninjalink,13
qsb_stitchesmaritlage227,9
blackplague,25
allymew2king,2
alphicanschrim foish,13
jakattantaco,17
bluemansoul hazard,13
greasyworklightwork,33
kuraudokilllock,9
lem0ndevastater,33
flashfreed00m,33
deathorsesirbeebee,7
doctorkayhaxebee,33
frupcakeskryptonian,25
crimsonnangelo,17
exxionmoop,17
fwedz,5
oathboat,33
tdobjenkins,33
louloucoreqsb_fatty,33
v115[t.t.d] blacktwins13,3
bashmo_4young metro,33
dryesmanomega cookie,25
witeouteb-millz,25
the drizzlegiglfoosm,25
nurseblanc,13
baddydandreamm,17
stewiegamingbelakxvibe,25
melmulimulms,17
pikapika!san,7
falgodshadow,9
butterlorddeity,33
kevin wongmichael krysz,17
javimkleo,1
unknownzekkenzk,33
atlasyonks,17
nanabadeku,25
phillycheezeafrodesiak,17
raijiniliad,33
pasofruitypotato,33
dunstondarkaura,4
gainsblitz,9
