T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
jbrockpony,missing,epicnights,sozetta,0,2,0
thunderchunkie,tarchwood,forte,ewok41,1,0,2
ventus gladio,lamp,jkid,tm87,1,0,2
lukoss,formidable,black_dynowright,mijo fuego,1,1,2
~muteace~,blank,flea,loco,0,0,-1
luke kb,peter kb,sells,xiivi,1,0,2
gx2,roguepenguin,chocojoe,kaishin,0,2,1
anti,larry lurr,jbrockpony,missing,0,2,0
sl dragon,rollo,martin.dtd,rjlg,0,2,0
noble|sol,thereflexwonder,forte,ewok41,1,-1,0
mav,colinies,jkid,tm87,0,2,0
abadango,rain,black_dynowright,mijo fuego,0,2,0
seabass,smashkid,~muteace~,blank,1,0,2
pink fresh,remzi,sells,xiivi,0,2,0
8bitman,port,gx2,roguepenguin,0,2,1
anti,larry lurr,sl dragon,rollo,0,2,0
forte,ewok41,mav,colinies,1,0,2
abadango,rain,~muteace~,blank,0,2,0
pink fresh,remzi,8bitman,port,1,0,2
anti,larry lurr,mav,colinies,0,2,0
abadango,rain,8bitman,port,0,2,0
anti,larry lurr,abadango,rain,0,2,0
anti,larry lurr,pink fresh,remzi,0,-2,-2
gx2,roguepenguin,epicnights,sozetta,0,2,0
seabass,smashkid,thunderchunkie,tarchwood,0,2,0
black_dynowright,mijo fuego,ventus gladio,lamp,0,2,0
jkid,tm87,lukoss,formidable,0,2,0
noble|sol,thereflexwonder,flea,loco,1,-1,0
martin.dtd,rjlg,luke kb,peter kb,1,0,2
jbrockpony,missing,chocojoe,kaishin,1,0,2
gx2,roguepenguin,sells,xiivi,0,2,0
seabass,smashkid,black_dynowright,mijo fuego,1,0,2
jkid,tm87,flea,loco,0,0,-1
luke kb,peter kb,chocojoe,kaishin,1,0,2
forte,ewok41,gx2,roguepenguin,1,0,2
sl dragon,rollo,black_dynowright,mijo fuego,1,0,2
pink fresh,remzi,jkid,tm87,0,2,0
~muteace~,blank,chocojoe,kaishin,0,2,0
gx2,roguepenguin,black_dynowright,mijo fuego,0,2,0
pink fresh,remzi,~muteace~,blank,0,2,1
8bitman,port,gx2,roguepenguin,0,2,1
mav,colinies,pink fresh,remzi,1,0,2
8bitman,port,pink fresh,remzi,1,1,2
abadango,rain,pink fresh,remzi,1,0,2
meleemaster6,tigereye,mamster-p,3fresh lade,1,-2,-2
torametsu,ryubushi,strobics,d2da,1,-2,-2
josh,poet,blockoopa,brawlerclaws67,0,-2,-2
shiroiharu,blitzking,nandez,gordong,0,-2,-2
radda radda,burt,puv,blakexd9,1,-2,-2
rob,koleslaw,rstevoa,fuzyll,0,-2,-2
cagt,tastysquirrel,larfleeze,dalvin,1,-2,-2
tweek,mr.r,mamster-p,3fresh lade,0,-2,-2
dyr,melo,kai,deafstar,0,-2,-2
fatality,limbs,strobics,d2da,0,-2,-2
cherubiknight,ryo,josh,poet,0,-2,-2
esam,mvd,shiroiharu,blitzking,0,-2,-2
direonfire,rafa,puv,blakexd9,0,-2,-2
k9sbruce,angbad,rob,koleslaw,0,-2,-2
jester,brawlman1000,larfleeze,dalvin,0,-2,-2
tweek,mr.r,dyr,melo,0,-2,-2
fatality,limbs,cherubiknight,ryo,0,-2,-2
esam,mvd,direonfire,rafa,0,-2,-2
k9sbruce,angbad,jester,brawlman1000,1,-2,-2
tweek,mr.r,fatality,limbs,0,-2,-2
esam,mvd,jester,brawlman1000,0,-2,-2
tweek,mr.r,esam,mvd,0,-2,-2
tweek,mr.r,esam,mvd,0,-2,-2
larfleeze,dalvin,meleemaster6,tigereye,0,-2,-2
puv,blakexd9,torametsu,ryubushi,0,-2,-2
shiroiharu,blitzking,blockoopa,brawlerclaws67,0,-2,-2
josh,poet,nandez,gordong,0,-2,-2
strobics,d2da,radda radda,burt,0,-2,-2
kai,deafstar,rstevoa,fuzyll,0,-2,-2
mamster-p,3fresh lade,cagt,tastysquirrel,0,-2,-2
larfleeze,dalvin,rob,koleslaw,0,-2,-2
puv,blakexd9,shiroiharu,blitzking,1,-2,-2
