p1,p2,finalPlacement
platomaker,harmonix,97
rent,blazehawk,49
tohfoo,scourge,65
shiroiharu,blitzking,65
firenze,t-rekt,65
minimax,mito,97
professor oats,lordfrieza,49
seagull joe,c3po,25
el chapo,quesalupa,129
luke kb,peter kb,97
8,cpu-10,65
sells,xiivi,97
kai,deafstar,97
taku,cj,97
pikpocket,electron,97
umeki,nietono,9
falln,tltc,25
cagt,tastysquirrel,129
rigatoni robin,tortellini tyler,129
zesty_lemons,combust,129
z,vash,13
martin.dtd,rjlg,129
sgtmonkey,captain clutch,97
splurf,somnium,129
jtdynasty,wheresthepepperoni,129
icearrow,adam grakowsky,65
saj,craziecuban,49
cap,redsuneternal,129
mystic,senasupreme,129
afmbot,fil,65
jrrd,star99,97
finalhero,digital gator,97
mask,the pouch,97
tantalus,zephyr,33
tony,yucas,49
raziek,player-3,33
chocojoe,kaishin,65
carmine,hflash,129
shel,kphadley,33
dabuz,hyuga,7
hawlu,viv,129
day,all might,17
arhungry,snakeee,33
zurak,kazu,49
kidg,myran,49
strobics,d2da,33
scatt,neos,17
xaltis,dj jack,17
zectron,dadlegs,97
leo,diabeo,97
black_dynowright,mijo fuego,49
harlock,biglou,25
hiro,wispbae,129
lupasan,shadow behemoth,129
mew2king,ally,1
nieto,pazuzu,65
acid,logic,33
bigvic340,jon carr,129
fatality,limbs,25
kino,snorley,65
6wx,karna,33
domin0,aeryn,97
meleemaster6,tigereye,129
imreddy,timeforcheese,97
doc!!,senketsu,65
nickriddle,seibrik,33
risu,bunmira,129
leo heart,poltergust,129
shaky,mjg,129
esam,mvd,13
dad,krios,129
jjrockets,starbasedfruit,9
jak,j12,17
gretch,tpcool,129
seren,kamikaze,65
sizzler,screamopichu,97
ace,cd,65
cherubiknight,ryo,33
philshoes,pablo,129
dogcopter,luxxy,129
shinigami,vatra,97
abadango,rain,17
chez,d_b_s,33
nandez,gordong,129
flea,loco,97
my oso,magna troglodytarum,129
rstevoa,fuzyll,129
ventus gladio,lamp,129
k9sbruce,angbad,65
direonfire,rafa,65
nexas,jmgata,129
pink fresh,remzi,13
dan,santy,129
sithpunk,sensei,129
jbrockpony,missing,129
pianoman,packachu,65
marss,pugwest,5
forte,ewok41,65
trump,purple guy,65
blockoopa,brawlerclaws67,129
8bitman,port,25
larfleeze,dalvin,65
meowmix,yld,65
rango,jda7,49
master brawler,chaoslink,97
mr.e,dkwill,9
anti,larry lurr,2
mante,j dot,129
morendo,salty boi johns,97
rich brown,day,33
mb,jr,65
jester,brawlman1000,17
virgman,ookami,65
radda radda,burt,129
babycakes,bulacaflocka,129
rob,koleslaw,97
cerogero,cass,97
dekillsage,deven3000,33
jkid,tm87,65
vinnie,trela,5
miloni,king james,25
j-breeze,sect,49
eking,xeon,17
epicnights,sozetta,129
dyr,melo,49
tonyfinale,torchtobin,129
warhound,fox,129
void,nakat,13
richgang,pk kid,97
mamster-p,3fresh lade,49
turtles,pudd,49
czechm8,pthas,65
sl dragon,rollo,65
phddzgt,exia,129
kirito,jntabeast,65
samsora,captainzack,25
mekos,waldo,129
logarithm,srd_javi,97
gadiel,real ice,33
mray,mightgalo,65
doritocrumbman,wal,129
zenyou,jtails,9
torametsu,ryubushi,129
true blue,dath,17
vioridio,booteking,129
athena21,neon ness,129
tachyon,ross,33
goon,tremendo dude,65
louisoneal,doomanator12321,129
kalimboy,osama bill cosby,97
mav,colinies,33
lingling,s@nt,49
questy,sonic guy,97
child,vikkikitty,65
sporkslinger,vindictator,129
clyde,ktdominate,129
thunderchunkie,tarchwood,129
rfang,eldin,49
zero,nairo,3
ksev,zinoto,7
loony2unes,pickler,129
dewdadash,chudat,49
tkoverkill,dreddboy,129
danstrife,zen,97
bruh,hyperlink,65
xmas,zeta,65
puv,blakexd9,97
phyence,kirbyrocket,129
josh,poet,97
zae26,yuki,97
dkayy,softbleach,65
gx2,roguepenguin,33
e,vitamin,129
rocket,i,97
seabass,smashkid,97
mint,mcdareth,65
smoof,emmgee,129
eden,wormynugget,25
tweek,mr.r,4
lukoss,formidable,129
the forkies,sc,j.t.c.,129
~muteace~,blank,49
sol,thereflexwonder,129
