T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
chavo,burnside,m-10,bro-nitus,0,2,0
lilpac,jutsu,strobe,queso,0,2,0
paw,ninjafish,grizz,chriscross,0,2,0
mugen,batman,damitchase,komon,0,2,0
lilnest,tipy,beastly,kaiba,0,2,1
diago,_cano_,co-op,sc,j.t.c.,0,2,0
solace,avoid,maximiliano,legion,0,2,0
manxy,c.o.d,ryuk,joho,0,2,0
guy,daffle,handyymann,raygun,0,2,0
rosac,oscarm,sirdunx,sdoc,0,2,0
captainkrook,u.r.k,lawrayliet,lyonart,1,0,2
thisguy,ld,mizu,chozo,0,2,0
darefive,j-boss,dirty wizard,bird,1,1,2
the forkies,banana,beatle,zee,0,2,0
4skin,zensei,puresteelgaming,hydra,0,2,0
kuro,prolixus,meep,s3rge,0,2,0
weegee,el yoshi,nebz,phantomb0b,0,2,0
arma,nicole,isaac,passion,0,2,0
sug red7,jar14,ntg,mr. destructo,0,2,0
nikeraptor,snax,cobalt,megapatches,0,2,0
mew2king,ally,chavo,burnside,0,2,0
lilpac,jutsu,paw,ninjafish,1,1,2
gnes,dj fliphop,mugen,batman,0,2,0
bc,slaps,lilnest,tipy,1,0,2
fatality,trevonte,diago,_cano_,0,2,0
solace,avoid,manxy,c.o.d,0,2,0
lordmix,captainzack,guy,daffle,0,2,0
cyanide,king lucy iv,rosac,oscarm,0,2,0
abadango,samsora,lawrayliet,lyonart,0,2,0
thisguy,ld,dirty wizard,bird,0,2,1
whispy,6wx,the forkies,banana,0,2,0
jerm,espy,4skin,zensei,0,2,0
scatt,thereflexwonder,kuro,prolixus,0,2,0
weegee,el yoshi,arma,nicole,0,2,0
megafox,grimturtle,sug red7,jar14,0,2,0
illusion,p2p with gibus,nikeraptor,snax,0,2,0
mew2king,ally,paw,ninjafish,0,2,0
gnes,dj fliphop,lilnest,tipy,0,2,0
fatality,trevonte,solace,avoid,0,2,0
lordmix,captainzack,cyanide,king lucy iv,0,2,0
abadango,samsora,thisguy,ld,0,2,0
whispy,6wx,jerm,espy,0,2,0
scatt,thereflexwonder,weegee,el yoshi,1,1,2
megafox,grimturtle,illusion,p2p with gibus,0,2,0
mew2king,ally,gnes,dj fliphop,0,2,0
fatality,trevonte,lordmix,captainzack,0,2,1
abadango,samsora,whispy,6wx,1,1,2
weegee,el yoshi,megafox,grimturtle,1,0,2
mew2king,ally,fatality,trevonte,0,3,0
whispy,6wx,megafox,grimturtle,1,0,3
mew2king,ally,megafox,grimturtle,0,3,0
mew2king,ally,lordmix,captainzack,0,-2,-2
strobe,queso,grizz,chriscross,1,0,2
maximiliano,legion,ryuk,joho,0,2,0
mizu,chozo,darefive,j-boss,1,0,2
nebz,phantomb0b,isaac,passion,1,0,2
nikeraptor,snax,m-10,bro-nitus,0,2,0
sug red7,jar14,grizz,chriscross,1,1,2
arma,nicole,damitchase,komon,0,2,0
kuro,prolixus,beastly,kaiba,0,2,1
4skin,zensei,co-op,sc,j.t.c.,1,0,2
the forkies,banana,maximiliano,legion,0,2,0
dirty wizard,bird,handyymann,raygun,0,2,0
lawrayliet,lyonart,sirdunx,sdoc,1,0,2
rosac,oscarm,captainkrook,u.r.k,0,2,0
guy,daffle,darefive,j-boss,1,0,2
manxy,c.o.d,beatle,zee,0,2,1
diago,_cano_,puresteelgaming,hydra,0,2,0
bc,slaps,meep,s3rge,0,2,0
mugen,batman,isaac,passion,0,2,1
lilpac,jutsu,ntg,mr. destructo,0,2,0
chavo,burnside,cobalt,megapatches,0,2,1
nikeraptor,snax,grizz,chriscross,0,2,0
arma,nicole,kuro,prolixus,0,2,0
co-op,sc,j.t.c.,the forkies,banana,1,1,2
dirty wizard,bird,sirdunx,sdoc,0,2,1
rosac,oscarm,darefive,j-boss,1,0,2
manxy,c.o.d,diago,_cano_,0,2,0
bc,slaps,mugen,batman,0,2,0
lilpac,jutsu,chavo,burnside,0,2,0
cyanide,king lucy iv,nikeraptor,snax,0,2,0
solace,avoid,arma,nicole,0,2,0
lilnest,tipy,the forkies,banana,1,0,2
paw,ninjafish,dirty wizard,bird,0,2,0
illusion,p2p with gibus,darefive,j-boss,1,1,2
scatt,thereflexwonder,manxy,c.o.d,0,2,0
jerm,espy,bc,slaps,1,0,2
thisguy,ld,lilpac,jutsu,0,2,1
cyanide,king lucy iv,solace,avoid,0,2,0
the forkies,banana,paw,ninjafish,0,2,0
darefive,j-boss,scatt,thereflexwonder,1,1,2
bc,slaps,thisguy,ld,0,2,1
abadango,samsora,cyanide,king lucy iv,0,2,0
weegee,el yoshi,the forkies,banana,0,2,0
gnes,dj fliphop,scatt,thereflexwonder,0,2,0
lordmix,captainzack,bc,slaps,0,2,0
abadango,samsora,weegee,el yoshi,0,3,0
gnes,dj fliphop,lordmix,captainzack,1,0,3
fatality,trevonte,abadango,samsora,1,1,3
whispy,6wx,lordmix,captainzack,1,0,3
abadango,samsora,lordmix,captainzack,1,2,3
megafox,grimturtle,lordmix,captainzack,1,-2,-2
