p1,p2,finalPlacement
mugenbatman,25
ntgmr. destructo,33
lawraylietlyonart,33
abadangosamsora,4
armanicole,17
damitchasekomon,33
scattthereflexwonder,9
maximilianolegion,33
lilnesttipy,17
mew2kingally,1
megafoxgrimturtle,3
darefivej-boss,13
mizuchozo,49
isaacpassion,33
whispy6wx,5
manxyc.o.d,17
cobaltmegapatches,33
bcslaps,9
puresteelgaminghydra,33
pawninjafish,13
captainkrooku.r.k,33
diago_cano_,25
handyymannraygun,33
co-opscj.t.c.,25
ryukjoho,49
4skinzensei,33
kuroprolixus,25
gnesdj fliphop,7
sirdunxsdoc,25
dirty wizardbird,17
chavoburnside,25
rosacoscarm,25
grizzchriscross,25
strobequeso,49
beastlykaiba,33
cyanideking lucy iv,9
nikeraptorsnax,17
m-10bro-nitus,33
guydaffle,33
sug red7jar14,33
solaceavoid,13
beatlezee,33
lilpacjutsu,17
nebzphantomb0b,49
weegeeel yoshi,7
meeps3rge,33
the forkiesbanana,9
jermespy,17
fatalitytrevonte,5
illusionp2p with gibus,17
lordmixcaptainzack,2
thisguyld,13
