T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
coda,copper,mika,dair,1,0,2
bestness,tss,gil,yoyo,1,-1,0
linden,espeon•ch,ybd,gasai,0,2,0
mxsfit,watdafox,the problem,frog,0,0,-1
agias,reboot,dln,bleggaman,0,2,0
esam,mvd,mika,dair,0,2,0
gil,yoyo,linden,espeon•ch,1,0,2
kantrip,mata,mxsfit,watdafox,0,2,0
rcs_jr,ruff!,agias,reboot,0,2,1
esam,mvd,linden,espeon•ch,0,2,0
kantrip,mata,rcs_jr,ruff!,1,1,2
esam,mvd,rcs_jr,ruff!,0,2,0
bestness,tss,ybd,gasai,1,-1,0
agias,reboot,coda,copper,0,2,0
mxsfit,watdafox,ybd,gasai,0,2,0
gil,yoyo,the problem,frog,0,0,-1
mika,dair,dln,bleggaman,1,1,2
agias,reboot,mxsfit,watdafox,0,2,0
gil,yoyo,dln,bleggaman,1,0,2
linden,espeon•ch,agias,reboot,0,2,0
kantrip,mata,dln,bleggaman,0,2,1
linden,espeon•ch,kantrip,mata,1,1,2
rcs_jr,ruff!,kantrip,mata,0,-2,-2
momo,legit247,abra,amaru,0,2,0
pferschaw,magister,captain koala,ninetales,0,2,0
purfectroony,pryde,hook,kavon,0,2,1
fuzzio,tipster,omen,gotenks,0,2,0
big d,firefly,momo,legit247,0,2,0
slam jammington,dr. robotnik,pferschaw,magister,0,2,0
braixen,fedvsrafa,purfectroony,pryde,0,2,0
angis,masai,fuzzio,tipster,1,-1,0
big d,firefly,slam jammington,dr. robotnik,0,2,0
braixen,fedvsrafa,fuzzio,tipster,0,2,0
big d,firefly,braixen,fedvsrafa,0,2,0
angis,masai,abra,amaru,1,-1,0
purfectroony,pryde,captain koala,ninetales,0,2,0
pferschaw,magister,hook,kavon,0,2,0
momo,legit247,omen,gotenks,1,0,2
abra,amaru,purfectroony,pryde,1,1,2
pferschaw,magister,omen,gotenks,0,2,0
slam jammington,dr. robotnik,purfectroony,pryde,0,2,0
fuzzio,tipster,pferschaw,magister,0,2,0
slam jammington,dr. robotnik,fuzzio,tipster,0,2,0
braixen,fedvsrafa,slam jammington,dr. robotnik,0,-2,-2
snowman,aimd,a wild chan,m2,0,2,1
zerango,sandman,juicypeach,debuto,0,2,0
yolo!!!!!,jitio,tootsie,idgas,0,2,0
vulpes,pandarian,topaz,blazer,0,2,0
konga,kazak,snowman,aimd,0,2,0
gog | shadowmarth-jtw,pyreeze,zerango,sandman,0,2,1
len,exodia,yolo!!!!!,jitio,0,2,0
deci,shiny,vulpes,pandarian,0,2,0
konga,kazak,gog | shadowmarth-jtw,pyreeze,0,2,0
len,exodia,deci,shiny,0,2,0
konga,kazak,len,exodia,1,0,2
vulpes,pandarian,a wild chan,m2,0,2,0
yolo!!!!!,jitio,juicypeach,debuto,0,2,1
zerango,sandman,tootsie,idgas,0,2,0
snowman,aimd,topaz,blazer,0,2,0
vulpes,pandarian,yolo!!!!!,jitio,0,2,1
zerango,sandman,snowman,aimd,0,2,1
gog | shadowmarth-jtw,pyreeze,vulpes,pandarian,0,2,1
deci,shiny,zerango,sandman,0,2,1
gog | shadowmarth-jtw,pyreeze,deci,shiny,1,0,2
konga,kazak,deci,shiny,0,-2,-2
bluezy,manta,haunter,mothra,0,2,0
bp | truemain,yope,mcwaffles,purplestuff,0,0,-1
nikkinanka,g~man, the cosmic destroyer,mold,parrotiopsis,0,2,0
sloth?,s3npai,bunmira,risu,0,2,0
bishly,king,mommy,leo,0,2,0
focus,captain l,bluezy,manta,0,2,0
bp | truemain,yope,nikkinanka,g~man, the cosmic destroyer,0,2,0
locke,shinkou,sloth?,s3npai,0,2,0
the moon,dkwill,bishly,king,0,2,0
focus,captain l,bp | truemain,yope,0,2,0
locke,shinkou,the moon,dkwill,0,2,0
focus,captain l,locke,shinkou,0,2,0
mcwaffles,purplestuff,mold,parrotiopsis,1,-1,0
bishly,king,haunter,mothra,0,2,0
sloth?,s3npai,mold,parrotiopsis,0,2,0
nikkinanka,g~man, the cosmic destroyer,bunmira,risu,0,2,0
bluezy,manta,mommy,leo,1,0,2
bishly,king,sloth?,s3npai,0,2,0
nikkinanka,g~man, the cosmic destroyer,mommy,leo,0,2,0
bp | truemain,yope,bishly,king,1,1,2
the moon,dkwill,nikkinanka,g~man, the cosmic destroyer,1,1,2
bishly,king,nikkinanka,g~man, the cosmic destroyer,1,1,2
locke,shinkou,nikkinanka,g~man, the cosmic destroyer,0,-2,-2
esam,mvd,focus,captain l,0,3,0
big d,firefly,len,exodia,0,3,0
esam,mvd,big d,firefly,0,3,2
esam,mvd,big d,firefly,0,3,0
konga,kazak,kantrip,mata,0,3,1
braixen,fedvsrafa,nikkinanka,g~man, the cosmic destroyer,0,3,1
locke,shinkou,slam jammington,dr. robotnik,0,3,1
rcs_jr,ruff!,deci,shiny,1,0,3
konga,kazak,braixen,fedvsrafa,1,1,3
locke,shinkou,deci,shiny,1,2,3
focus,captain l,braixen,fedvsrafa,0,3,2
len,exodia,deci,shiny,0,3,1
focus,captain l,len,exodia,0,3,2
big d,firefly,focus,captain l,0,3,1
