p1,p2,finalPlacement
vulpespandarian,17
rcs_jrruff!,9
shadowmarth-jtwpyreeze,13
esammvd,1
bestnesstss,49
yolo!!!!!jitio,25
kongakazak,7
focuscaptain l,3
hauntermothra,33
momolegit247,33
a wild chanm2,33
juicypeachdebuto,33
lindenespeon•ch,13
big dfirefly,2
captain koalaninetales,33
bishlyking,13
dlnbleggaman,17
moldparrotiopsis,33
purfectroonypryde,17
slam jammingtondr. robotnik,9
mxsfitwatdafox,25
mommyleo,25
omengotenks,25
kantripmata,9
bunmirarisu,33
abraamaru,25
ybdgasai,33
lockeshinkou,7
codacopper,33
hookkavon,33
mcwafflespurplestuff,49
the problemfrog,33
angismasai,33
agiasreboot,17
truemainyope,17
sloth?s3npai,25
nikkinankag~man the cosmic destroyer,9
zerangosandman,17
pferschawmagister,17
bluezymanta,33
lenexodia,4
the moondkwill,17
topazblazer,33
snowmanaimd,25
braixenfedvsrafa,5
fuzziotipster,13
decishiny,5
mikadair,33
gilyoyo,25
tootsieidgas,33
