T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
pz,tiberius,fisk,rastabru,0,2,1
pz,tiberius,tun,grøten,0,2,0
sjaleks,veghard,g3,dw,1,0,2
kanaribird,jibbmil,zplatter,mumfy,1,0,2
kanaribird,jibbmil,tun,grøten,0,2,1
hobolord,drolo,ulf,fat pepol,1,0,2
theepicpirate,g-sen,pangu,queen,0,2,1
theepicpirate,g-sen,dragmire jr,nanite,1,0,2
warheart,deo,chard,bollefar,0,2,1
warheart,deo,snasen,bryggiz,0,2,0
warheart,deo,devilgamer,the legendary food,0,2,0
warheart,deo,gardex,wiiase,1,1,3
warheart,deo,lufos,quepasacontigo,0,2,1
scarlet,vesp,kasparno,laffen,0,2,1
scarlet,vesp,nintendork,taiki,0,2,1
scarlet,vesp,spyroul,thymeballoon,1,0,2
scarlet,vesp,hal_9000,bach,1,-1,0
zplatter,mumfy,pz,tiberius,1,1,2
endeby,i lift,zplatter,mumfy,0,2,1
endeby,i lift,nibble,kayrosho,0,2,0
endeby,i lift,lunar,z,0,2,0
chard,bollefar,endeby,i lift,0,2,0
chard,bollefar,evilized,jenzo,0,2,0
chard,bollefar,call_of_cow,johsyjam,0,2,0
chard,bollefar,lentross,suntherion,0,2,0
m,miguel,kanaribird,jibbmil,0,2,1
m,miguel,chard,bollefar,0,2,0
m,miguel,shido,teluoborg,0,2,0
m,miguel,ixisnaugus,c.r.z,0,3,1
mm720,losviken,zplatter,mumfy,1,0,2
pad,emperor,taclite,revilox,0,2,1
nintendork,taiki,glitch,metanoia,1,0,2
ulf,fat pepol,spongeofdoom,pact,0,2,0
ulf,fat pepol,g3,dw,0,2,0
fisk,rastabru,nibble,kayrosho,0,2,0
fisk,rastabru,lunar,z,0,2,1
rekzius,vaataji,pad,emperor,0,2,0
rekzius,vaataji,koji,jm,0,2,0
rekzius,vaataji,shing,k2dh,0,2,0
zartzu,kekkeri,endeby,i lift,0,2,1
zartzu,kekkeri,rekzius,vaataji,0,2,0
zartzu,kekkeri,vetikke,hammern,0,2,0
zartzu,kekkeri,evilized,jenzo,0,2,1
redlime,born 2 sd,athic blaze,libeck,1,1,2
pangu,queen,athic blaze,libeck,1,0,2
lirnesu,gray,g3,dw,0,2,1
lirnesu,gray,athic blaze,libeck,0,2,0
lirnesu,gray,spyroul,thymeballoon,0,2,0
vetikke,hammern,boombucket,rullekake,1,0,2
whoophee,riksto,m,miguel,1,1,3
whoophee,riksto,zartzu,kekkeri,0,2,1
whoophee,riksto,lirnesu,gray,0,2,0
whoophee,riksto,willz,loz,0,2,0
legic,frenzy,kasparno,laffen,0,2,0
legic,frenzy,glitch,metanoia,0,2,1
spyroul,thymeballoon,pz,tiberius,0,2,0
spyroul,thymeballoon,glitch,metanoia,0,2,0
tag,zht,sjaleks,veghard,0,2,0
tag,zht,spongeofdoom,pact,0,2,1
tag,zht,lirnesu,gray,1,0,2
tag,zht,willz,loz,0,2,0
tag,zht,shido,teluoborg,1,1,2
evilized,jenzo,boombucket,rullekake,0,2,0
evilized,jenzo,jumper!,gerdef,0,2,0
evilized,jenzo,legic,frenzy,0,2,1
koji,jm,athic blaze,libeck,0,2,0
koji,jm,dragmire jr,nanite,0,2,0
koji,jm,sky,dinner,0,2,0
willz,loz,hobolord,drolo,0,2,1
willz,loz,pad,emperor,0,2,0
istudying,gregs,m,miguel,0,3,0
istudying,gregs,whoophee,riksto,0,2,0
istudying,gregs,spyroul,thymeballoon,0,2,0
istudying,gregs,hal_9000,bach,0,2,0
istudying,gregs,ixisnaugus,c.r.z,0,3,2
dragmire jr,nanite,joat,urg,1,0,2
proxer,terrorcheese,dragmire jr,nanite,1,1,2
snasen,bryggiz,tag,zht,1,1,2
snasen,bryggiz,proxer,terrorcheese,0,2,0
snasen,bryggiz,joat,urg,0,2,0
shing,k2dh,hobolord,drolo,1,1,2
shing,k2dh,taclite,revilox,0,2,0
shido,teluoborg,pz,tiberius,0,2,1
shido,teluoborg,mm720,losviken,0,2,0
shido,teluoborg,hal_9000,bach,0,2,1
hal_9000,bach,boombucket,rullekake,0,2,0
hal_9000,bach,jumper!,gerdef,0,2,1
izaw,smashsk,m,miguel,1,1,3
izaw,smashsk,ulf,fat pepol,0,2,0
izaw,smashsk,rekzius,vaataji,0,2,0
izaw,smashsk,gardex,wiiase,0,2,0
call_of_cow,johsyjam,nibble,kayrosho,1,0,2
ixisnaugus,c.r.z,theepicpirate,g-sen,0,2,0
ixisnaugus,c.r.z,m,miguel,0,2,1
ixisnaugus,c.r.z,lentross,suntherion,0,2,1
ixisnaugus,c.r.z,gardex,wiiase,0,3,2
sky,dinner,lufos,quepasacontigo,1,1,2
devilgamer,the legendary food,sky,dinner,1,1,2
joat,urg,pangu,queen,1,0,2
lentross,suntherion,ulf,fat pepol,0,2,0
lentross,suntherion,redlime,born 2 sd,0,2,0
lentross,suntherion,koji,jm,0,2,0
gardex,wiiase,zartzu,kekkeri,0,2,0
gardex,wiiase,lirnesu,gray,0,2,0
gardex,wiiase,legic,frenzy,0,2,1
mr.r,badr,warheart,deo,0,2,0
mr.r,badr,fisk,rastabru,0,2,0
mr.r,badr,istudying,gregs,0,3,2
mr.r,badr,istudying,gregs,0,3,1
mr.r,badr,shido,teluoborg,0,2,0
mr.r,badr,izaw,smashsk,0,3,0
lufos,quepasacontigo,athic blaze,libeck,1,1,2
