p1,p2,finalPlacement
ck momo,valkore,193
remie,tss,129
mister eric,mav,97
york,superoven,193
snoop,pollo,65
piilevin,yellocake,129
panhandlerspudd,donconsenapi,97
tvblaze,leaf,97
eazy,h4voc,257
ky,slither2hunter,33
sycko,walrus,257
k•maru,uncle onion,129
saturn,shiny umbreon,193
hino,lycan,65
cyro,keitaro,49
~2qu!k~,dr.fish,97
yungmilford,jacobgb24,193
dankestdad,alex,193
exodia,alphicans,25
ansuke,samate,129
jonny westside,aggronize,65
seo,rubrub el conquistador,97
little shocker,kitsune,193
filip,rin,33
pugwest,marss,5
logic,gimr,97
mr.r,abadango,3
9b,earth,9
lightspeed,burger king randy,193
max ketchum,angel cortes,49
jibca,bphan,97
hitaku,ctrl,97
neki,skyline,97
nessiroth,jaz,65
cbkreme,varia_gamre,193
2manycooks,kuraudo,129
day,akiro,49
k10,qt lift,129
t1mmy,t0mmii,193
trager,pkraiden,193
mrconcon,angbad,25
karna,the wall,33
ultranick24,yoshiller,97
toast,moose,193
warchief,strides,97
et l eking,s@nt,129
8bitman,jeezrick,49
parkachu0,drowninfish,193
ally,trela,5
dabuz,hyuga,7
bestness,frozn,97
j!,rom,33
supersega,top ramen,129
purfectroony,sandman,193
iron_vasquez,krustol,129
blitz,jodi bleek,97
relic,ja3,193
captain l,focus,33
bandit,rage,129
biddy,toast,65
tempest,erk,129
boba tapioca,mocha,33
zex,skywilliams,33
marathon,glitch,193
dainosuke,shimitake,33
mellow dragon,jerm,49
señor flaco,skywalkr000,257
irji,raptor,65
djltheescapade,hatmadder,257
moog,bask 3xa,97
double a battery,khakis,129
djaraxxus,oki,97
big d,firefly,17
dath,true blue,25
peradux,pickles_md,193
avalon,atomsk,65
dabvillefl,coolbrow,129
chair,black_dynowright,129
gcfox,seris,129
paw,verse,129
shamsy,rockmix,65
senorluigi,cobi,129
shaky,nitro,17
rice,sean,25
dan,jjrockets,65
branflakes,james j,193
heero,day,25
big sean,zeppelin,97
echobo,tuner,193
fatality,acid,17
coffeeblack,chrim foish,193
mew2king,zinoto,17
zero,nairo,2
churro,brobear,33
bun,splargh,193
6wx,xzax,33
neon ness,athena21,193
ikd!,tri4cd,257
toez,gad,193
2scoops thehomie,akito555,129
gloomy,vash,65
lookin43d,kazemon,193
c4,snorlaxplox,129
heartsdealer,dethasarus rex,193
poisonhealth,mablump,193
kipa,eden,129
shofu,phenom,65
shadefizzle,danzou,129
melonz,n7neji,129
tweek,dmg ryuga,13
meowmc,g~man, the cosmic destroyer,129
tmakk,maiko,129
aphro,knife,49
sf citi,funny,193
rhythm,champagne papi,193
akared,mickey,129
bellsworth46,nightmare,193
villain,trevonte,17
imhip,wiigi,65
beast,vonsilvermoon,65
gdx,lacmeezy,129
omen,cpu!,193
wimplow,str8 sp0rkin,49
irish,blueguy,193
hoffman,jumper j,257
jtails,rachow,65
filthy,dr. fuego,257
boscotty,greenbeast,129
the clobster,tg,193
dice,mojo joe,257
komorikiri,ranai,1
domin0,tm87,193
skaterjayy,yoshibro1,129
kamicario,mcdareth,65
zork,mattman,193
jago,noblemutt,129
quazi,brodo,257
manzano,nalga,65
clintombment,garth wolf,193
jaice,ghost,49
kossismoss,batshark,97
yung,the amazing busterino,193
scizor,sleeh,257
penguin,doc,129
jaxas,9tales,129
soulbrotheruno,trainerjuanssb,129
the_pho_eater,liger storm,193
probeans,apologyman,129
neiled it,jucotastic,193
ryuji,el,49
risu,bunmira,193
larry lurr,void,9
corona,fuze,257
qt chibi,lynx,257
ito,falln,13
crispytacoz,soronie,65
denti,player-1,49
nakat,false,17
aus,fampy,193
happa,8bit saint,193
das,waffles,97
count,t-rex destiny,193
crackle,krc_dub,97
scourge,pump magic,129
ivan,merv,97
raziek,aedrenaline,129
virus,legit,25
letterboy,crocs,193
amp,ikez,97
stylesx2,dom,129
luck7,vortex,65
baister09,sfw crits,65
blackdragon154,mr.sir,193
cudr,dabes,129
risai,juto,257
shiny,jamnt0ast,65
timmy,swoops,129
dr. wa,xnpio,129
bigmama,tango,193
warrior,frogo,193
espy,seagull joe,49
umeki,salena,13
l3 exo,tmech,129
not last,aarvark,193
mudomo,jehtt,97
moti,genjijodu,129
ryo,sol,9
ss,k9sbruce,33
remzi,pink fresh,25
seibrik,nickriddle,25
kallor,stigmata,97
aubfox,blazed chumpi,193
athena,roboticpainter,193
zenyou,panda,49
teb,soulimar,33
dijjy,jacob,193
misterrquentin,horse,65
rich brown,z,33
kgb,twerkmastr,97
sirreal,kitka,193
lord snow,heartbeet,129
arikie,platypus,49
entro,green,193
saladin,kswz,129
r.o.m.,charger,97
esam,mvd,17
zori,dj fliphop,97
kiwi,andyyyyyyy,257
u.warrior,fire,129
