T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
len,viviff t. great, mba,telmo,blitz,0,2,0
sethsational,serge,littlewolf,erk,1,1,2
yellowrello,jayson,jago,3m,0,2,0
rain,kuro,butter,crazy,0,2,0
gscar,arbar,eldestearth,cancer,0,2,0
xzax,rice,ethene,avian,0,2,0
redux,navi,new york siddy,yanyan,0,0,-1
zero,nairo,len,viviff t. great, mba,0,2,0
littlewolf,erk,yellowrello,jayson,1,0,2
rain,kuro,gscar,arbar,0,2,0
xzax,rice,redux,navi,0,2,0
zero,nairo,yellowrello,jayson,0,2,0
rain,kuro,xzax,rice,1,1,2
zero,nairo,xzax,rice,0,2,1
sethsational,serge,jago,3m,0,2,0
butter,crazy,eldestearth,cancer,1,0,2
ethene,avian,new york siddy,yanyan,0,2,0
redux,navi,telmo,blitz,0,2,0
gscar,arbar,sethsational,serge,1,0,2
littlewolf,erk,eldestearth,cancer,0,2,0
len,viviff t. great, mba,ethene,avian,0,2,1
redux,navi,sethsational,serge,1,0,2
littlewolf,erk,len,viviff t. great, mba,1,0,2
yellowrello,jayson,sethsational,serge,0,2,1
rain,kuro,len,viviff t. great, mba,0,2,0
yellowrello,jayson,rain,kuro,1,0,2
xzax,rice,rain,kuro,0,-2,-2
jehtt,mudomo,dawangthang,quixotic,0,2,0
austin k.,waymas,spiderivas,dandersen,0,2,0
isma,snaggletooth,nick,froge,0,2,0
ito,falln,campari,saber,0,2,0
mykelism,yink,oct,parkachu0,1,-1,0
zan,ri-ma,zalestus,nb,0,2,0
weegee,shadow_foxxd,glacer,blankey,0,2,0
6wx,rango,jehtt,mudomo,0,2,1
austin k.,waymas,isma,snaggletooth,0,2,0
ito,falln,oct,parkachu0,0,2,0
zan,ri-ma,weegee,shadow_foxxd,1,1,2
6wx,rango,austin k.,waymas,0,2,1
ito,falln,weegee,shadow_foxxd,1,0,2
6wx,rango,weegee,shadow_foxxd,1,0,2
spiderivas,dandersen,nick,froge,0,2,0
campari,saber,mykelism,yink,0,0,-1
zalestus,nb,glacer,blankey,1,0,2
zan,ri-ma,dawangthang,quixotic,0,2,0
oct,parkachu0,spiderivas,dandersen,1,0,2
isma,snaggletooth,campari,saber,0,2,0
jehtt,mudomo,glacer,blankey,0,2,0
zan,ri-ma,spiderivas,dandersen,0,2,0
isma,snaggletooth,jehtt,mudomo,1,1,2
austin k.,waymas,zan,ri-ma,1,0,2
ito,falln,jehtt,mudomo,0,2,0
zan,ri-ma,ito,falln,1,0,2
6wx,rango,ito,falln,0,-2,-2
hb2,fa,chenboy3,bask soyacan,0,2,0
athena,hitaku,sandman,purfectroony,0,2,0
bestness,diablo,icyoyo,zambo,0,2,0
fabian,jesus,codytappen,majesticrhino,0,2,0
saj,craziecuban,darth vader,amc|ninja-the-link-sage,0,2,0
slither2hunter,slaps,prism,yep,0,2,0
false,tweek,hb2,fa,0,2,0
athena,hitaku,bestness,diablo,1,0,2
captain l,locus,fabian,jesus,0,2,0
saj,craziecuban,slither2hunter,slaps,0,2,0
false,tweek,bestness,diablo,0,2,1
captain l,locus,saj,craziecuban,0,2,0
false,tweek,captain l,locus,0,2,0
sandman,purfectroony,icyoyo,zambo,0,2,0
darth vader,amc|ninja-the-link-sage,prism,yep,1,0,2
slither2hunter,slaps,chenboy3,bask soyacan,0,2,0
fabian,jesus,sandman,purfectroony,0,2,0
athena,hitaku,codytappen,majesticrhino,0,2,0
hb2,fa,prism,yep,1,0,2
slither2hunter,slaps,fabian,jesus,1,1,2
athena,hitaku,prism,yep,0,2,1
bestness,diablo,fabian,jesus,0,2,0
saj,craziecuban,athena,hitaku,1,0,2
bestness,diablo,athena,hitaku,0,2,1
captain l,locus,bestness,diablo,0,-2,-2
larry lurr,rich brown,304plus,dionysus,0,2,0
jitio,dln,q,iron_vasquez,1,1,2
raito,halo,jett the jenga god,padrikos,0,2,0
eon,hangman,lynx,qt chibi,0,0,-1
dath,nickriddle,moonboyjosh,:^),1,0,2
crisspy,lumen,nackle,nizondo,0,2,0
remzi,raffi-x,weeded,ewok,0,2,0
sean,maddju5t1n,kantrip,zak,0,2,0
larry lurr,rich brown,q,iron_vasquez,0,2,0
raito,halo,eon,hangman,0,2,0
moonboyjosh,:^),crisspy,lumen,0,2,0
remzi,raffi-x,sean,maddju5t1n,0,2,0
larry lurr,rich brown,raito,halo,0,2,0
moonboyjosh,:^),remzi,raffi-x,1,0,2
larry lurr,rich brown,remzi,raffi-x,0,2,0
304plus,dionysus,jitio,dln,0,2,1
jett the jenga god,padrikos,lynx,qt chibi,1,0,2
dath,nickriddle,nackle,nizondo,0,2,0
weeded,ewok,kantrip,zak,0,2,1
sean,maddju5t1n,304plus,dionysus,1,1,2
crisspy,lumen,lynx,qt chibi,0,0,-1
eon,hangman,dath,nickriddle,1,0,2
q,iron_vasquez,weeded,ewok,0,2,0
304plus,dionysus,crisspy,lumen,0,2,0
dath,nickriddle,q,iron_vasquez,0,2,0
raito,halo,304plus,dionysus,0,2,0
moonboyjosh,:^),dath,nickriddle,1,0,2
raito,halo,dath,nickriddle,1,0,2
remzi,raffi-x,dath,nickriddle,0,-2,-2
jiffypop,fuser,alvisor,candy,0,-2,-2
you3,kei,ansuke,samate,0,-2,-2
n,jaaahsh,asianweirdo,wavy,0,-2,-2
mav,clokke,dj nintendo,the moon,1,-2,-2
xaltis,child,sells,xiivi,1,-2,-2
nabster,sinister,gocutiego,superloli,1,-2,-2
anti,salem,jiffypop,fuser,0,-2,-2
you3,kei,n,jaaahsh,0,-2,-2
mrconcon,tearbear,dj nintendo,the moon,0,-2,-2
sells,xiivi,gocutiego,superloli,0,-2,-2
anti,salem,you3,kei,0,-2,-2
mrconcon,tearbear,sells,xiivi,0,-2,-2
anti,salem,mrconcon,tearbear,0,-2,-2
ansuke,samate,asianweirdo,wavy,0,-2,-2
xaltis,child,nabster,sinister,0,-2,-2
gocutiego,superloli,alvisor,candy,0,-2,-2
dj nintendo,the moon,ansuke,samate,0,-2,-2
n,jaaahsh,mav,clokke,1,-2,-2
jiffypop,fuser,xaltis,child,1,-2,-2
gocutiego,superloli,dj nintendo,the moon,1,-2,-2
mav,clokke,xaltis,child,1,-2,-2
you3,kei,dj nintendo,the moon,0,-2,-2
sells,xiivi,xaltis,child,1,-2,-2
you3,kei,xaltis,child,0,-2,-2
mrconcon,tearbear,you3,kei,0,-2,-2
stigmata,senpai,dumpy,lightspeed,0,2,0
burst,craftis,bigdaddy,el yoshi,0,2,0
dom,stylesx2,shadefizzle,danzou,0,2,0
dyr,fatality,cpt.hentai,senpai,0,2,0
flo,nova!,swiftwolf,glenjamin,0,2,0
regi shikimi,ic,pkraiden,trager,0,0,-1
zoan,vivid,dylanator,taco,0,2,0
mr.r,s1,stigmata,senpai,0,2,0
burst,craftis,dom,stylesx2,1,0,2
dyr,fatality,flo,nova!,0,2,0
regi shikimi,ic,zoan,vivid,0,2,1
mr.r,s1,dom,stylesx2,0,2,0
dyr,fatality,regi shikimi,ic,0,2,0
mr.r,s1,dyr,fatality,0,2,0
bigdaddy,el yoshi,shadefizzle,danzou,0,2,0
cpt.hentai,senpai,swiftwolf,glenjamin,0,2,0
pkraiden,trager,dylanator,taco,0,2,0
zoan,vivid,dumpy,lightspeed,0,2,0
flo,nova!,bigdaddy,el yoshi,1,0,2
burst,craftis,cpt.hentai,senpai,0,2,0
stigmata,senpai,pkraiden,trager,1,0,2
zoan,vivid,bigdaddy,el yoshi,0,2,0
burst,craftis,pkraiden,trager,0,2,1
dom,stylesx2,zoan,vivid,1,0,2
regi shikimi,ic,burst,craftis,0,2,1
zoan,vivid,regi shikimi,ic,1,0,2
dyr,fatality,regi shikimi,ic,0,-2,-2
magnadx,waael,braixen,fedvsrafa,1,0,2
fwed,z,bootliss,momo,0,2,0
captain andrew,dynamo,blank-,passion,0,2,0
ocean,8bitman,vajmuas,pov | carvia,0,2,1
smerky,coolbeans,bamo,branflakes,0,2,0
light shad,darkshad,jmai senpai,allday napper,0,2,0
gpik,blackdynowright,solid,ollie,1,0,2
marss,pugwest,braixen,fedvsrafa,0,2,0
fwed,z,captain andrew,dynamo,0,2,1
ocean,8bitman,smerky,coolbeans,0,2,1
light shad,darkshad,solid,ollie,1,0,2
marss,pugwest,fwed,z,0,2,0
ocean,8bitman,solid,ollie,1,0,2
marss,pugwest,solid,ollie,0,2,0
