T1P1,T1P2,T2P1,P2P2,set winner,T1Score,T2Score
leather daddy,jp3,dj daaku,faffly,0,2,0
ashley,jams,deathorse,rayes,0,2,0
goulmania,twelvnight,chadbrochill17,dikhil,0,2,0
ak,seel,makar,hacksorus,1,0,2
bread,jpeds,bagel (o),starcutter,0,2,0
ginamudkipz,stroumbert,evmaster,umi,0,2,0
mew2king,nairo,leather daddy,jp3,0,2,0
ashley,jams,goulmania,twelvnight,0,2,0
kingkong,darkaura,makar,hacksorus,0,2,0
bread,jpeds,ginamudkipz,stroumbert,0,2,1
mew2king,nairo,ashley,jams,0,2,0
kingkong,darkaura,bread,jpeds,0,2,1
mew2king,nairo,kingkong,darkaura,0,2,0
mew2king,nairo,kingkong,darkaura,0,-2,-2
deathorse,rayes,chadbrochill17,dikhil,0,2,0
bagel (o),starcutter,evmaster,umi,0,2,0
ginamudkipz,stroumbert,dj daaku,faffly,0,2,0
makar,hacksorus,deathorse,rayes,0,2,0
goulmania,twelvnight,ak,seel,0,2,0
leather daddy,jp3,bagel (o),starcutter,0,2,0
ginamudkipz,stroumbert,makar,hacksorus,0,2,0
goulmania,twelvnight,leather daddy,jp3,0,2,0
ashley,jams,ginamudkipz,stroumbert,0,2,1
bread,jpeds,goulmania,twelvnight,0,2,0
ashley,jams,bread,jpeds,1,0,2
kingkong,darkaura,bread,jpeds,0,2,0
acsl,maher,henroidz,koebeldwill,1,-1,0
raijin,jbones,leaf,storm,1,1,2
baddydan,iliad,paul the beast,thedogs55,0,2,0
aigachu,dango,arcana,hawk,0,2,1
chance,dreamm,kryptorex,kappa,0,2,0
anti,ally,henroidz,koebeldwill,0,2,0
leaf,storm,baddydan,iliad,1,0,2
2manycooks,alphicans,aigachu,dango,0,2,0
croi,drake,chance,dreamm,0,2,0
anti,ally,baddydan,iliad,0,2,0
2manycooks,alphicans,croi,drake,0,2,0
anti,ally,2manycooks,alphicans,0,2,0
anti,ally,2manycooks,alphicans,0,-2,-2
raijin,jbones,paul the beast,thedogs55,0,2,0
chance,dreamm,acsl,maher,0,0,-1
aigachu,dango,raijin,jbones,1,0,2
leaf,storm,arcana,hawk,0,2,0
henroidz,koebeldwill,kryptorex,kappa,0,2,0
