p1,p2,finalPlacement
arkb0t,bird,49
sushi,jibe,33
mantis,the prodigal son,97
ray kalm,yoh,17
vapor,asprey,97
dayzin,k-r-l,33
paradigm,a2e,33
leaf,storm,33
white lightning,ghost,65
kryptorex,kappa,65
pikapika!,k.i.d.goggles,7
senpai,trueblade,33
arcana,hawk,65
lamb,sqiddwr,33
croi,drake,25
spikezillian,noire,65
kider,ce,65
leather daddy,jp3,49
durandal,tobi,97
kingkong,darkaura,9
groove,hislay,65
chiko,jubiyab,49
paul the beast,thedogs55,97
raijin,jbones,17
henroidz,koebeldwill,49
ashley,jams,25
jamie,lds,97
windsreq,san,13
nom,viev,17
smasher1001,technology,7
iceninja,poke,9
zinoto,ksev,65
jerm,artryuu,33
famous,jat,65
tantaco,jakat,49
nimious,atlas,49
magic,lynx,65
mr.e,dkwill,4
drump,prodijy,65
c3po,larry lurr,5
2manycooks,alphicans,13
evmaster,umi,97
dkbill,gains,9
coontail,u.warrior,25
supercoolieboi,salad,65
sensuell,khal,33
[t.t.d] pbk l emg l blacktwins13,v115,25
trevor,bratic,65
mew2king,nairo,2
bread,jpeds,17
hoh_shinzoumatt,dragonmatt,33
talckup,dead,65
roebbels,whale,97
clark,fogel,65
goulmania,twelvnight,33
jjrockets,oblivion,5
bagel (o),starcutter,65
makar,hacksorus,49
stevetastrophe,bravehard,65
anti,ally,1
arix,wisifox,65
dunston,pixie,25
yansnow,ggwp,65
izoo,1000,65
hoshihime,sharu,65
fwed,erra,33
chrim foish,holy,13
baddydan,iliad,33
astro,spacedong,13
veranibbles,mittens,65
witeoute,b-millz,65
mrgommi,nuke,17
brolinvids,thoobs,49
chadbrochill17,dikhil,97
p00t,clown,97
deathorse,rayes,65
was_capt.w,z,25
chance,dreamm,49
raziek,aedrenaline,17
pokecheese,sirbeebee,49
ak,seel,65
aigachu,dango,65
vik,pinklights,49
blanc,azdiff,25
dj daaku,faffly,65
mr. fahrenheit,pusha,65
baloo,craterize,65
kurry,ben,49
c-lu,exodia,17
daz,q,97
redmist,diablomablo,65
shadow,falgod,33
so phat,thekaywok,65
heartless,nial,49
crazylittlejay,supergirlkels,25
hoh_venom,darkwolf,9
acsl,maher,65
mr.r,istudying,3
manxome,murphmar,49
michael krysz,kevin wong,17
maz,xyrohip,33
riot,mourin,65
ginamudkipz,stroumbert,33
deeder,picsou,49
maritlage227,wakka,49
qb,jaypuff,33
