p1,p2,finalPlacement
arkb0tbird,49
sushijibe,33
mantisthe prodigal son,97
ray kalmyoh,17
vaporasprey,97
dayzink-r-l,33
paradigma2e,33
leafstorm,33
white lightningghost,65
kryptorexkappa,65
pikapika!k.i.d.goggles,7
senpaitrueblade,33
arcanahawk,65
lambsqiddwr,33
croidrake,25
spikezilliannoire,65
kiderce,65
leather daddyjp3,49
durandaltobi,97
kingkongdarkaura,9
groovehislay,65
chikojubiyab,49
paul the beastthedogs55,97
raijinjbones,17
henroidzkoebeldwill,49
ashleyjams,25
jamields,97
windsreqsan,13
nomviev,17
smasher1001technology,7
iceninjapoke,9
zinotoksev,65
jermartryuu,33
famousjat,65
tantacojakat,49
nimiousatlas,49
magiclynx,65
mr.edkwill,4
drumpprodijy,65
c3polarry lurr,5
2manycooksalphicans,13
evmasterumi,97
dkbillgains,9
coontailu.warrior,25
supercoolieboisalad,65
sensuellkhal,33
[t.t.d] pbk l emg l blacktwins13v115,25
trevorbratic,65
mew2kingnairo,2
breadjpeds,17
hoh_shinzoumattdragonmatt,33
talckupdead,65
roebbelswhale,97
clarkfogel,65
goulmaniatwelvnight,33
jjrocketsoblivion,5
bagel (o)starcutter,65
makarhacksorus,49
stevetastrophebravehard,65
antially,1
arixwisifox,65
dunstonpixie,25
yansnowggwp,65
izoo1000,65
hoshihimesharu,65
fwederra,33
chrim foishholy,13
baddydaniliad,33
astrospacedong,13
veranibblesmittens,65
witeouteb-millz,65
mrgomminuke,17
brolinvidsthoobs,49
chadbrochill17dikhil,97
p00tclown,97
deathorserayes,65
was_capt.wz,25
chancedreamm,49
raziekaedrenaline,17
pokecheesesirbeebee,49
akseel,65
aigachudango,65
vikpinklights,49
blancazdiff,25
dj daakufaffly,65
mr. fahrenheitpusha,65
baloocraterize,65
kurryben,49
c-luexodia,17
dazq,97
redmistdiablomablo,65
shadowfalgod,33
so phatthekaywok,65
heartlessnial,49
crazylittlejaysupergirlkels,25
hoh_venomdarkwolf,9
acslmaher,65
mr.ristudying,3
manxomemurphmar,49
michael kryszkevin wong,17
mazxyrohip,33
riotmourin,65
ginamudkipzstroumbert,33
deederpicsou,49
maritlage227wakka,49
qbjaypuff,33
